"client_id","nombre_app","institucion"
"05bbcc39408d4925bd9192ea9d333d67",Personalidad Jurídica OODD,Instituto Nacional de Deportes de Chile
"15fd49e7f00a4e7290700469cea0cfad",BackOffice ClaveÚnica v2,Secretaría de Gobierno Digital
"2568c649c62d46af960451f6284203d2",IMG,MDS
"26ce850e25c04398a2da12f4478e7597",Registro de profesionales,Subsecretaría de Educación
"1171191223234713bc823c2ba866a843",Oficina Virtual UTA,Universidad de Tarapacá
"27f896fdec904f5998b798799dd1e75f",SIMPLE,Servicio Nacional de Geología y Minería
"285f4ab87d9a4484a4e8fa6e7db43fe6",Sistema de Registro,Subsecretaría de Evaluación Social
"289dffeecdf4446ba61c5647e359e250",Activaciones Regionales HDT,Instituto Nacional de la Juventud
"1b62927bd97543229bfec180f969a3ab",Municipalidad de Molina,Municipalidad de Molina
"29c30f56f89e411091836b8d999123ea",Dom Digital,MUNICIPALIDAD DE PUNTA ARENAS
"2a1ad7012aa3426ab2592dd06689329b",dom-digital,Municipalidad de Valparaíso
"2ad4912955564809a967e35f45df29fc",Postulación Beneficios Municipalidad de Puente Alto,Municipalidad de Puente Alto
"2ae2ca1a377048a58815f54a432f8a21",Portal Paciente,Subsecretaría de Redes Asistenciales
"2b27d60540534c228b2a3a29258b2797",Calculadora,Comisión Nacional de Riego
"2c3dc79f5e85499598d57ff71ff50fc5",Portal Acceso Unico ProChile,Dirección de Promoción de Exportaciones
"2c82301b3057486f93755150c05fd5c2",Consejo Nacional de Televisión - Cerofilas,Consejo Nacional de Televisión
"3009f6f4befb498fbed7dbf1b189f47c",Sistema Electrónico de Postulación,Comision Nacional de Riego
"30cee14d90f44924bfc69147c5f8b08f",Plataforma Atención Ciudadana de la Subsecretaría de Previsión Social,SUBSECRETARÍA DE PREVISIÓN SOCIAL
dbee8a741cc94268936d7054650fd1bb,Requerimientos de Compra,Subsecretaría de Energía
"31ce15efc43b4bbabf22d05b413ddc46",Hidatidosis,Subsecretaría de Salud Pública
"326e27c196be4490822e785c1dba53d8",Plataforma BVP,Subsecretaría de Educación
"1ece79efd8e64d6896b00007b5484dab",Municipalidad de Coquimbo,Municipalidad de Coquimbo
"3322cab8a5164377ad7d8958407c68f7",DOM Digital,municipalidad de pucon
"33aad758bece47b0bd610874b5a767da",Administración Proddar,Instituto Nacional de Deportes
"33fd4a228dca48da93f5fceecf793cf3",Gestión Beneficiarios INJUV,Instituto Nacional de la Juventud
"34651a63c87e40abbe10694acce5edc5",firma.senado,Senado
"34acd5e31fc14060a1a96777113872bd",Postulación en línea DS1,Subsecretaría de Vivienda y Urbanismo
"34c81f4d34a044ba9546228ee514e7c2",DOM DIGITAL PARRAL,Municipalidad de Parral
"35354aeaea2d493f80313847578e45be",Reconocimiento Oficial,Subsecretaría de Educación Parvularia
"35775a888bd84888a77eb42494d8e10c",Proddar,Instituto Nacional de Deportes
"35aeb700f6644ea3930101a0d9f4d1e9",Modificar antecedentes Adm. PM,Servicio Nacional de Geología y Minería
"361255d70c09499891fecebec813f51a",Sobrepeso y/o Sobredimensión,Dirección de Vialidad
"36222962d92d4755a78df51fd13f0433",Portal Municipal,Municipalidad de Vitacura
"364e8666ea5c424186bfdda989f186a9",Transversalización de Género,Subsecretaría de la Mujer y la Equidad de Género
"372aaeba12154913a4f4e8385fb1bf82",Formulario PNC,Subsecretaría de Relaciones Económicas Internacionales
"374a9a2f750b45b0b6fcb95978f22039",Sistema FRIL,Gobierno Regional de la Región de Los Lagos
"3752375735a74ae09881a820a0b7d394",Solicitud de Pasavantes Online,Servicio Nacional de Aduanas
"37789749054445d1b64d1fdf9016d0a1",fonendo,Servicio Salud O'Higgins
"37d82ead5f304c2fa7a39f2b955a4b85",Portal funcionario Plataforma Conectad@s ChileAtiende,Instituto de Prevision Social
"1f98f74e25cb40a3abde0fb78e9a17d4",Municipalidad de Calbuco,Municipalidad de Calbuco
"38b3f29fe39b4e87b5f7982165de8cf1",Portal Servel,Servicio Electoral
"39efc8cccc114c25bf2da1413ecf51a6",Bloqueo de pasaporte en el Exterior,Ministerio de Relaciones Exteriores
"3ba5c4011c1e4608bee96d20e3fb9b7c",Resultados Hospital San Pablo,Servicio de Salud Coquimbo
"3cccac159a4641faa67cfb64505d2ce2",Postulaciones ETA,Dirección General de Aeronáutica Civil
"3d38cae9405846168f3d24937c736246",ELEAM Chile,Servicio Nacional del Adulto Mayor
"3d9c4d4193b14216b66d9a89221e5114",Trámites Parquemet,Parque Metropolitano de Santiago
"3e2a4d42827d43d0b90248199e58e98e",Mineduc-Ayudamineduc,Subsecretaría de Educación
"3e3aba346dd14d4997d80da96aec88bc",Portal de Datos PDI,Subsecretaría General de la Presidencia de la República
"3f5b60933b964357b7cdc0c3077ae24d",Sistema Único de Reclamos PGU,Instituto de Previsión Social
"3fadd97a928a44a4a4a39d26d22ec580",SAFF - PORTAL DE PAGOS CONAF,CORPORACIÓN NACIONAL FORESTAL
"3ffa30fe60364b79817bfcee9ba39a64",Catastro,Subsecretaría de Bienes Nacionales
"4060f34dc33042fda53efdfd0594b679",Capacitación ChileCompra,Dirección ChileCompra
"347178b052294153af290d6a84589868",Mi Fiscalía en Línea,Ministerio Público
"307ae22d54194dc797d4061f17c87478",Trámite en línea,Servicio Nacional de Pesca y Acuicultura
"2629fabfb8e7428bb34e3d4f43ffdc9b",Thomas Signe,Thomas-Signe Chile S.A
"2badb2213b864c8ca35187359570cf0c",ACEPTA,ACEPTA.COM S.A.
"3acb5a49fb91402daf8693169bd11746",Ventanilla Minera,Servicio Nacional de Geología y Minería
"3a631284571347bf8acba49209e63034",Gesparvu Junji,Junta Nacional de Jardines Infantiles
"41d8ac8a807045d8b6a2c52d0b0012dd",SIMPLE,Ministerio De Energía
"41da80f6154c4d918166fc43862f5d78",Web Cajmetro,Corporación de Asistencia Judicial de la Región Metropolitana
"42fe5e61820647849d3cda4c6141b8d7",Telecomité,Subsecretaría de Redes Asistenciales
"42ff973452934d5bb8e19d962b666ef5",Municipalidad de Recoleta - Simple,Municipalidad de Recoleta
"430f7e4799cf4b2581c70a60115bbbed",Ingreso solicitudes DT,Subsecretaría de Salud Pública
"4461c788433345b8a4a296b35aa9499d",Superintendencia de Educación,Superintendencia de Educación
"44db06efed134a91bffa7407f60d7979",Tramitación Eletrónica TC,Tribunal Constitucional de Chile
"28fe80c941844d5b9db20745a4272715",FEA cert,Subsecretaría General de la Presidencia de la República
"2c12290764aa4f67ba25e9cf801bd06c",Servel,Servicio Electoral
"239b1152a21a4cebb35b2a9dc02b10a9",Agencia de Calidad de la Educación,MINISTERIO DE EDUCACION
"463f33b89c2c4f13aa89f8f5d5096d6a",Extranet IMVallenar,Municipalidad de Vallenar
"464e1e6fd76545548612d41bac094817",Arriendo en línea,Ministerio Vivienda y Urbanismo
"465d39a118f84dcca1751c69cccc4f3f",HJNC Virtual,Hospital Regional de Arica y Parinacota Dr. Juan Noé Crevani
"478deb22cecd489eb3ed2dcc954a975b",Portal Vecino,Municipalidad de Providencia
