corrida,seed,Q_ponderada,Q_binaria,n_comunidades
0,42,0.022467514076123834,0.1301822034907707,4
1,43,0.024777168680718567,0.1301822034907707,5
2,44,0.02246751407612383,0.12984099847215166,4
3,45,0.024777168680718567,0.1301822034907707,5
4,46,0.024777168680718567,0.1301822034907707,5
5,47,0.02483339315713911,0.130163053953294,4
6,48,0.024777168680718567,0.1301822034907707,5
7,49,0.02389577969125308,0.1301822034907707,4
8,50,0.02477716868071857,0.1301822034907707,5
9,51,0.022435785458240775,0.1301822034907707,3
10,52,0.022467514076123834,0.1301822034907707,4
11,53,0.02246751407612383,0.1301822034907707,4
12,54,0.024777168680718567,0.1301822034907707,5
13,55,0.014487986603276631,0.1301822034907707,4
14,56,0.015168640435707287,0.1301822034907707,3
15,57,0.02477716868071857,0.1301822034907707,5
16,58,0.02477716868071857,0.13015972430513228,5
17,59,0.015059203796021428,0.130163053953294,3
18,60,0.024777168680718567,0.1301822034907707,5
19,61,0.015245542071246738,0.1301822034907707,3
20,62,0.022467514076123834,0.1301822034907707,4
21,63,0.023830996169893592,0.1301822034907707,3
22,64,0.02243578545824078,0.1301822034907707,3
23,65,0.024777168680718567,0.13015972430513228,5
24,66,0.024777168680718567,0.1301822034907707,5
25,67,0.024777168680718567,0.1301822034907707,5
26,68,0.015245542071246738,0.1301822034907707,3
27,69,0.024777168680718567,0.1301822034907707,5
28,70,0.024777168680718567,0.130163053953294,5
29,71,0.015168640435707289,0.1301822034907707,3
30,72,0.02246751407612383,0.13015972430513228,4
31,73,0.024777168680718567,0.1301822034907707,5
32,74,0.02246751407612383,0.130163053953294,4
33,75,0.024777168680718567,0.130163053953294,5
34,76,0.015168640435707289,0.1301822034907707,3
35,77,0.02383099616989359,0.1301822034907707,3
36,78,0.02349893733525215,0.130163053953294,5
37,79,0.02246751407612383,0.1301822034907707,4
38,80,0.024777168680718567,0.1301822034907707,5
39,81,0.01422015244742872,0.12984099847215166,4
40,82,0.023866278894843954,0.13015972430513228,3
41,83,0.02477716868071857,0.12984099847215166,5
42,84,0.024777168680718567,0.1301822034907707,5
43,85,0.024777168680718567,0.1301822034907707,5
44,86,0.02246751407612383,0.1301822034907707,4
45,87,0.015244535787448027,0.1301822034907707,3
46,88,0.023830996169893592,0.1301822034907707,3
47,89,0.024777168680718567,0.130163053953294,5
48,90,0.022435785458240775,0.1301822034907707,3
49,91,0.024777168680718567,0.13015972430513228,5
50,92,0.022467514076123834,0.1301822034907707,4
51,93,0.023830996169893592,0.1301822034907707,3
52,94,0.024777168680718567,0.1301822034907707,5
53,95,0.01418050149904104,0.1301822034907707,5
54,96,0.02246751407612383,0.1301822034907707,4
55,97,0.024777168680718567,0.130163053953294,5
56,98,0.024777168680718567,0.1301822034907707,5
57,99,0.023886939884693294,0.1301822034907707,3
58,100,0.015067176687278963,0.1301822034907707,3
59,101,0.02246751407612383,0.1301822034907707,4
60,102,0.024777168680718567,0.12984099847215166,5
61,103,0.024777168680718567,0.1301822034907707,5
62,104,0.024777168680718567,0.1301822034907707,5
63,105,0.024777168680718567,0.130163053953294,5
64,106,0.02246751407612383,0.1301822034907707,4
65,107,0.024777168680718567,0.1301822034907707,5
66,108,0.02477716868071857,0.130163053953294,5
67,109,0.02476034392868652,0.12984099847215166,4
68,110,0.015168640435707287,0.1301822034907707,3
69,111,0.02477716868071857,0.1301822034907707,5
70,112,0.024777168680718567,0.1301822034907707,5
71,113,0.01632983496032286,0.1301822034907707,3
72,114,0.024777168680718567,0.1301822034907707,5
73,115,0.02246751407612383,0.1301822034907707,4
74,116,0.02246751407612383,0.130163053953294,4
75,117,0.024777168680718567,0.1301822034907707,5
76,118,0.024777168680718567,0.1301822034907707,5
77,119,0.02477716868071857,0.1301822034907707,5
78,120,0.024777168680718567,0.1301822034907707,5
79,121,0.024777168680718567,0.1301822034907707,5
80,122,0.02246751407612383,0.130163053953294,4
81,123,0.02246751407612383,0.130163053953294,4
82,124,0.015245542071246738,0.130163053953294,3
83,125,0.024775236462819216,0.13015972430513228,3
84,126,0.015083499339555368,0.1301822034907707,3
85,127,0.02243578545824078,0.1301822034907707,3
86,128,0.02246751407612383,0.1301822034907707,4
87,129,0.02383099616989359,0.1301822034907707,3
88,130,0.02383099616989359,0.1301822034907707,3
89,131,0.02246751407612383,0.1301822034907707,4
90,132,0.02477716868071857,0.13015972430513228,5
91,133,0.02477716868071857,0.1301822034907707,5
92,134,0.02349993829762028,0.1301822034907707,5
93,135,0.02477716868071857,0.1301822034907707,5
94,136,0.024777168680718567,0.1301822034907707,5
95,137,0.015244535787448027,0.1301822034907707,3
96,138,0.024777168680718567,0.1301822034907707,5
97,139,0.022467514076123834,0.1301822034907707,4
98,140,0.024777168680718567,0.1301822034907707,5
99,141,0.023895779691253078,0.1301822034907707,4
