institucion,comunidad_modal
MUNICIPALIDAD DE COLINA,1
MUNICIPALIDAD DE COLLIPULLI,1
MUNICIPALIDAD DE COQUIMBO,4
MUNICIPALIDAD DE CORONEL,4
MUNICIPALIDAD DE CORRAL,1
MUNICIPALIDAD DE COYHAIQUE,4
MUNICIPALIDAD DE CURARREHUE,1
MUNICIPALIDAD DE CURICO,4
MUNICIPALIDAD DE DONIHUE,1
MUNICIPALIDAD DE EL BOSQUE,4
MUNICIPALIDAD DE EL QUISCO,1
MUNICIPALIDAD DE ESTACION CENTRAL,1
MUNICIPALIDAD DE HUALANE,1
MUNICIPALIDAD DE HUECHURABA,4
MUNICIPALIDAD DE LA FLORIDA,4
MUNICIPALIDAD DE LA REINA,4
MUNICIPALIDAD DE LAS CONDES,4
MUNICIPALIDAD DE LAUTARO,4
MUNICIPALIDAD DE LICANTEN,1
MUNICIPALIDAD DE LLANQUIHUE,4
MUNICIPALIDAD DE LO BARNECHEA,4
MUNICIPALIDAD DE LOS ANGELES,4
MUNICIPALIDAD DE LOS SAUCES,1
MUNICIPALIDAD DE LOS VILOS,4
MUNICIPALIDAD DE LOTA,1
MUNICIPALIDAD DE MAIPU,4
MUNICIPALIDAD DE MAULLIN,4
MUNICIPALIDAD DE MELIPILLA,4
MUNICIPALIDAD DE MULCHEN,3
MUNICIPALIDAD DE NACIMIENTO,1
MUNICIPALIDAD DE NAVIDAD,4
MUNICIPALIDAD DE NUNOA,4
MUNICIPALIDAD DE OSORNO,4
MUNICIPALIDAD DE PADRE HURTADO,4
MUNICIPALIDAD DE PANGUIPULLI,4
MUNICIPALIDAD DE PARRAL,4
MUNICIPALIDAD DE PEDRO AGUIRRE CERDA,4
MUNICIPALIDAD DE PELARCO,4
MUNICIPALIDAD DE PENAFLOR,4
MUNICIPALIDAD DE PENALOLEN,4
MUNICIPALIDAD DE PINTO,1
MUNICIPALIDAD DE PITRUFQUEN,1
MUNICIPALIDAD DE PROVIDENCIA,4
MUNICIPALIDAD DE PUCON,4
MUNICIPALIDAD DE PUENTE ALTO,0
MUNICIPALIDAD DE PUERTO MONTT,4
MUNICIPALIDAD DE PUERTO VARAS,4
MUNICIPALIDAD DE PUNTA ARENAS,4
MUNICIPALIDAD DE QUILICURA,4
MUNICIPALIDAD DE QUILPUE,4
MUNICIPALIDAD DE RANCAGUA,1
MUNICIPALIDAD DE RECOLETA,1
MUNICIPALIDAD DE RENAICO,1
MUNICIPALIDAD DE RENCA,4
