corrida,seed,Q_ponderada,Q_binaria,n_comunidades
0,42,0.5483721387171011,0.1308001071803208,10
1,43,0.5483927724879053,0.13079702373962915,11
2,44,0.5472172277805146,0.13072636657004783,12
3,45,0.5484347798086141,0.13077250175094413,11
4,46,0.5485160861311816,0.1307654247791364,11
5,47,0.5483927724879061,0.1308001071803208,11
6,48,0.5478090396773999,0.13074257161297798,11
7,49,0.5486899984751326,0.12365046591351586,11
8,50,0.5479281306939041,0.13102511102870315,10
9,51,0.5483927724879067,0.13079702373962915,11
10,52,0.5483263596771105,0.1308001071803208,10
11,53,0.5486243586915044,0.12400331709136926,11
12,54,0.5486899984751303,0.13077250175094413,11
13,55,0.5486899984751312,0.1307654247791364,11
14,56,0.5486899984751318,0.1308001071803208,11
15,57,0.547964138784591,0.13102511102870315,12
16,58,0.5478568982783927,0.13072636657004783,10
17,59,0.5479101525370795,0.12367441157628184,12
18,60,0.5487669926152673,0.13102511102870315,11
19,61,0.5483927724879036,0.1307846337026145,11
20,62,0.5483927724879055,0.13105067894220435,11
21,63,0.5486899984751324,0.13102511102870315,11
22,64,0.5479760305456046,0.13086178763710193,10
23,65,0.5486899984751309,0.1308001071803208,11
24,66,0.5482581314625246,0.13077250175094413,11
25,67,0.5479379183298894,0.1308001071803208,12
26,68,0.5486372825620655,0.1307562947675226,10
27,69,0.5485273102272368,0.13102511102870315,11
28,70,0.5486899984751321,0.13105067894220435,11
29,71,0.5479277059926186,0.13077250175094413,10
30,72,0.5482581314625252,0.13079702373962915,11
31,73,0.5482581314625239,0.13074257161297798,11
32,74,0.5481380087045417,0.13077250175094413,10
33,75,0.5485273102272364,0.1308001071803208,11
34,76,0.5482581314625242,0.13102511102870315,11
35,77,0.5435449682921288,0.13105067894220435,10
36,78,0.5480182561529815,0.1308001071803208,11
37,79,0.5482581314625247,0.1308001071803208,11
38,80,0.5482321967347302,0.1307654247791364,11
39,81,0.547928130693905,0.13105067894220435,10
40,82,0.5479379183298881,0.1307654247791364,12
41,83,0.5486899984751314,0.13077250175094413,11
42,84,0.5486899984751322,0.13077250175094413,11
43,85,0.5483927724879043,0.13105067894220435,11
44,86,0.5479375295483945,0.13079702373962915,9
45,87,0.5486372825620669,0.13077250175094413,10
46,88,0.548434779808615,0.1308001071803208,11
47,89,0.5483739372747505,0.13077250175094413,12
48,90,0.5483739372747507,0.12332219493908683,12
49,91,0.5476565330123523,0.13077250175094413,9
50,92,0.5484347798086164,0.13077250175094413,11
51,93,0.5485273102272373,0.13077250175094413,11
52,94,0.5482581314625249,0.13102511102870315,11
53,95,0.5483739372747517,0.13091793381266675,12
54,96,0.5486235856643366,0.1307654247791364,10
55,97,0.5479375295483926,0.1307562947675226,9
56,98,0.5483210110499066,0.13086178763710193,10
57,99,0.5479281306939036,0.13086178763710193,10
58,100,0.5484558623870653,0.1307570496186422,11
59,101,0.5486235856643367,0.13105067894220435,10
60,102,0.5484347798086155,0.1307654247791364,11
61,103,0.5483927724879037,0.1307562947675226,11
62,104,0.5481370601055386,0.13079702373962915,11
63,105,0.5486235856643352,0.13105067894220435,10
64,106,0.5483927724879054,0.13077250175094413,11
65,107,0.5478002962425393,0.13079702373962915,12
66,108,0.5483437101003721,0.13078723590146127,11
67,109,0.5484421654893351,0.1307654247791364,11
68,110,0.5482581314625243,0.13102511102870315,11
69,111,0.548516086131182,0.13083700756307265,11
70,112,0.5481938970077589,0.1308001071803208,10
71,113,0.5483437101003739,0.13074257161297798,11
72,114,0.5476171953219161,0.12003477756287828,10
73,115,0.5483927724879059,0.12365046591351586,11
74,116,0.5474523190960178,0.13105067894220435,12
75,117,0.5483437101003744,0.1308001071803208,11
76,118,0.548540279324868,0.13079702373962915,11
77,119,0.547937918329889,0.13058682389945114,12
78,120,0.54777554039719,0.1307654247791364,11
79,121,0.5482209490672781,0.13102511102870315,10
80,122,0.5484484267830794,0.1308001071803208,11
81,123,0.5486899984751324,0.1308491666816214,11
82,124,0.5483437101003731,0.13085573330421457,11
83,125,0.5482581314625239,0.13105067894220435,11
84,126,0.5483739372747515,0.13077250175094413,12
85,127,0.5486899984751314,0.13102511102870315,11
86,128,0.5483210110499075,0.13063384200389355,10
87,129,0.548321011049907,0.1307209312538884,10
88,130,0.5484347798086149,0.13077250175094413,11
89,131,0.5486899984751311,0.13083700756307265,11
90,132,0.5479379183298885,0.13077250175094413,12
91,133,0.5478564676752546,0.13074257161297798,11
92,134,0.5483263596771104,0.1307654247791364,10
93,135,0.5482581314625261,0.1307654247791364,11
94,136,0.5483927724879059,0.1308001071803208,11
95,137,0.5480909527355746,0.13077250175094413,10
96,138,0.5485273102272366,0.12254938457240486,11
97,139,0.5482073856301062,0.1307654247791364,10
98,140,0.5480182561529805,0.13105067894220435,11
99,141,0.5483927724879049,0.13102511102870315,11
