institucion,frac_desacuerdo_con_modal,inestable_mayor_20pct
"MINISTERIO DE LAS CULTURAS, LAS ARTES Y EL PATRIMONIO",0.06,False
MINISTERIO DE OBRAS PUBLICAS,0.01,False
MINISTERIO DE RELACIONES EXTERIORES,0.0,False
MINISTERIO DE SALUD,0.0,False
MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES,0.0,False
MINISTERIO DE VIVIENDA Y URBANISMO,0.0,False
MINISTERIO DEL INTERIOR,0.05,False
MINISTERIO DEL MEDIO AMBIENTE,0.04,False
MINISTERIO PUBLICO,0.0,False
MINISTERIO SECRETARIA GENERAL DE GOBIERNO,0.05,False
MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,0.13,False
MUNICIPALIDAD DE ANGOL,0.0,False
MUNICIPALIDAD DE ANTOFAGASTA,0.0,False
MUNICIPALIDAD DE ARICA,0.05,False
MUNICIPALIDAD DE CABILDO,0.0,False
MUNICIPALIDAD DE CASTRO,0.16,False
MUNICIPALIDAD DE COIHUECO,0.0,False
MUNICIPALIDAD DE COLINA,0.0,False
MUNICIPALIDAD DE COLLIPULLI,0.0,False
MUNICIPALIDAD DE COQUIMBO,0.02,False
MUNICIPALIDAD DE CORONEL,0.08,False
MUNICIPALIDAD DE CORRAL,0.0,False
MUNICIPALIDAD DE COYHAIQUE,0.13,False
MUNICIPALIDAD DE CURARREHUE,0.46,True
MUNICIPALIDAD DE CURICO,0.0,False
MUNICIPALIDAD DE DONIHUE,0.0,False
MUNICIPALIDAD DE EL BOSQUE,0.09,False
MUNICIPALIDAD DE EL QUISCO,0.0,False
MUNICIPALIDAD DE ESTACION CENTRAL,0.0,False
MUNICIPALIDAD DE HUALANE,0.0,False
MUNICIPALIDAD DE HUECHURABA,0.0,False
MUNICIPALIDAD DE LA FLORIDA,0.0,False
MUNICIPALIDAD DE LA REINA,0.0,False
MUNICIPALIDAD DE LAS CONDES,0.0,False
MUNICIPALIDAD DE LAUTARO,0.0,False
MUNICIPALIDAD DE LICANTEN,0.08,False
MUNICIPALIDAD DE LLANQUIHUE,0.0,False
MUNICIPALIDAD DE LO BARNECHEA,0.0,False
MUNICIPALIDAD DE LOS ANGELES,0.0,False
MUNICIPALIDAD DE LOS SAUCES,0.0,False
MUNICIPALIDAD DE LOS VILOS,0.02,False
MUNICIPALIDAD DE LOTA,0.0,False
MUNICIPALIDAD DE MAIPU,0.0,False
MUNICIPALIDAD DE MAULLIN,0.0,False
MUNICIPALIDAD DE MELIPILLA,0.09,False
MUNICIPALIDAD DE MULCHEN,0.0,False
MUNICIPALIDAD DE NACIMIENTO,0.08,False
MUNICIPALIDAD DE NAVIDAD,0.0,False
MUNICIPALIDAD DE NUNOA,0.0,False
MUNICIPALIDAD DE OSORNO,0.05,False
MUNICIPALIDAD DE PADRE HURTADO,0.0,False
MUNICIPALIDAD DE PANGUIPULLI,0.0,False
MUNICIPALIDAD DE PARRAL,0.0,False
MUNICIPALIDAD DE PEDRO AGUIRRE CERDA,0.0,False
MUNICIPALIDAD DE PELARCO,0.0,False
MUNICIPALIDAD DE PENAFLOR,0.0,False
MUNICIPALIDAD DE PENALOLEN,0.0,False
MUNICIPALIDAD DE PINTO,0.0,False
MUNICIPALIDAD DE PITRUFQUEN,0.0,False
MUNICIPALIDAD DE PROVIDENCIA,0.0,False
MUNICIPALIDAD DE PUCON,0.0,False
MUNICIPALIDAD DE PUENTE ALTO,0.0,False
MUNICIPALIDAD DE PUERTO MONTT,0.0,False
MUNICIPALIDAD DE PUERTO VARAS,0.09,False
MUNICIPALIDAD DE PUNTA ARENAS,0.0,False
MUNICIPALIDAD DE QUILICURA,0.0,False
MUNICIPALIDAD DE QUILPUE,0.0,False
MUNICIPALIDAD DE RANCAGUA,0.0,False
MUNICIPALIDAD DE RECOLETA,0.0,False
MUNICIPALIDAD DE RENAICO,0.11,False
MUNICIPALIDAD DE RENCA,0.0,False
MUNICIPALIDAD DE RENGO,0.0,False
MUNICIPALIDAD DE REQUINOA,0.0,False
MUNICIPALIDAD DE RIO BUENO,0.0,False
MUNICIPALIDAD DE RIO CLARO,0.0,False
MUNICIPALIDAD DE SAN ANTONIO,0.0,False
MUNICIPALIDAD DE SAN CLEMENTE,0.51,True
MUNICIPALIDAD DE SAN FERNANDO,0.0,False
MUNICIPALIDAD DE SAN JOAQUIN,0.08,False
MUNICIPALIDAD DE SAN PEDRO DE ATACAMA,0.09,False
MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,0.08,False
MUNICIPALIDAD DE SANTA BARBARA,0.0,False
MUNICIPALIDAD DE SANTIAGO,0.0,False
MUNICIPALIDAD DE SANTO DOMINGO,0.0,False
MUNICIPALIDAD DE TALTAL,0.46,True
MUNICIPALIDAD DE TEMUCO,0.0,False
MUNICIPALIDAD DE TOME,0.08,False
MUNICIPALIDAD DE TORRES DEL PAINE,0.13,False
MUNICIPALIDAD DE VALDIVIA,0.0,False
MUNICIPALIDAD DE VALLENAR,0.0,False
MUNICIPALIDAD DE VALPARAISO,0.0,False
MUNICIPALIDAD DE VILLA ALEGRE,0.05,False
MUNICIPALIDAD DE VILLARRICA,0.0,False
MUNICIPALIDAD DE VINA DEL MAR,0.0,False
MUNICIPALIDAD DE VITACURA,0.0,False
