institucion,binarizada_constraint,binarizada_constraint_pct,binarizada_constraint_residual,binarizada_constraint_z_nulo,binarizada_effective_size,binarizada_effective_size_nx,binarizada_effective_size_pct,binarizada_efficiency,binarizada_hierarchy,binarizada_caso_borde,ponderada_constraint,ponderada_constraint_pct,ponderada_constraint_residual,ponderada_constraint_z_nulo,ponderada_effective_size,ponderada_effective_size_nx,ponderada_effective_size_pct,ponderada_efficiency,ponderada_hierarchy,ponderada_caso_borde,grado,grado_ponderado,betweenness_binaria,betweenness_binaria_pct,betweenness_ponderada,betweenness_ponderada_pct,closeness,clustering_local
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,0.01734234752279382,0.0,,,214.16109422492437,214.16109422492448,100.0,0.6509455751517458,0.0,normal,0.12363825110627374,35.25835866261398,0.031959753704620925,-0.22600373667106521,197.19636134310397,317.1000396910602,100.0,0.5993810375170333,0.0010589495080311425,normal,329,82350032,0.032141351029019806,100.0,0.5267953147625124,100.0,0.8796791443850267,0.3501186151679146
SERVICIO DE IMPUESTOS INTERNOS,0.017438849603280064,7.29483282674772,,,212.81097560975607,212.81097560975618,99.69604863221885,0.6488139500297441,0.0,normal,0.12787754630763715,49.544072948328264,0.036098191128752954,-0.4405451962597828,191.49213258333256,315.69347482649613,99.69604863221885,0.583817477388209,0.0010582268061878639,normal,328,68084356,0.02743890948696306,99.73262032085562,0.011404854410689452,99.73262032085562,0.8770134500081024,0.3522600134258223
FONDO NACIONAL DE SALUD,0.017451462443911853,8.206686930091186,,,203.46728971962625,203.46728971962614,98.78419452887537,0.6338544851078699,0.0,normal,0.1341099707873251,72.03647416413374,0.04161588132876168,0.09601629802210192,178.30010529655692,308.63136345088594,98.17629179331307,0.5554520414222957,0.0011103761334683548,normal,321,60969963,0.018020473762094414,98.93048128342245,5.734684807386274e-05,98.66310160427807,0.858796553420397,0.36728971962616824
MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,0.017446886458650793,7.90273556231003,,,202.14999999999975,202.14999999999995,98.48024316109422,0.6317187499999992,0.0,normal,0.1347391225275275,73.55623100303951,0.04214165777687759,1.0872771038202445,177.7398575369518,307.69839447389387,97.87234042553192,0.5554370548029743,0.0011146105870021923,normal,320,59359308,0.017497234975963356,98.66310160427807,0.0010752534013849264,98.93048128342245,0.8562557352150112,0.369435736677116
SECRETARIA DE GOBIERNO DIGITAL,0.01746622096613281,9.118541033434651,,,208.80307692307656,208.80307692307662,99.3920972644377,0.6424710059171587,0.0,normal,0.1337210565640707,71.12462006079028,0.0416372727113449,0.5982740928794947,181.98170974982153,312.5803003167948,99.08814589665653,0.5599437223071432,0.0010887423453243932,normal,325,58507454,0.022156786888959668,99.46524064171123,0.006093102607847916,99.46524064171123,0.8691124279359573,0.35863247863247866
SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,0.01741414243374819,6.382978723404255,,,198.17981072555227,198.17981072555224,97.87234042553192,0.6251729044970104,0.0,normal,0.13480583472596688,74.16413373860182,0.04189629462969427,-0.06059009152492021,174.02127328316035,304.60652161575507,96.96048632218846,0.5489630072023985,0.0011228651520066163,normal,317,55609461,0.01591499002767348,98.1283422459893,0.0,49.19786096256685,0.8487226935562281,0.3760132571976201
SUBSECRETARIA DE EVALUACION SOCIAL,0.01744638667596811,7.598784194528875,,,200.83699059561098,200.83699059561104,98.17629179331307,0.6295830426194702,0.0,normal,0.13655479048224103,77.20364741641338,0.04385362688563729,-0.18315806435256174,176.15280382159372,306.6704865610809,97.26443768996961,0.5522031467761559,0.0011205528247777794,normal,319,53025958,0.01700029722938043,98.3957219251337,0.004229330045447377,99.19786096256684,0.8537299070875333,0.3715817905798387
COMISION PARA EL MERCADO FINANCIERO,0.017452985400792452,8.51063829787234,,,206.12693498451995,206.12693498451995,99.08814589665653,0.6381638854009906,0.0,normal,0.13162062190128007,61.09422492401215,0.03933232039769083,0.1300778047193392,182.47240079479403,310.51477482730047,99.3920972644377,0.5649300334204149,0.0010714819033974463,normal,323,48905616,0.019846903637584547,99.19786096256684,0.0,49.19786096256685,0.8639236970229068,0.36295982924062076
INSTITUTO DE PREVISION SOCIAL,0.017389598058849966,4.25531914893617,,,191.5448717948722,191.54487179487217,97.56838905775076,0.6139258711374109,0.0,normal,0.13831629823372552,80.24316109422493,0.04488001009116971,0.4449068482016507,168.50233064970124,299.52370688670345,94.83282674772036,0.5400715725951962,0.0011381265937908823,normal,312,46279473,0.013206658811865672,97.86096256684492,0.0,49.19786096256685,0.8364579147476121,0.3873155247753319
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,0.01737092452584117,1.82370820668693,,,174.67892976588638,174.67892976588627,94.52887537993921,0.584210467444436,0.0,normal,0.13799804694857842,79.63525835866263,0.0431516841207602,-0.2940588021425062,161.40586827964,286.40630238230074,91.1854103343465,0.5398189574569899,0.0011710004525231044,normal,299,36163225,0.009500818681069598,95.72192513368985,0.0,49.19786096256685,0.806168352375136,0.4171847994433346
