grupo,nombre_buscado,institucion,binarizada_constraint,binarizada_constraint_pct,binarizada_constraint_residual,binarizada_constraint_z_nulo,binarizada_effective_size,binarizada_effective_size_nx,binarizada_effective_size_pct,binarizada_efficiency,binarizada_hierarchy,binarizada_caso_borde,ponderada_constraint,ponderada_constraint_pct,ponderada_constraint_residual,ponderada_constraint_z_nulo,ponderada_effective_size,ponderada_effective_size_nx,ponderada_effective_size_pct,ponderada_efficiency,ponderada_hierarchy,ponderada_caso_borde,grado,grado_ponderado,betweenness_binaria,betweenness_binaria_pct,betweenness_ponderada,betweenness_ponderada_pct,closeness,clustering_local
puentes,SUBSECRETARIA GENERAL DE LA PRESIDENCIA,SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,0.01749729346678693,9.422492401215806,,,149.83453237410103,149.83453237410103,90.5775075987842,0.5389731380363346,0.0,normal,0.10950890282498577,1.5197568389057752,0.01224980415959298,-0.8048456340738532,172.96373085944472,264.53107253877107,96.35258358662614,0.6221716937390098,0.0009678712161903184,normal,278,2270255,0.007311629789463316,92.7807486631016,0.0,49.19786096256685,0.7616169434280889,0.4626912188660624
puentes,COMISION PARA LA INTEGRIDAD PUBLICA,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,0.018063563145179568,13.069908814589665,,,102.96652719665295,102.96652719665289,86.93009118541033,0.43082228952574453,-8.482270680363058e-20,normal,0.10646948845374972,0.60790273556231,0.004202274601382824,-0.7009458732907128,151.031198384498,225.43582852955547,89.36170212765957,0.6319297003535481,0.0010272512621761793,normal,239,1122050,0.0032168331910123783,88.50267379679144,0.0,49.19786096256685,0.690726583538601,0.5715692134594423
puentes,CONTRALORIA GENERAL DE LA REPUBLICA,CONTRALORIA GENERAL DE LA REPUBLICA,0.01738078171641774,3.64741641337386,,,174.24161073825474,174.24161073825476,94.22492401215806,0.5847033917391099,0.0,normal,0.11550814236749633,12.76595744680851,0.02055078528432884,-0.4524540402021396,180.27394131336692,284.70675722040244,98.78419452887537,0.6049461117898218,0.0009760207237637627,normal,298,5608523,0.010485553058454746,96.2566844919786,0.0,49.19786096256685,0.8039289958407605,0.41669491333920866
puentes,SERVICIO CIVIL,DIRECCION NACIONAL DEL SERVICIO CIVIL,0.01734728222108208,0.60790273556231,,,179.9570957095708,179.95709570957084,96.04863221884499,0.5939178076223459,0.0,normal,0.12054244306254738,26.13981762917933,0.026136375807257972,-0.2285618157643115,180.05951583758585,289.89692483287837,98.48024316109422,0.594255827846818,0.0010141539390067632,normal,303,10580556,0.011010101760358704,96.79144385026738,0.0,49.19786096256685,0.8152519394441515,0.40742683539877167
puentes,COMISION PARA EL MERCADO FINANCIERO,COMISION PARA EL MERCADO FINANCIERO,0.017452985400792452,8.51063829787234,,,206.12693498451995,206.12693498451995,99.08814589665653,0.6381638854009906,0.0,normal,0.13162062190128007,61.09422492401215,0.03933232039769083,0.1300778047193392,182.47240079479403,310.51477482730047,99.3920972644377,0.5649300334204149,0.0010714819033974463,normal,323,48905616,0.019846903637584547,99.19786096256684,0.0,49.19786096256685,0.8639236970229068,0.36295982924062076
hubs,PODER JUDICIAL,PODER JUDICIAL,0.01738380738438127,3.951367781155015,,,190.20257234726694,190.20257234726708,97.26443768996961,0.6115838339140416,0.0,normal,0.13206430740995662,63.22188449848024,0.038521657204192594,0.006682679511262715,173.79967988704192,298.3049530653849,96.65653495440729,0.5588414144277876,0.0010867402581390398,normal,311,35100435,0.012658501454845348,97.59358288770053,0.0,49.19786096256685,0.8340473732065526,0.3896691214604294
hubs,SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,0.01734234752279382,0.0,,,214.16109422492437,214.16109422492448,100.0,0.6509455751517458,0.0,normal,0.12363825110627374,35.25835866261398,0.031959753704620925,-0.22600373667106521,197.19636134310397,317.1000396910602,100.0,0.5993810375170333,0.0010589495080311425,normal,329,82350032,0.032141351029019806,100.0,0.5267953147625124,100.0,0.8796791443850267,0.3501186151679146
hubs,SERVICIO DE IMPUESTOS INTERNOS,SERVICIO DE IMPUESTOS INTERNOS,0.017438849603280064,7.29483282674772,,,212.81097560975607,212.81097560975618,99.69604863221885,0.6488139500297441,0.0,normal,0.12787754630763715,49.544072948328264,0.036098191128752954,-0.4405451962597828,191.49213258333256,315.69347482649613,99.69604863221885,0.583817477388209,0.0010582268061878639,normal,328,68084356,0.02743890948696306,99.73262032085562,0.011404854410689452,99.73262032085562,0.8770134500081024,0.3522600134258223
hubs,SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,0.01741414243374819,6.382978723404255,,,198.17981072555227,198.17981072555224,97.87234042553192,0.6251729044970104,0.0,normal,0.13480583472596688,74.16413373860182,0.04189629462969427,-0.06059009152492021,174.02127328316035,304.60652161575507,96.96048632218846,0.5489630072023985,0.0011228651520066163,normal,317,55609461,0.01591499002767348,98.1283422459893,0.0,49.19786096256685,0.8487226935562281,0.3760132571976201
hubs,MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,0.017446886458650793,7.90273556231003,,,202.14999999999975,202.14999999999995,98.48024316109422,0.6317187499999992,0.0,normal,0.1347391225275275,73.55623100303951,0.04214165777687759,1.0872771038202445,177.7398575369518,307.69839447389387,97.87234042553192,0.5554370548029743,0.0011146105870021923,normal,320,59359308,0.017497234975963356,98.66310160427807,0.0010752534013849264,98.93048128342245,0.8562557352150112,0.369435736677116
hubs,FONDO NACIONAL DE SALUD,FONDO NACIONAL DE SALUD,0.017451462443911853,8.206686930091186,,,203.46728971962625,203.46728971962614,98.78419452887537,0.6338544851078699,0.0,normal,0.1341099707873251,72.03647416413374,0.04161588132876168,0.09601629802210192,178.30010529655692,308.63136345088594,98.17629179331307,0.5554520414222957,0.0011103761334683548,normal,321,60969963,0.018020473762094414,98.93048128342245,5.734684807386274e-05,98.66310160427807,0.858796553420397,0.36728971962616824
