institucion,frac_desacuerdo_con_modal,inestable_mayor_20pct
SEGUNDO TRIBUNAL AMBIENTAL,0.0,False
SEGUNDO TRIBUNAL ELECTORAL REGION METROPOLITANA,0.0,False
SENADO,0.07,False
SERVICIO AGRICOLA Y GANADERO,0.02,False
SERVICIO DE COOPERACION TECNICA,0.49,True
SERVICIO DE EVALUACION AMBIENTAL,0.07,False
SERVICIO DE IMPUESTOS INTERNOS,0.16,False
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,0.16,False
SERVICIO DE SALUD ANTOFAGASTA,0.0,False
SERVICIO DE SALUD ARAUCANIA SUR,0.0,False
SERVICIO DE SALUD ARICA Y PARINACOTA,0.0,False
SERVICIO DE SALUD ATACAMA,0.25,True
SERVICIO DE SALUD AYSEN,0.49,True
SERVICIO DE SALUD BIOBIO,0.07,False
SERVICIO DE SALUD COQUIMBO,0.32,True
SERVICIO DE SALUD DEL RELONCAVI,0.0,False
SERVICIO DE SALUD LIBERTADOR GENERAL BERNARDO O'HIGGINS,0.0,False
SERVICIO DE SALUD MAGALLANES,0.0,False
SERVICIO DE SALUD MAULE,0.0,False
SERVICIO DE SALUD METROPOLITANO ORIENTE,0.41,True
SERVICIO DE SALUD METROPOLITANO SUR,0.5,True
SERVICIO DE SALUD METROPOLITANO SUR ORIENTE,0.49,True
SERVICIO DE SALUD NUBLE,0.0,False
SERVICIO DE SALUD OSORNO,0.0,False
SERVICIO DE SALUD TARAPACA,0.0,False
SERVICIO DE SALUD VINA DEL MAR - QUILLOTA,0.0,False
SERVICIO DE TESORERIAS,0.02,False
SERVICIO ELECTORAL,0.03,False
SERVICIO LOCAL DE EDUCACION PUBLICA DE ANDALIEN SUR,0.0,False
SERVICIO LOCAL DE EDUCACION PUBLICA DE CHINCHORRO,0.0,False
SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA,0.0,False
SERVICIO LOCAL DE EDUCACION PUBLICA DE PUNILLA CORDILLERA,0.0,False
