umbral_soporte,n_tests,n_sobrevive_BH_q05,nota
25,,,no disponible en datos locales
50,87465.0,75252.0,
100,68221.0,59836.0,
200,52249.0,46577.0,
500,35565.0,32273.0,
1000,25959.0,23825.0,
