combinacion,n_pares,caida_pct_vs_sin_correccion
4_criterios_sin_correccion,5113,0.0
4_criterios_+_BH_q05,5113,0.0
4_criterios_+_BH_q01,5113,0.0
4_criterios_+_BY_q05,5113,0.0
