client_id,nombre_app,institucion,sector
6ff654c360c240d38914fbc00a2193da,Agencia Nacional de Ciberseguridad,Agencia Nacional de Ciberseguridad,Ministerio del Interior y Seguridad Pública
e1669d0517f14a979d9a93159b4906b0,Agenda Casino,Presidencia de la República,Presidencia de la República
c818ed2d5acc4228970ee8fee77af21a,Agenda Digital 2020,Secretaría de Gobierno Digital,Ministerio de Hacienda
efc2ff990ea34f39b9cc691bfe733130,Agenda Municipalidad de Puente Alto,Municipalidad de Puente Alto,Municipalidad
76f7fe7d1a254857a6f6ba019cb2cbe4,Agenda Pública,Subsecretaría de Prevención del Delito,Ministerio del Interior y Seguridad Pública
165139dad00243e695f7f3a695563ae2,Agendamiento EIVG,Ministerio Público,Autónomo
0faae9b6b5084555a1873eff484b4d9c,Agendamiento Licencia Conducir,Municipalidad de Puente Alto,Municipalidad
ec6256fdfd1641029a97452e1c1ec8c1,Agendamiento Remoto 0,Altiuz,Empresa Privada
059377ce35e742a6bb18d0e6bede872d,Agendamiento Remoto,Ministerio de Salud,Ministerio de Salud
160970e749cd4acdb184cf711136266b,Agendamiento Remoto 2,Ministerio de Salud,Ministerio de Salud
4a7b21ebada84c12bbcefb86b3710dbf,Ampliación RPA,Servicio Nacional de Pesca y Acuicultura,"Ministerio de Economía, Fomento y Turismo"
dc093b8df15344f183752472f7f81e34,Anatomia H. San Pablo,Servicio de Salud Coquimbo,Ministerio de Salud
705b78c3d59c4e1bbeaec3123c0f6de2,ApelaciónbeneficiosEstudiantil,Subsecretaría de Educación,Ministerio de Educación
da0938bcedaf423aa68ea86255b40d6e,API Receta Medica,Subsecretaría de Salud Pública,Ministerio de Salud
91f3f86897ff4ae39e50cbd7035fa8af,APIs Receta Electrónica,Subsecretaría de Salud Pública,Ministerio de Salud
78b34efb4c294414a050d14797a48efe,Aplicativo Gobierno Regional de Aysén,Gobierno Regional de la Región Aysén del General Carlos Ibáñez del Campo,Ministerio del Interior y Seguridad Pública
4fe1997e335a42bebada2226c38050dd,Aplicativo Licencia Digital,Subsecretaría de Transportes,Ministerio de Transportes y Telecomunicaciones
9ae55707cfcb459f9dcb36f8719d9cfa,Apolo Salud,Servicio de Salud Antofagasta,Ministerio de Salud
b2df2131754740578d280211e1658445,Apoyo Emergencia,Subsecretaría de Evaluación Social,Ministerio de Desarrollo Social y Familia
0110799749e340c2a80a51e792e58694,App Coronavirus,Secretaría de Gobierno Digital,Ministerio de Hacienda
