item1,item2,frequency
Mercado+Público: Dirección de Compras y Contratación Pública,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,14502
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",13471
undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,undefinedSII: Servicio de Impuestos Internos,13393
FONASA - Portal Beneficiario: Fondo Nacional de Salud,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",12445
Mercado+Público: Dirección de Compras y Contratación Pública,Registro Civil: SRCeI,12066
APIs Receta Electrónica: Subsecretaría de Salud Pública,Recetas en línea - Acceso Prescriptor: Subsecretaría de Salud Pública,11831
Candidaturas: servicio electoral,Contraloria General de la Republica: CONTRALORIA,11326
Mercado Público D. Jurada: Dirección de Compras y Contratación Pública,Mercado+Público: Dirección de Compras y Contratación Pública,10519
Devolución de Pagos en excesos: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,10480
Registro Civil: SRCeI,undefinedCMF: Comisión para el Mercado Financiero,10390
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,10343
Autenticacion Nube  Privada: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,9878
CAPREDENApp: Redin,Servicios en linea: Caja de Previsión de la Defensa Nacional,9876
Subsidio Eléctrico: Subsecretaría de Evaluación Social,miChileAtiende: Instituto de Previsión Social,9868
MINVU: Subsecretaría de Vivienda y Urbanismo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,9530
Autenticación TGR: Servicio de Tesorerías,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,8774
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,undefinedSII: Servicio de Impuestos Internos,8570
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Milicenciamedica.cl: Subsecretaría de Salud Pública,8560
Registro Civil: SRCeI,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",8536
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Resultados Subsidio Eléctrico: Subsecretaría de Energía,8474
Procedimiento Administrativo Electrónico: Superintendencia de Seguridad Social,Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,8314
miChileAtiende: Instituto de Previsión Social,undefinedCMF: Comisión para el Mercado Financiero,8213
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Resultados Subsidio Eléctrico: Subsecretaría de Energía,8160
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,www.sii.cl: Servicio de Impuestos Internos,7697
Milicenciamedica.cl: Subsecretaría de Salud Pública,Sistema de Apelación Contra de Isapres: Subsecretaría de Salud Pública,7646
FONASA - Portal Beneficiario: Fondo Nacional de Salud,miChileAtiende: Instituto de Previsión Social,7630
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,Mi Fiscalía en Línea: Ministerio Público,7566
Autenticación TGR: Servicio de Tesorerías,www.sii.cl: Servicio de Impuestos Internos,7510
PJUD: PODER JUDICIAL,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",6746
ChileAtiende: Instituto de Previsión Social,IPS - persona: Instituto de Previsión Social,6623
Autenticación TGR: Servicio de Tesorerías,Portal MiDT: Dirección del Trabajo,6587
Mercado+Público: Dirección de Compras y Contratación Pública,Registro nacional de Proveedores: Dirección de Compras y Contratación Pública,6455
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,6212
Registro Civil: SRCeI,Subsidio Eléctrico: Subsecretaría de Evaluación Social,5817
Bolsa Nacional de Empleo: Subsecretaría del Trabajo,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",5224
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Portal Servel: Servicio Electoral,5163
miChileAtiende: Instituto de Previsión Social,undefinedSII: Servicio de Impuestos Internos,4950
Subsidio Eléctrico: Subsecretaría de Evaluación Social,undefinedSII: Servicio de Impuestos Internos,4892
Servicios en linea: Caja de Previsión de la Defensa Nacional,miChileAtiende: Instituto de Previsión Social,4748
Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,4647
PJUD: PODER JUDICIAL,miChileAtiende: Instituto de Previsión Social,4495
FONASA - Portal Beneficiario: Fondo Nacional de Salud,PJUD: PODER JUDICIAL,4492
Contraloria General de la Republica: CONTRALORIA,undefinedSII: Servicio de Impuestos Internos,4417
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Tramites Mineduc: Ministerio de Educación,4265
FONASA - Portal Beneficiario: Fondo Nacional de Salud,undefinedSII: Servicio de Impuestos Internos,4101
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,3988
PJUD: PODER JUDICIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,3969
Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,3940
Protección Social: MDS,Subsidio Eléctrico: Subsecretaría de Evaluación Social,3540
ChileAtiende: Instituto de Previsión Social,Resultados Subsidio Eléctrico: Subsecretaría de Energía,3492
ChileAtiende: Instituto de Previsión Social,undefinedSII: Servicio de Impuestos Internos,3311
Registro Civil: SRCeI,miChileAtiende: Instituto de Previsión Social,3271
Milicenciamedica.cl: Subsecretaría de Salud Pública,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,3161
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,e-certchile: E-Cert Chile,2947
Acceso Clave Unica UFRO: Universidad de La Frontera,Agencia de Calidad de la Educación: MINISTERIO DE EDUCACION,2946
Resultados Subsidio Eléctrico: Subsecretaría de Energía,miChileAtiende: Instituto de Previsión Social,2935
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,2835
Milicenciamedica.cl: Subsecretaría de Salud Pública,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",2821
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,SPP: Fondo de Solidaridad e Inversión Social,2724
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Subsidio Eléctrico: Subsecretaría de Evaluación Social,2700
PJUD: PODER JUDICIAL,www.sii.cl: Servicio de Impuestos Internos,2679
Autenticación TGR: Servicio de Tesorerías,bcm2.sii.cl: Servicio de Impuestos Internos,2609
miChileAtiende: Instituto de Previsión Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",2565
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,MINVU: Subsecretaría de Vivienda y Urbanismo,2486
DIPRECA: Dirección de Previsión de Carabineros de Chile,miChileAtiende: Instituto de Previsión Social,2418
ASDigital: Ministerio de salud,Mercado+Público: Dirección de Compras y Contratación Pública,2389
Autenticación TGR: Servicio de Tesorerías,Registro Civil: SRCeI,2326
e-certchile: E-Cert Chile,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,2271
Registro Civil: SRCeI,www.sii.cl: Servicio de Impuestos Internos,2197
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,Registro Civil: SRCeI,2106
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,undefinedCMF: Comisión para el Mercado Financiero,2055
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,2003
Portal Servel: Servicio Electoral,SERVEL- RENDICION: Servicio Electoral,1908
Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1881
ACEPTA: ACEPTA.COM S.A.,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1826
Oficina Judicial Virtual Tribunales Tributarios y Aduaneros: Unidad Administradora de Tribunales Tributarios y Aduaneros,PJUD: PODER JUDICIAL,1744
Autenticacion Nube  Privada: Servicio de Impuestos Internos,bcm2.sii.cl: Servicio de Impuestos Internos,1632
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Registro Civil: SRCeI,1625
Autenticacion Nube  Privada: Servicio de Impuestos Internos,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1612
Municipalidad de Valparaíso - Simple: Municipalidad de Valparaíso,Registro Civil: SRCeI,1603
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,1511
MINVU: Subsecretaría de Vivienda y Urbanismo,Postulación en línea DS1: Subsecretaría de Vivienda y Urbanismo,1433
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Simple Trámites: Subsecretaría de Evaluación Social,1401
Subsidio Eléctrico: Subsecretaría de Evaluación Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",1346
MINVU: Subsecretaría de Vivienda y Urbanismo,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1342
Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1335
Autenticacion Nube  Privada: Servicio de Impuestos Internos,Autenticación TGR: Servicio de Tesorerías,1317
documentos - cyberdocs: Servicio Nacional del Patrimonio Cultural,undefinedSII: Servicio de Impuestos Internos,1312
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,www.sii.cl: Servicio de Impuestos Internos,1283
Mercado+Público: Dirección de Compras y Contratación Pública,www.sii.cl: Servicio de Impuestos Internos,1272
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",www.sii.cl: Servicio de Impuestos Internos,1217
Candidaturas: servicio electoral,Patrocinios: Servicio Electoral,1216
Mercado+Público: Dirección de Compras y Contratación Pública,undefinedCMF: Comisión para el Mercado Financiero,1199
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,undefinedSII: Servicio de Impuestos Internos,1197
DocDigital Versión 3: Subsecretaría General de la Presidencia de la República,Mercado+Público: Dirección de Compras y Contratación Pública,1196
Milicenciamedica.cl: Subsecretaría de Salud Pública,Procedimiento Administrativo Electrónico: Superintendencia de Seguridad Social,1190
Portal Servel: Servicio Electoral,Servel: Servicio Electoral,1152
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,Registro Civil: SRCeI,1109
Contraloria General de la Republica: CONTRALORIA,Registro Civil: SRCeI,1095
Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,903
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,SPP: Fondo de Solidaridad e Inversión Social,900
Patrocinios: Servicio Electoral,Portal Servel: Servicio Electoral,824
ASDigital: Ministerio de salud,Portal MiDT: Dirección del Trabajo,791
Contraloria General de la Republica: CONTRALORIA,undefinedCMF: Comisión para el Mercado Financiero,789
ChileAtiende: Instituto de Previsión Social,undefinedCMF: Comisión para el Mercado Financiero,784
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Portal MiDT: Dirección del Trabajo,775
ChileAtiende: Instituto de Previsión Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",758
