item1,frequency
PJUD: PODER JUDICIAL,7441476
Registro Civil: SRCeI,4162718
undefinedSII: Servicio de Impuestos Internos,3610021
Mercado+Público: Dirección de Compras y Contratación Pública,3541048
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,3474787
Portal MiDT: Dirección del Trabajo,2606127
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",2503092
FONASA - Portal Beneficiario: Fondo Nacional de Salud,2101692
undefinedCMF: Comisión para el Mercado Financiero,1867242
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,1610651
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,1601746
Milicenciamedica.cl: Subsecretaría de Salud Pública,1586270
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1380217
miChileAtiende: Instituto de Previsión Social,1276227
Subsidio Eléctrico: Subsecretaría de Evaluación Social,1059126
Autenticación TGR: Servicio de Tesorerías,940160
undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,742566
ChileAtiende: Instituto de Previsión Social,648056
www.sii.cl: Servicio de Impuestos Internos,558440
ASDigital: Ministerio de salud,539349
Empleos Públicos: Servicio Civil,517896
DocDigital Versión 3: Subsecretaría General de la Presidencia de la República,445070
Bolsa Nacional de Empleo: Subsecretaría del Trabajo,431670
e-certchile: E-Cert Chile,405673
Mi Fiscalía en Línea: Ministerio Público,396521
Sernac - Portal del consumidor: Servicio Nacional del Consumidor,373914
Resultados Subsidio Eléctrico: Subsecretaría de Energía,370282
Sistema de Apelación Contra de Isapres: Subsecretaría de Salud Pública,362433
Acceso Clave Unica UFRO: Universidad de La Frontera,360688
Portal Servel: Servicio Electoral,320353
SignPass: BPO Advisors SpA,318502
Sistema Midas: Subsecretaría de Salud Pública,297360
ACEPTA: ACEPTA.COM S.A.,278329
APIs Receta Electrónica: Subsecretaría de Salud Pública,271198
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,262227
DIPRECA: Dirección de Previsión de Carabineros de Chile,250804
IMG: MDS,238023
bcm2.sii.cl: Servicio de Impuestos Internos,234745
DIRECTEMAR: Dirección General del Territorio Marítimo y Marina Mercante,232907
Autenticacion Nube  Privada: Servicio de Impuestos Internos,223801
Comisaría Virtual: Carabineros de Chile,218548
DJ Simple: Servicio Agrícola y Ganadero,216396
Protección Social: MDS,205591
E-Sign ClaveÚnica: ESIGN S.A.,204723
MEVACUNO: Subsecretaría de Redes Asistenciales,186334
Comisaría Virtual: Carabineros de Chile,171421
