item1,item2,frequency
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,891972
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,621389
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,606497
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,550862
undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,539250
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",397321
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedSII: Servicio de Impuestos Internos,389776
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedCMF: Comisión para el Mercado Financiero,357106
Portal MiDT: Dirección del Trabajo,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",294689
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,200858
Mi Fiscalía en Línea: Ministerio Público,PJUD: PODER JUDICIAL,181800
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,174135
PJUD: PODER JUDICIAL,Registro Civil: SRCeI,157729
ChileAtiende: Instituto de Previsión Social,Registro Civil: SRCeI,152350
PJUD: PODER JUDICIAL,undefinedSII: Servicio de Impuestos Internos,145096
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,miChileAtiende: Instituto de Previsión Social,120485
Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,118912
undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,114640
Autenticación TGR: Servicio de Tesorerías,undefinedSII: Servicio de Impuestos Internos,113620
ChileAtiende: Instituto de Previsión Social,miChileAtiende: Instituto de Previsión Social,112121
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,111646
Bolsa Nacional de Empleo: Subsecretaría del Trabajo,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",111638
PJUD: PODER JUDICIAL,miChileAtiende: Instituto de Previsión Social,111175
PJUD: PODER JUDICIAL,undefinedCMF: Comisión para el Mercado Financiero,110353
FONASA - Portal Beneficiario: Fondo Nacional de Salud,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",109916
