item1,frequency
Registro Civil: SRCeI,388474
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,242696
FONASA - Portal Beneficiario: Fondo Nacional de Salud,143117
undefinedSII: Servicio de Impuestos Internos,142855
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,142389
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",132981
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,113897
undefinedCMF: Comisión para el Mercado Financiero,93675
PJUD: PODER JUDICIAL,92594
Extranjeria: Secretaría de Gobierno Digital,79465
Portal MiDT: Dirección del Trabajo,72402
miChileAtiende: Instituto de Previsión Social,71245
FUAS-Mineduc: Subsecretaría de Educación,70149
ChileAtiende: Instituto de Previsión Social,51889
Portal Servel: Servicio Electoral,48606
Dirección General de Movilización Nacional: Dirección General de Movilización Nacional,42620
E-Sign ClaveÚnica: ESIGN S.A.,39093
Comisaría Virtual: Carabineros de Chile,37788
DJ Simple: Servicio Agrícola y Ganadero,37616
Milicenciamedica.cl: Subsecretaría de Salud Pública,33902
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,32811
Red Movilidad: Subsecretaría de Transportes,32368
Autenticación TGR: Servicio de Tesorerías,29673
undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,22179
Subsidio Eléctrico: Subsecretaría de Evaluación Social,20692
Bolsa Nacional de Empleo: Subsecretaría del Trabajo,20033
Protección Social: MDS,19624
e-certchile: E-Cert Chile,19211
Mi Crédito CAE: Comisión Administradora del Sistema de Créditos para Estudios Superiores,19137
ACEPTA: ACEPTA.COM S.A.,18653
www.sii.cl: Servicio de Impuestos Internos,18253
Sernac - Portal del consumidor: Servicio Nacional del Consumidor,15933
MEVACUNO: Subsecretaría de Redes Asistenciales,15911
Comisaría Virtual: Carabineros de Chile,15706
Mercado+Público: Dirección de Compras y Contratación Pública,15507
IMG: MDS,14521
DECLARACION JURADA: Servicio Agrícola y Ganadero,14105
MINVU: Subsecretaría de Vivienda y Urbanismo,13766
Mi Fiscalía en Línea: Ministerio Público,13715
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,12683
Actas de mediación en línea: Subsecretaría de Justicia,12030
ASDigital: Ministerio de salud,11734
SIMPLE: Corporación Nacional de Desarrollo Indígena,11669
SignPass: BPO Advisors SpA,11392
bcm2.sii.cl: Servicio de Impuestos Internos,10756
Subsidio Familiar Automático: Subsecretaría de Evaluación Social,9854
APIs Receta Electrónica: Subsecretaría de Salud Pública,9721
Escuela PDI: Policía de Investigaciones de Chile,8215
Bono electrónico y LME: Superintendencia de Seguridad Social,7719
Telesalud: Subsecretaría de Redes Asistenciales,7638
Autenticacion Nube  Privada: Servicio de Impuestos Internos,7309
Empleos Públicos: Servicio Civil,7122
Mineduc-Ayudamineduc: Subsecretaría de Educación,7016
Resultados Subsidio Eléctrico: Subsecretaría de Energía,6664
Comisaría Virtual: Carabineros de Chile,6509
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,6433
Bono Logro Escolar: Subsecretaría de Servicios Sociales,5860
SIMPLE: Gendarmería de Chile,5842
Mi Súper: Superintendencia de Salud,5793
IPS - persona: Instituto de Previsión Social,5781
