item1,frequency
PJUD: PODER JUDICIAL,3593774
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,2411757
Registro Civil: SRCeI,2405199
undefinedSII: Servicio de Impuestos Internos,2379316
Mercado+Público: Dirección de Compras y Contratación Pública,1982035
Subsidio Eléctrico: Subsecretaría de Evaluación Social,1656537
Portal MiDT: Dirección del Trabajo,1564656
miChileAtiende: Instituto de Previsión Social,1456282
FONASA - Portal Beneficiario: Fondo Nacional de Salud,1085825
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,979964
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",944027
Autenticación TGR: Servicio de Tesorerías,834271
undefinedCMF: Comisión para el Mercado Financiero,798674
Milicenciamedica.cl: Subsecretaría de Salud Pública,711475
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,619371
ChileAtiende: Instituto de Previsión Social,564429
Resultados Subsidio Eléctrico: Subsecretaría de Energía,523653
Servicios en linea: Caja de Previsión de la Defensa Nacional,493328
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,473278
undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,354764
ASDigital: Ministerio de salud,348802
www.sii.cl: Servicio de Impuestos Internos,328563
Portal Servel: Servicio Electoral,281017
DIPRECA: Dirección de Previsión de Carabineros de Chile,259607
e-certchile: E-Cert Chile,249088
DocDigital Versión 3: Subsecretaría General de la Presidencia de la República,219943
Mi Fiscalía en Línea: Ministerio Público,219076
Sernac - Portal del consumidor: Servicio Nacional del Consumidor,209881
APIs Receta Electrónica: Subsecretaría de Salud Pública,198064
SignPass: BPO Advisors SpA,180272
MEVACUNO: Subsecretaría de Redes Asistenciales,176213
Acceso Clave Unica UFRO: Universidad de La Frontera,165578
Sistema de Apelación Contra de Isapres: Subsecretaría de Salud Pública,164377
MINVU: Subsecretaría de Vivienda y Urbanismo,157781
DIRECTEMAR: Dirección General del Territorio Marítimo y Marina Mercante,149564
ACEPTA: ACEPTA.COM S.A.,148650
Autenticacion Nube  Privada: Servicio de Impuestos Internos,145503
Sistema Midas: Subsecretaría de Salud Pública,144385
DJ Simple: Servicio Agrícola y Ganadero,143862
Bolsa Nacional de Empleo: Subsecretaría del Trabajo,133221
CAPREDENApp: Redin,130124
Patrocinios: Servicio Electoral,127023
Empleos Públicos: Servicio Civil,124515
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,119335
Protección Social: MDS,115294
Comisaría Virtual: Carabineros de Chile,108326
E-Sign ClaveÚnica: ESIGN S.A.,105255
bcm2.sii.cl: Servicio de Impuestos Internos,99839
Comisaría Virtual: Carabineros de Chile,98646
Devolución de Pagos en excesos: Fondo Nacional de Salud,97876
Plataforma Ley del Lobby: Subsecretaría General de la Presidencia de la República,93878
IPS - persona: Instituto de Previsión Social,92146
Comisión de Medicina Preventiva e Invalidez: Subsecretaría de Salud Pública,91914
Sanidad Naval: Sanidad Naval de la Armada de Chile,91630
Mi Súper: Superintendencia de Salud,85626
Contraloria General de la Republica: CONTRALORIA,84833
Hospital Sotero del Río: Servicio Salud Metropolitano Sur Oriente,84057
Ventanilla Única 2.0: Ministerio del Medio Ambiente,76391
Bono electrónico y LME: Superintendencia de Seguridad Social,74424
Mis Trámites CGR: Contraloría General de la República,73974
documentos - cyberdocs: Servicio Nacional del Patrimonio Cultural,73798
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,73145
Contraloría: Contraloría General de la República,71610
IMG: MDS,71312
Accede a tu Portal Paciente: Servicio de Salud Maule,70499
Agencia de Calidad de la Educación: MINISTERIO DE EDUCACION,69388
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,62003
SSMSO: Servicio de Salud Sur Oriente,54038
Trámites INAPI: Instituto Nacional de Propiedad Industrial,52583
Requisitos para Ofertar: Dirección de Compras y Contratación Pública,52172
