item1,frequency
Sistema Alta Dirección Pública: Dirección Nacional del Servicio Civil,51467
CGR: Contraloría General de la República,49383
Autenticación Sistemas DPP: Defensoría Penal Pública,48604
Capacitación ChileCompra: Dirección ChileCompra,48154
Telesalud: Subsecretaría de Redes Asistenciales,47522
Recetas en línea - Acceso Prescriptor: Subsecretaría de Salud Pública,45791
Procedimiento Administrativo Electrónico: Superintendencia de Seguridad Social,43959
Red Movilidad: Subsecretaría de Transportes,43792
SIMPLE: Corporación Nacional de Desarrollo Indígena,43747
DECLARACION JURADA: Servicio Agrícola y Ganadero,42080
Recetas en línea - Acceso Químico farmacéutico: Subsecretaría de Salud Pública,40514
Sercotec: Servicio de Cooperación Técnica,39910
Instituto Seguridad Laboral: Instituto Seguridad Laboral,38767
Actas de mediación en línea: Subsecretaría de Justicia,38140
SPP: Fondo de Solidaridad e Inversión Social,37809
Trámites SP: Superintendencia de Penssiones,34392
Candidaturas: servicio electoral,33190
Firma Electronica: Secretaría de Gobierno Digital,32182
Firmador MOP: Subsecretaría de Obras Públicas,31295
Tramites Mineduc: Ministerio de Educación,31183
Portal Único de Fondos Concursables del Estado: Subsecretaría General de Gobierno,30928
SERVEL- RENDICION: Servicio Electoral,30034
Sucursal Virtual Jeafosale: Ejército de Chile,29774
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,29770
Single Sign-On: Subsecretaría de Transportes,28894
SEC - Atención Ciudadana: Superintendencia de Electricidad y Combustibles,28555
Portal Pacientes HMS: Ejército de Chile,28072
Fonasa: Fondo Nacional de Salud,27091
Superintendencia de Electricidad y Combustibles: SUPERINTENDECIA DE ELECTRICIDAD Y COMBUSTIBLES,26513
Comisaría Virtual: Carabineros de Chile,25733
SIMEF v5: Subsecretaría de Justicia,24792
Sistema SEIM: Subsecretaría de Transportes,24753
Agendamiento Licencia Conducir: Municipalidad de Puente Alto,24025
dom digital: Municipalidad de Temuco,23517
Dirección General de Movilización Nacional: Dirección General de Movilización Nacional,22869
Municipalidad Las Condes: Municipalidad de Las Condes,22527
ChileCompra - Centro de Ayuda: Dirección de Compras y Contratación Pública,22469
Municipalidad de Los Angeles: Ilustre Municipalidad de Los Angeles,22350
PAEx DGMN: Dirección General de Movilización Nacional,21602
Defensoría Penal Pública: DEFENSORIA PENAL PUBLICA,21096
Comisaría Virtual: Carabineros de Chile,19469
"Portal ""Mi SUPERIR"": Superintendencia de Insolvencia y Reemprendimiento",19441
Sistema de ambiente de Clientes: Central de Abastecimiento del Sistema Nacional de Servicios de Salud,19404
Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,18715
Servel: Servicio Electoral,18606
Registro Nacional de Mascotas y Animales de Compañía: Subsecretaría de Desarrollo Regional y Administrativo,18541
Oficina Virtual DGA: Dirección General de Aguas,17532
Registro nacional de Proveedores: Dirección de Compras y Contratación Pública,15638
SIMPLE CEROFILAS: Servicio de Tesorerías,15435
Portal único de Trámites SERPAT: Servicio Nacional del Patrimonio Cultural,14660
DOM Digital: municipalidad de puerto montt,13889
Mercado Público D. Jurada: Dirección de Compras y Contratación Pública,13392
Oficina Judicial Virtual Tribunales Tributarios y Aduaneros: Unidad Administradora de Tribunales Tributarios y Aduaneros,13386
NEXTEO: Subsecretaría de Transportes,12964
Portal de Beneficios: Gendarmería de Chile,12924
App La Florida: Municipalidad de La Florida,12918
Plataforma de Telemedicina: Subsecretaría de Redes Asistenciales,12847
Aula Virtual CEA: Contraloría General de la República,12380
Portal Paciente: Subsecretaría de Redes Asistenciales,11396
Autentificación de Honorarios Maipu: Municipalidad de Maipú,10919
Mi HC OnLine: Servicio de Salud Arica y Parinacota,10149
SSO: Servicio Agricola y Ganadero,10098
HOSPITAL DE IQUIQUE: Servicio de Salud Tarapacá,9997
Servicio Bienestar: Junta Nacional de Jardines Infantiles,9792
Portal Vecino: Municipalidad de Providencia,9775
Campus Servicio Civil: Dirección Nacional del Servicio Civil,9560
Servicio de Evaluación Ambiental: Servicio de Evaluación Ambiental,9212
Portal Paciente SSMO: Servicio de Salud Metropolitano Oriente,8953
Ingreso a Municipalidad de Santiago: Municipalidad de Santiago,8806
Agencia de Calidad de la Educación: Agencia de Calidad de la Educación,7993
"Sistema Cuenta Cultura: Ministerio de las Culturas, las Artes y el Patrimonio",7611
Pagos Diario Oficial: Subsecretaría del Interior,7610
https://tramites.subtel.gob.cl: Subsecretaría de Telecomunicaciones,7566
Sistema Electrónico de Postulación: Comision Nacional de Riego,7121
Carrera Docente CPEIP: Subsecretaría de Educación,6957
Contactanos DT: Dirección del Trabajo,6696
Agenda Casino: Presidencia de la República,6368
Fondo Nacional: Ministerio del Interior,6023
Corfo: Corporación de Fomento de la Producción,5668
SIMPLE: Municipalidad de Puente Alto,5390
SIMPLE: Secretaría de Gobierno Digital,5249
Simple Trámites: Subsecretaría de Evaluación Social,5094
Subsidio Familiar Automático: Subsecretaría de Evaluación Social,4990
Subsecretaría de Transportes: Subsecretaría de Transportes,4957
Gobierno Regional del Maule: e-Process,4743
Listado de trámites digitales: Subsecretaría de Educación,4743
Direccion del Trabajo: DIRECCION DEL TRABAJO,4243
SIAC: Subsecretaria para las Fuerzas Armadas,4038
Plataforma SEM 2.0: Subsecretaría de Desarrollo Regional y Administrativo,3462
Trámites Dirección Trabajo: Dirección del Trabajo,3361
Municipalidad de Valparaíso - Simple: Municipalidad de Valparaíso,3330
milicenciamedica: Subsecretaría de Salud Pública,3281
Trámites Senadis: Servicio Nacional de la Discapacidad,3247
FUAS-Mineduc: Subsecretaría de Educación,2977
Portal de Exámenes: Servicio de Salud Ñuble,2965
Postulación en línea DS1: Subsecretaría de Vivienda y Urbanismo,2922
Directores para Chile: Servicio Civil,2872
Gestión Telesalud: Subsecretaría de Redes Asistenciales,2862
Dom Digital Muni Coquimbo: Municipalidad de Coquimbo,2836
Fondo de Solidaridad e Inversión Social - Cerofilas: Fondo de Solidaridad e Inversión Social,2755
Cero Filas SAG: Servicio Agrícola y Ganadero,2675
Pesca Recreativa: Servicio Nacional de Pesca y Acuicultura,2503
Servicio de Evaluacion Ambiental: SERVICIO DE EVALUACION AMBIENTAL,2319
Participación Digital: Secretaría de Gobierno Digital,2030
Trámites Municipales: Municipalidad de Ñuñoa,1918
TRASPASO DEL DOMINIO DE BIENES: Fondo de Solidaridad e Inversión Social,1917
Solicitud de Rebaja de Patente: Servicio Nacional de Geología y Minería,1910
Sistema de Acceso Unico: Instituto de Desarrollo Agropecuario,1745
Portal Inscripción de talleres: Municipalidad de Puente Alto,1601
Solicitud de Pasavantes Online: Servicio Nacional de Aduanas,1554
Mi Crédito CAE: Comisión Administradora del Sistema de Créditos para Estudios Superiores,1538
Portal de Atención Ciudadana: Subsecretaría de Telecomunicaciones,1512
Subasta Aduanera: Servicio Nacional de Aduanas,1492
Beneficios Personal: Gendarmería de Chile,1446
Recursos de Reposición: Subsecretaría de Educación,1382
Participación ciudadana: Municipalidad de La Reina,1361
Red Movilidad: Subsecretaría de Transportes,1285
sise portal: Subsecretaría de Evaluación Social,1245
Postulación PFD: Subsecretaría de Educación,1188
Gobierno Digital Simple: Secretaría de Gobierno Digital,1140
SIMPLE: Servicio Nacional del Adulto Mayor,1076
Sistema de Postulación Único: Carabineros de Chile,1075
SER: Subsecretaría General de la Presidencia de la República,1040
DIPRECA: Dirección de Previsión de Carabineros de Chile,974
Mineduc-Ayudamineduc: Subsecretaría de Educación,915
Comisaría Virtual: Secretaría de Gobierno Digital,829
Postulación Beneficios Municipalidad de Puente Alto: Municipalidad de Puente Alto,804
Sistema Integrado DAES: Subsecretaría de Economía y Empresas de Menor Tamaño,793
Bolsa nacional de empleo: Subsecretaría del Trabajo,758
HOSPITAL DIPRECA: Dirección de Previsión de Carabineros de Chile,758
Servicio Nacional de Aduanas: Servicio Nacional de Aduanas,720
Fondos Concursables FNDR: Gobierno Regional de la Región de Aysén del General Carlos Ibáñez del Campo,719
Catálogo CPAT: Secretaría de Gobierno Digital,670
Bono Logro Escolar: Subsecretaría de Servicios Sociales,646
HJNC Virtual: Hospital Regional de Arica y Parinacota Dr. Juan Noé Crevani,614
Visitas Guiadas: Presidencia de la República,581
Catastro de Medios Regionales: Ministerio Secretaría General de Gobierno,537
Autenticacion UChile: Universidad de Chile,526
DT e-learning MiPyME: Dirección del Trabajo,526
Vinadecide: Municipalidad de Viña del Mar,500
Plataforma de remates en línea: Dirección General de Crédito Prendario,455
SUBDERE: Subsecretaría de Desarrollo Regional y Administrativo,453
Simple: Secretaría de Gobierno Digital,402
Participación Ciudadana: Subsecretaría del Deporte,382
CNTV Denuncias: Consejo Nacional de Televisión,376
Portal Docente Parvularia: Subsecretaría de Educación,370
Bitácora Web: Ministerio Público,347
Portal de Participación Ciudad: Municipalidad de Lo Barnechea,273
Sistema de Admisión Escolar: Subsecretaría de Educación,273
SIMPLE: Gobierno Regional de Arica y Parinacota,227
Single Sign-On: Subsecretaría de Evaluación Social,196
Votaciones MSGG: Subsecretaría General de Gobierno,185
RPI: MTT,161
Fondos Comunidad - GORE Los Lagos: Gobierno Regional de la Región de Los Lagos,155
Modificar antecedentes Adm. PM: Servicio Nacional de Geología y Minería,155
IFE Laboral: Servicio Nacional de Capacitación y Empleo,145
Gestión Documental: Ilustre Municipalidad de Peñalolén,118
Carabineros de Chile - Cerofilas: Carabineros de Chile,106
Intranet SEIM: Subsecretaría de Transportes,103
Balance de Gestión Integral: Dirección de Presupuestos,102
Superintendencia de Educación Superior: Superintendencia de educacion superior,100
CNTV Play: Consejo Nacional de Televisión,66
.SCSE.: Subsecretaría de Hacienda,63
Registro de agentes culturales: Consejo Nacional de la Cultura y las Artes,61
Web Cajmetro: Corporación de Asistencia Judicial de la Región Metropolitana,52
Consulta Web Personas: Dirección General de Movilización Nacional,51
Sistema de Registro: Subsecretaría de Evaluación Social,51
Mentorías - Postulaciones: Subsecretaría de Educación,50
Servicio Único de Identidad - SMA: Superintendencia del Medio Ambiente,50
Simple: Institución,50
Tramites DEP: Dirección de Educación Pública,50
IMPULSA INVERSIÓN AYSEN: Gobierno Regional de la Región de Aysén del General Carlos Ibáñez del Campo,46
