item1,frequency
PJUD: PODER JUDICIAL,8268486
Registro Civil: SRCeI,5281377
undefinedSII: Servicio de Impuestos Internos,5046929
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",4813139
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,4139338
FONASA - Portal Beneficiario: Fondo Nacional de Salud,3559926
undefinedCMF: Comisión para el Mercado Financiero,3487320
miChileAtiende: Instituto de Previsión Social,3438731
Milicenciamedica.cl: Subsecretaría de Salud Pública,2823829
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,2811458
Portal MiDT: Dirección del Trabajo,2711706
Mercado+Público: Dirección de Compras y Contratación Pública,2341585
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,1979212
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1543991
Empleos Públicos: Servicio Civil,1185808
Bolsa Nacional de Empleo: Subsecretaría del Trabajo,896401
undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,729806
ChileAtiende: Instituto de Previsión Social,703569
www.sii.cl: Servicio de Impuestos Internos,680785
Autenticación TGR: Servicio de Tesorerías,633043
Sernac - Portal del consumidor: Servicio Nacional del Consumidor,624497
Subsidio Eléctrico: Subsecretaría de Evaluación Social,564612
APIs Receta Electrónica: Subsecretaría de Salud Pública,563578
Bitácora Web: Ministerio Público,561896
Sistema de Apelación Contra de Isapres: Subsecretaría de Salud Pública,499819
Mi Fiscalía en Línea: Ministerio Público,488985
ASDigital: Ministerio de salud,478583
MINVU: Subsecretaría de Vivienda y Urbanismo,458490
Actas de mediación en línea: Subsecretaría de Justicia,450175
Comisaría Virtual: Carabineros de Chile,448399
e-certchile: E-Cert Chile,447778
Mi Crédito CAE: Comisión Administradora del Sistema de Créditos para Estudios Superiores,444558
IMG: MDS,415643
Protección Social: MDS,397579
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,394900
ACEPTA: ACEPTA.COM S.A.,367390
Bono electrónico y LME: Superintendencia de Seguridad Social,340956
Portal Servel: Servicio Electoral,340642
Red Movilidad: Subsecretaría de Transportes,333138
SignPass: BPO Advisors SpA,322513
Acceso Clave Unica UFRO: Universidad de La Frontera,300339
Sistema Midas: Subsecretaría de Salud Pública,298835
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,289226
DJ Simple: Servicio Agrícola y Ganadero,281684
Autenticacion Nube  Privada: Servicio de Impuestos Internos,259921
E-Sign ClaveÚnica: ESIGN S.A.,250856
MEVACUNO: Subsecretaría de Redes Asistenciales,242120
bcm2.sii.cl: Servicio de Impuestos Internos,235360
Subsidio Familiar Automático: Subsecretaría de Evaluación Social,232636
Resultados Subsidio Eléctrico: Subsecretaría de Energía,222173
Comisaría Virtual: Carabineros de Chile,221248
Plataforma de Telemedicina: Subsecretaría de Redes Asistenciales,205208
