item1,frequency
DIRECTEMAR: Dirección General del Territorio Marítimo y Marina Mercante,204293
DocDigital Versión 3: Subsecretaría General de la Presidencia de la República,197911
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,194373
SPP: Fondo de Solidaridad e Inversión Social,187871
FUAS-Mineduc: Subsecretaría de Educación,182955
Sercotec: Servicio de Cooperación Técnica,176171
Devolución de Pagos en excesos: Fondo Nacional de Salud,155469
Mi Súper: Superintendencia de Salud,151105
Comisión de Medicina Preventiva e Invalidez: Subsecretaría de Salud Pública,147767
Capacitación ChileCompra: Dirección ChileCompra,147045
SIMPLE: Corporación Nacional de Desarrollo Indígena,139875
Dirección General de Movilización Nacional: Dirección General de Movilización Nacional,132216
Telesalud: Subsecretaría de Redes Asistenciales,129092
IPS - persona: Instituto de Previsión Social,128265
Patrocinios: Servicio Electoral,121805
Procedimiento Administrativo Electrónico: Superintendencia de Seguridad Social,121448
Ventanilla Única 2.0: Ministerio del Medio Ambiente,120432
Contraloría: Contraloría General de la República,109240
Portal de Beneficios: Gendarmería de Chile,104845
SSMSO: Servicio de Salud Sur Oriente,103287
Defensoría Penal Pública: DEFENSORIA PENAL PUBLICA,99009
Accede a tu Portal Paciente: Servicio de Salud Maule,98985
Registro Nacional de Mascotas y Animales de Compañía: Subsecretaría de Desarrollo Regional y Administrativo,96807
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,93449
Superintendencia de Electricidad y Combustibles: SUPERINTENDECIA DE ELECTRICIDAD Y COMBUSTIBLES,89498
Cesantía: Comisión Administradora de Sistema de Créditos para Estudios Superiores,88421
DECLARACION JURADA: Servicio Agrícola y Ganadero,88126
Comisaría Virtual: Carabineros de Chile,87679
DIPRECA: Dirección de Previsión de Carabineros de Chile,85474
documentos - cyberdocs: Servicio Nacional del Patrimonio Cultural,84155
Recetas en línea - Acceso Químico farmacéutico: Subsecretaría de Salud Pública,80314
Gestión Telesalud: Subsecretaría de Redes Asistenciales,78914
Mis Trámites CGR: Contraloría General de la República,77472
Trámites INAPI: Instituto Nacional de Propiedad Industrial,76068
SUBSECRETARÍA DE PREVENCIÓN DEL DELITO: Subsecretaria de Prevención del Delito,75002
CGR: Contraloría General de la República,74962
Sistema de ambiente de Clientes: Central de Abastecimiento del Sistema Nacional de Servicios de Salud,72670
Plataforma Ley del Lobby: Subsecretaría General de la Presidencia de la República,72029
Instituto Seguridad Laboral: Instituto Seguridad Laboral,71329
Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,66420
SISTEMA DE ATENCIÓN DE CONSULTA: Comisión Administradora del Sistema de Créditos para Estudios Superiores,65901
Contingencia: Comisión Administradora de Sistema de Créditos para Estudios Superiores,59729
Aula Virtual CEA: Contraloría General de la República,57172
Hospital Sotero del Río: Servicio Salud Metropolitano Sur Oriente,56261
Comisaría Virtual: Carabineros de Chile,54771
Agendamiento Licencia Conducir: Municipalidad de Puente Alto,52946
Sanidad Naval: Sanidad Naval de la Armada de Chile,48789
Servicio de Evaluación Ambiental: Servicio de Evaluación Ambiental,46672
"Sistema Cuenta Cultura: Ministerio de las Culturas, las Artes y el Patrimonio",45818
Agencia de Calidad de la Educación: MINISTERIO DE EDUCACION,44272
Municipalidad de Los Angeles: Ilustre Municipalidad de Los Angeles,43175
Contraloria General de la Republica: CONTRALORIA,40704
"Portal ""Mi SUPERIR"": Superintendencia de Insolvencia y Reemprendimiento",40466
Sistema de Registro: Subsecretaría de Evaluación Social,38081
Firma Electronica: Secretaría de Gobierno Digital,37986
App La Florida: Municipalidad de La Florida,36399
Mineduc-Ayudamineduc: Subsecretaría de Educación,31063
Registro nacional de Proveedores: Dirección de Compras y Contratación Pública,29827
Fonasa: Fondo Nacional de Salud,28893
Corfo: Corporación de Fomento de la Producción,28693
Campus Servicio Civil: Dirección Nacional del Servicio Civil,28286
Servicios en linea: Caja de Previsión de la Defensa Nacional,27650
Bolsa nacional de empleo: Subsecretaría del Trabajo,26591
Fondo de Solidaridad e Inversión Social - Cerofilas: Fondo de Solidaridad e Inversión Social,26160
Portal único de Trámites SERPAT: Servicio Nacional del Patrimonio Cultural,25211
Portal Único de Fondos Concursables del Estado: Subsecretaría General de Gobierno,24645
Contactanos DT: Dirección del Trabajo,24415
Tramites Mineduc: Ministerio de Educación,24286
Autenticacion UChile: Universidad de Chile,24270
Single Sign-On: Subsecretaría de Evaluación Social,24012
Bono Logro Escolar: Subsecretaría de Servicios Sociales,23932
"Niños, Niñas y Adolescentes: Subsecretaría de Evaluación Social",23601
Pagos Diario Oficial: Subsecretaría del Interior,23290
SERVEL- RENDICION: Servicio Electoral,22916
Postulación Beneficios Municipalidad de Puente Alto: Municipalidad de Puente Alto,21784
Requisitos para Ofertar: Dirección de Compras y Contratación Pública,21055
IFE Laboral: Servicio Nacional de Capacitación y Empleo,20151
Recetas en línea - Acceso Prescriptor: Subsecretaría de Salud Pública,19598
PAEx DGMN: Dirección General de Movilización Nacional,19204
Beneficios Personal: Gendarmería de Chile,19178
Candidaturas: servicio electoral,18933
Web Cajmetro: Corporación de Asistencia Judicial de la Región Metropolitana,18704
SSO: Servicio Agricola y Ganadero,18528
ApelaciónbeneficiosEstudiantil: Subsecretaría de Educación,16873
Autenticación Sistemas DPP: Defensoría Penal Pública,16735
Mi HC OnLine: Servicio de Salud Arica y Parinacota,16484
Servicio de Salud Tarapacá: Servicio de Salud Tarapacá,14945
Servel: Servicio Electoral,13084
Postulación en línea DS1: Subsecretaría de Vivienda y Urbanismo,12472
Superintendencia de Educación: Superintendencia de Educación,12197
Municipalidad Las Condes: Municipalidad de Las Condes,12049
Sistema SEIM: Subsecretaría de Transportes,11595
Autentificación de Honorarios Maipu: Municipalidad de Maipú,11117
Senda Moodle: Servicio Nacional de Prevención y Rehabilitación del Consumo de Drogas y Alcohol,10547
Registro de profesionales: Subsecretaría de Educación,9774
SEC - Atención Ciudadana: Superintendencia de Electricidad y Combustibles,9594
Trámites Senadis: Servicio Nacional de la Discapacidad,9434
Sistema Alta Dirección Pública: Dirección Nacional del Servicio Civil,9066
Carrera Docente CPEIP: Subsecretaría de Educación,8485
ChileCompra - Centro de Ayuda: Dirección de Compras y Contratación Pública,8285
Trámites SP: Superintendencia de Penssiones,7918
Recursos de Reposición: Subsecretaría de Educación,7646
Simple Trámites: Subsecretaría de Evaluación Social,7470
Sistema de Postulación Único: Carabineros de Chile,7411
Municipalidad de Valparaíso - Simple: Municipalidad de Valparaíso,7129
Ingreso a Municipalidad de Santiago: Municipalidad de Santiago,7020
Sistema de Admisión Escolar: Subsecretaría de Educación,6979
Sistema de Acceso Unico: Instituto de Desarrollo Agropecuario,6729
Trámites Dirección Trabajo: Dirección del Trabajo,6536
Subsidio Empleo Linea Protege: Servicio Nacional de Capacitación y Empleo,6515
Plataforma de Cursos DDHH: Subsecretaría de Derechos Humanos,5509
Plataforma SEM 2.0: Subsecretaría de Desarrollo Regional y Administrativo,5429
sise portal: Subsecretaría de Evaluación Social,5210
Trámites Municipales: Municipalidad de Ñuñoa,4914
Pesca Recreativa: Servicio Nacional de Pesca y Acuicultura,4723
Portal Pacientes HMS: Ejército de Chile,4677
SIMPLE: Gendarmería de Chile,3853
Firmador MOP: Subsecretaría de Obras Públicas,3656
Visitas Guiadas: Presidencia de la República,3559
milicenciamedica: Subsecretaría de Salud Pública,3558
dom digital: Municipalidad de Temuco,3447
CNTV Denuncias: Consejo Nacional de Televisión,3303
Listado de trámites digitales: Subsecretaría de Educación,3292
https://tramites.subtel.gob.cl: Subsecretaría de Telecomunicaciones,3287
Campus Virtual: Subsecretaría de Evaluación Social,2950
TRASPASO DEL DOMINIO DE BIENES: Fondo de Solidaridad e Inversión Social,2770
CECAPRO: Policía de Investigaciones de Chile,2689
Aula virtual Sernac: Servicio Nacional del Consumidor,2521
Mercado Público D. Jurada: Dirección de Compras y Contratación Pública,2416
Red Movilidad: Subsecretaría de Transportes,2063
Portal Inscripción de talleres: Municipalidad de Puente Alto,1991
Portal Docente Parvularia: Subsecretaría de Educación,1894
Portal Vecino: Municipalidad de Providencia,1860
Prácticas Chile: Dirección Nacional del Servicio Civil,1845
CNTV Play: Consejo Nacional de Televisión,1765
CapacitaSII: Servicio de Impuestos Internos,1658
Congreso Virtual: Senado de Chile,1647
Postulación PFD: Subsecretaría de Educación,1627
Fondo Nacional: Ministerio del Interior,1420
Portal Paciente: Subsecretaría de Redes Asistenciales,1287
Tramites Recoleta: Municipalidad de Recoleta,1179
Catálogo CPAT: Secretaría de Gobierno Digital,1031
Subasta Aduanera: Servicio Nacional de Aduanas,877
Ingreso a Intranet UTA: Universidad de Tarapacá,854
Gobierno Digital Simple: Secretaría de Gobierno Digital,768
Defensoría del Contribuyente: Subsecretaría de Hacienda,715
SIAC JUNJI: Junta Nacional de Jardines Infantiles,710
Cero Filas SAG: Servicio Agrícola y Ganadero,696
RPI: MTT,655
Cursos CCS: Servicio Nacional de Geología y Minería,647
Consulta Web Personas: Dirección General de Movilización Nacional,583
Gestión Documental: Ilustre Municipalidad de Peñalolén,580
El orgullo de ser Gendarmería: Gendarmería de Chile,482
Registro de agentes culturales: Consejo Nacional de la Cultura y las Artes,480
Portal del vecino Lo Barnechea: Municipalidad de Lo Barnechea,458
Gobierno Regional del Maule: e-Process,456
Docentes para Chile: Subsecretaría de Educación,446
Portal de Atención Ciudadana: Subsecretaría de Telecomunicaciones,422
Sucursal Virtual Jeafosale: Ejército de Chile,416
Mentorías - Postulaciones: Subsecretaría de Educación,407
Solicitud de Pasavantes Online: Servicio Nacional de Aduanas,380
Afiliación voluntaria en AFC: Administradora de Fondos de Cesantía,373
Agencia de Calidad de la Educación: Agencia de Calidad de la Educación,369
Comunidad Joven: Instituto Nacional de la Juventud,354
DOM Digital: municipalidad de puerto montt,314
Servicio Único de Identidad - SMA: Superintendencia del Medio Ambiente,310
Comisaría Virtual: Secretaría de Gobierno Digital,305
Clave Única USACH: Universidad de Santiago de Chile,303
Servicio Digital de AFP Modelo: AFP Modelo,301
Carabineros de Chile - Cerofilas: Carabineros de Chile,299
Registro Nacional de Pymes: Subsecretaría de Economía y Empresas de Menor Tamaño,285
SIPA DGAC: Dirección General de Aeronáutica Civil,270
Matrícula en Línea: Universidad de Los Lagos,248
POSTULACIÓN FOSIS: Fondo de Solidaridad e Inversión Social,223
Ficha de Caracterización Unica: Subsecretaría de Educación,222
Single Sign-On: Subsecretaría de Transportes,209
SIMPLE: Municipalidad de Puente Alto,184
Plataforma BVP: Subsecretaría de Educación,175
Día de los patrimonios: Instituto Nacional de la Juventud,171
Participación ciudadana: Municipalidad de La Reina,169
Participación Ciudadana: Subsecretaría del Deporte,164
Vinadecide: Municipalidad de Viña del Mar,161
Votaciones MSGG: Subsecretaría General de Gobierno,161
Proyectos Voluntarios: Instituto Nacional de la Juventud,154
Simple: Secretaría de Gobierno Digital,122
Registro Nacional de MiPymes: Subsecretaría de Economía y Empresas de Menor Tamaño,101
MPH Consulta Ciudadana: Municipalidad de Padre Hurtado,87
DIPRECA: Dirección de Previsión de Carabineros de Chile,65
Postulaciones ETA: Dirección General de Aeronáutica Civil,64
Mordedores: Subsecretaría de Salud Pública,63
Participación Digital: Secretaría de Gobierno Digital,59
SIMPLE CEROFILAS: Servicio de Tesorerías,59
SUBDERE: Subsecretaría de Desarrollo Regional y Administrativo,55
Fondos Comunidad - GORE Los Lagos: Gobierno Regional de la Región de Los Lagos,54
Gesparvu Junji: Junta Nacional de Jardines Infantiles,54
Tramitación Eletrónica TC: Tribunal Constitucional de Chile,52
SIMEF v5: Subsecretaría de Justicia,51
Servicio de Evaluacion Ambiental: SERVICIO DE EVALUACION AMBIENTAL,50
Inscripción y Actualización de Profesionales de Salud: Fondo Nacional de Salud,19
