item1,frequency
Municipalidad de Los Angeles: Ilustre Municipalidad de Los Angeles,48260
Fonasa: Fondo Nacional de Salud,46429
"Sistema Cuenta Cultura: Ministerio de las Culturas, las Artes y el Patrimonio",45694
Firmador MOP: Subsecretaría de Obras Públicas,44047
Mineduc-Ayudamineduc: Subsecretaría de Educación,43325
Corfo: Corporación de Fomento de la Producción,40897
Campus Servicio Civil: Dirección Nacional del Servicio Civil,40742
Sistema de Registro: Subsecretaría de Evaluación Social,40512
Registro nacional de Proveedores: Dirección de Compras y Contratación Pública,40352
SERVEL- RENDICION: Servicio Electoral,40262
Bono Logro Escolar: Subsecretaría de Servicios Sociales,39992
Candidaturas: servicio electoral,37517
ChileCompra - Centro de Ayuda: Dirección de Compras y Contratación Pública,37188
Sistema SEIM: Subsecretaría de Transportes,36919
Cesantía: Comisión Administradora de Sistema de Créditos para Estudios Superiores,36032
SSO: Servicio Agricola y Ganadero,35390
Beneficios Personal: Gendarmería de Chile,32850
Contingencia: Comisión Administradora de Sistema de Créditos para Estudios Superiores,32584
Fondo de Solidaridad e Inversión Social - Cerofilas: Fondo de Solidaridad e Inversión Social,31923
Superintendencia de Educación: Superintendencia de Educación,31811
Servicio de Evaluación Ambiental: Servicio de Evaluación Ambiental,31126
SEC - Atención Ciudadana: Superintendencia de Electricidad y Combustibles,30410
App La Florida: Municipalidad de La Florida,29683
Portal único de Trámites SERPAT: Servicio Nacional del Patrimonio Cultural,29515
Recursos de Reposición: Subsecretaría de Educación,27920
Tramites Mineduc: Ministerio de Educación,27236
Single Sign-On: Subsecretaría de Evaluación Social,27018
PAEx DGMN: Dirección General de Movilización Nacional,26805
Contactanos DT: Dirección del Trabajo,26705
SISTEMA DE ATENCIÓN DE CONSULTA: Comisión Administradora del Sistema de Créditos para Estudios Superiores,26079
Extranjeria: Secretaría de Gobierno Digital,26065
Carrera Docente CPEIP: Subsecretaría de Educación,25537
Postulación Beneficios Municipalidad de Puente Alto: Municipalidad de Puente Alto,25306
SIMEF v5: Subsecretaría de Justicia,22789
Bolsa nacional de empleo: Subsecretaría del Trabajo,20785
Mercado Público D. Jurada: Dirección de Compras y Contratación Pública,19212
Municipalidad Las Condes: Municipalidad de Las Condes,18279
dom digital: Municipalidad de Temuco,17719
Autenticacion UChile: Universidad de Chile,17582
Pagos Diario Oficial: Subsecretaría del Interior,17396
Servel: Servicio Electoral,16852
Web Cajmetro: Corporación de Asistencia Judicial de la Región Metropolitana,16759
https://tramites.subtel.gob.cl: Subsecretaría de Telecomunicaciones,16088
Gesparvu Junji: Junta Nacional de Jardines Infantiles,15857
Simple Trámites: Subsecretaría de Evaluación Social,11994
Sistema Electrónico de Postulación: Comision Nacional de Riego,11918
Trámites Senadis: Servicio Nacional de la Discapacidad,11399
Trámites Dirección Trabajo: Dirección del Trabajo,11080
Autentificación de Honorarios Maipu: Municipalidad de Maipú,10596
"Niños, Niñas y Adolescentes: Subsecretaría de Evaluación Social",10487
Postulación en línea DS1: Subsecretaría de Vivienda y Urbanismo,10149
Servicio de Salud Tarapacá: Servicio de Salud Tarapacá,9866
Portal Pacientes HMS: Ejército de Chile,9779
Mi HC OnLine: Servicio de Salud Arica y Parinacota,9686
Sistema de Admisión Escolar: Subsecretaría de Educación,9439
IFE Laboral: Servicio Nacional de Capacitación y Empleo,9072
Ingreso a Municipalidad de Santiago: Municipalidad de Santiago,8857
TRASPASO DEL DOMINIO DE BIENES: Fondo de Solidaridad e Inversión Social,8211
Postulación PFD: Subsecretaría de Educación,7936
ApelaciónbeneficiosEstudiantil: Subsecretaría de Educación,7296
Plataforma SEM 2.0: Subsecretaría de Desarrollo Regional y Administrativo,7295
sise portal: Subsecretaría de Evaluación Social,7069
Listado de trámites digitales: Subsecretaría de Educación,7055
Municipalidad de Valparaíso - Simple: Municipalidad de Valparaíso,6793
Directores para Chile: Servicio Civil,6283
Trámites SP: Superintendencia de Penssiones,6162
Sistema de Postulación Único: Carabineros de Chile,6054
Pesca Recreativa: Servicio Nacional de Pesca y Acuicultura,6032
milicenciamedica: Subsecretaría de Salud Pública,5979
Sucursal Virtual Jeafosale: Ejército de Chile,5971
Portal Docente Parvularia: Subsecretaría de Educación,5902
Portal Vecino: Municipalidad de Providencia,5515
Solicitud de Pasavantes Online: Servicio Nacional de Aduanas,5297
CAPREDENApp: Redin,5123
Plataforma de Cursos DDHH: Subsecretaría de Derechos Humanos,5032
Sistema de Acceso Unico: Instituto de Desarrollo Agropecuario,4911
Fondo Nacional: Ministerio del Interior,4773
Trámites Municipales: Municipalidad de Ñuñoa,4491
NEXTEO: Subsecretaría de Transportes,4008
Visitas Guiadas: Presidencia de la República,3582
Portal de Atención Ciudadana: Subsecretaría de Telecomunicaciones,3307
Gobierno Digital Simple: Secretaría de Gobierno Digital,3265
Catálogo CPAT: Secretaría de Gobierno Digital,3152
CNTV Denuncias: Consejo Nacional de Televisión,3105
Agencia de Calidad de la Educación: Agencia de Calidad de la Educación,2910
Single Sign-On: Subsecretaría de Transportes,2478
Cero Filas SAG: Servicio Agrícola y Ganadero,2257
Red Movilidad: Subsecretaría de Transportes,2230
Gobierno Regional del Maule: e-Process,2197
DOM Digital: municipalidad de puerto montt,2163
Portal Inscripción de talleres: Municipalidad de Puente Alto,2116
Servicio Único de Identidad - SMA: Superintendencia del Medio Ambiente,1947
Subasta Aduanera: Servicio Nacional de Aduanas,1872
Tramites Recoleta: Municipalidad de Recoleta,1715
Campus Virtual: Subsecretaría de Evaluación Social,1703
Portal Paciente: Subsecretaría de Redes Asistenciales,1654
Congreso Virtual: Senado de Chile,1300
CNTV Play: Consejo Nacional de Televisión,1218
Cursos CCS: Servicio Nacional de Geología y Minería,941
Subsidio Empleo Linea Protege: Servicio Nacional de Capacitación y Empleo,934
CapacitaSII: Servicio de Impuestos Internos,849
SIMPLE: Gendarmería de Chile,771
Registro Nacional de Pymes: Subsecretaría de Economía y Empresas de Menor Tamaño,736
Portal del vecino Lo Barnechea: Municipalidad de Lo Barnechea,664
Comisaría Virtual: Secretaría de Gobierno Digital,656
Defensoría del Contribuyente: Subsecretaría de Hacienda,599
SIMPLE: Municipalidad de Puente Alto,570
Participación Digital: Secretaría de Gobierno Digital,566
El orgullo de ser Gendarmería: Gendarmería de Chile,553
Consulta Web Personas: Dirección General de Movilización Nacional,478
SIMPLE CEROFILAS: Servicio de Tesorerías,467
RPI: MTT,430
Aula virtual Sernac: Servicio Nacional del Consumidor,421
Docentes para Chile: Subsecretaría de Educación,392
Mentorías - Postulaciones: Subsecretaría de Educación,392
Senda Moodle: Servicio Nacional de Prevención y Rehabilitación del Consumo de Drogas y Alcohol,378
Oficina Virtual DGA: Dirección General de Aguas,355
Vinadecide: Municipalidad de Viña del Mar,334
Participación Ciudadana: Subsecretaría del Deporte,325
Participación ciudadana: Municipalidad de La Reina,319
Servicio de Evaluacion Ambiental: SERVICIO DE EVALUACION AMBIENTAL,319
Evaluación SSCoquimbo: Servicio de Salud Coquimbo,314
SIAC JUNJI: Junta Nacional de Jardines Infantiles,290
Registro de agentes culturales: Consejo Nacional de la Cultura y las Artes,273
Afiliación voluntaria en AFC: Administradora de Fondos de Cesantía,270
MPH Consulta Ciudadana: Municipalidad de Padre Hurtado,236
SER: Subsecretaría General de la Presidencia de la República,226
Simple: Secretaría de Gobierno Digital,217
Fondos Comunidad - GORE Los Lagos: Gobierno Regional de la Región de Los Lagos,213
POSTULACIÓN FOSIS: Fondo de Solidaridad e Inversión Social,185
.SCSE.: Subsecretaría de Hacienda,175
Gestión Documental: Ilustre Municipalidad de Peñalolén,168
Carabineros de Chile - Cerofilas: Carabineros de Chile,161
Votaciones MSGG: Subsecretaría General de Gobierno,156
SUBDERE: Subsecretaría de Desarrollo Regional y Administrativo,132
SIMPLE: Gobierno Regional de Arica y Parinacota,125
ULagos - SEI: Universidad de Los Lagos,115
Tramitación Eletrónica TC: Tribunal Constitucional de Chile,65
Portal de Participación Ciudad: Municipalidad de Lo Barnechea,61
Tramites DEP: Dirección de Educación Pública,54
Plataforma de remates en línea: Dirección General de Crédito Prendario,52
Calificaciones MSGG: Subsecretaría General de Gobierno,51
DIPRECA: Dirección de Previsión de Carabineros de Chile,51
Dom Digital Muni Coquimbo: Municipalidad de Coquimbo,51
Fondos Concursables FNDR: Gobierno Regional de la Región de Aysén del General Carlos Ibáñez del Campo,51
Sistema Ambiente Proveedores: Central de Abastecimiento del Sistema Nacional de Servicios de Salud,51
Oficina Judicial Virtual Tribunales Tributarios y Aduaneros: Unidad Administradora de Tribunales Tributarios y Aduaneros,50
Registro de profesionales: Subsecretaría de Educación,50
SSBIOBIO.CL: Servicio de Salud Biobío,50
Servicio Digital de AFP Modelo: AFP Modelo,31
