item1,item2,frequency
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,48725
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,30953
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,30061
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,27281
undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,26641
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedSII: Servicio de Impuestos Internos,21602
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",20922
Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,19631
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedCMF: Comisión para el Mercado Financiero,18531
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,16286
ChileAtiende: Instituto de Previsión Social,Registro Civil: SRCeI,15048
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,14997
Registro Civil: SRCeI,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",14412
FUAS-Mineduc: Subsecretaría de Educación,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,13408
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,12921
Registro Civil: SRCeI,undefinedSII: Servicio de Impuestos Internos,12900
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,12610
Portal MiDT: Dirección del Trabajo,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",11357
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",10145
FONASA - Portal Beneficiario: Fondo Nacional de Salud,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",10107
Portal MiDT: Dirección del Trabajo,Registro Civil: SRCeI,9686
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,miChileAtiende: Instituto de Previsión Social,9662
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,undefinedSII: Servicio de Impuestos Internos,9404
