item1,item2,frequency
Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,80201
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,79099
PJUD: PODER JUDICIAL,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,77110
Mercado+Público: Dirección de Compras y Contratación Pública,Portal MiDT: Dirección del Trabajo,74627
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,72055
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,63688
Registro Civil: SRCeI,undefinedSII: Servicio de Impuestos Internos,63353
PJUD: PODER JUDICIAL,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,62897
Mercado+Público: Dirección de Compras y Contratación Pública,Requisitos para Ofertar: Dirección de Compras y Contratación Pública,61273
ChileAtiende: Instituto de Previsión Social,miChileAtiende: Instituto de Previsión Social,60957
Mercado+Público: Dirección de Compras y Contratación Pública,PJUD: PODER JUDICIAL,58653
Capacitación ChileCompra: Dirección ChileCompra,Mercado+Público: Dirección de Compras y Contratación Pública,57551
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,undefinedSII: Servicio de Impuestos Internos,55782
ChileAtiende: Instituto de Previsión Social,FONASA - Portal Beneficiario: Fondo Nacional de Salud,55201
ChileAtiende: Instituto de Previsión Social,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,51838
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,miChileAtiende: Instituto de Previsión Social,51770
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,50832
Portal MiDT: Dirección del Trabajo,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,50461
PJUD: PODER JUDICIAL,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",49955
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",48575
PJUD: PODER JUDICIAL,Portal MiDT: Dirección del Trabajo,46558
FONASA - Portal Beneficiario: Fondo Nacional de Salud,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",46022
Registro Civil: SRCeI,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",44057
bcm2.sii.cl: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,43833
ChileAtiende: Instituto de Previsión Social,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,43763
Portal MiDT: Dirección del Trabajo,undefinedSII: Servicio de Impuestos Internos,43669
Bolsa Nacional de Empleo: Subsecretaría del Trabajo,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",43461
PJUD: PODER JUDICIAL,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,43249
Portal MiDT: Dirección del Trabajo,Registro Civil: SRCeI,41406
Protección Social: MDS,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,40943
Milicenciamedica.cl: Subsecretaría de Salud Pública,Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,39709
FONASA - Portal Beneficiario: Fondo Nacional de Salud,PJUD: PODER JUDICIAL,39387
Mercado+Público: Dirección de Compras y Contratación Pública,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,38816
Autenticación TGR: Servicio de Tesorerías,PJUD: PODER JUDICIAL,38272
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Subsidio Eléctrico: Subsecretaría de Evaluación Social,37473
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,37174
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,36195
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Portal MiDT: Dirección del Trabajo,35793
Milicenciamedica.cl: Subsecretaría de Salud Pública,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",35400
Autenticacion Nube  Privada: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,33885
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,Registro Civil: SRCeI,33837
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Milicenciamedica.cl: Subsecretaría de Salud Pública,33330
APIs Receta Electrónica: Subsecretaría de Salud Pública,Recetas en línea - Acceso Químico farmacéutico: Subsecretaría de Salud Pública,32192
undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,undefinedSII: Servicio de Impuestos Internos,31615
ChileCompra - Centro de Ayuda: Dirección de Compras y Contratación Pública,Mercado+Público: Dirección de Compras y Contratación Pública,30578
Registro Civil: SRCeI,undefinedCMF: Comisión para el Mercado Financiero,30515
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Fonasa: Fondo Nacional de Salud,27466
PJUD: PODER JUDICIAL,miChileAtiende: Instituto de Previsión Social,27095
Milicenciamedica.cl: Subsecretaría de Salud Pública,PJUD: PODER JUDICIAL,26198
Actas de mediación en línea: Subsecretaría de Justicia,PJUD: PODER JUDICIAL,26023
Procedimiento Administrativo Electrónico: Superintendencia de Seguridad Social,Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,25929
Mercado+Público: Dirección de Compras y Contratación Pública,Registro Civil: SRCeI,24894
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,24498
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Portal MiDT: Dirección del Trabajo,23852
miChileAtiende: Instituto de Previsión Social,undefinedCMF: Comisión para el Mercado Financiero,23650
Devolución de Pagos en excesos: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,22259
DocDigital Versión 3: Subsecretaría General de la Presidencia de la República,Mercado+Público: Dirección de Compras y Contratación Pública,22161
Milicenciamedica.cl: Subsecretaría de Salud Pública,Sistema de Apelación Contra de Isapres: Subsecretaría de Salud Pública,21733
Autenticacion Nube  Privada: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,19540
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,Mi Fiscalía en Línea: Ministerio Público,18877
Milicenciamedica.cl: Subsecretaría de Salud Pública,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,18254
Mercado Público D. Jurada: Dirección de Compras y Contratación Pública,Mercado+Público: Dirección de Compras y Contratación Pública,17519
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,undefinedSII: Servicio de Impuestos Internos,17107
IPS - persona: Instituto de Previsión Social,miChileAtiende: Instituto de Previsión Social,16692
FONASA - Portal Beneficiario: Fondo Nacional de Salud,undefinedSII: Servicio de Impuestos Internos,16624
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,16099
ChileAtiende: Instituto de Previsión Social,Subsidio Eléctrico: Subsecretaría de Evaluación Social,15087
e-certchile: E-Cert Chile,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,15074
Candidaturas: servicio electoral,Contraloria General de la Republica: CONTRALORIA,15056
Mercado+Público: Dirección de Compras y Contratación Pública,Registro nacional de Proveedores: Dirección de Compras y Contratación Pública,14547
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,www.sii.cl: Servicio de Impuestos Internos,13831
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,undefinedCMF: Comisión para el Mercado Financiero,13485
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",13311
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,miChileAtiende: Instituto de Previsión Social,13151
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,12978
Autenticación TGR: Servicio de Tesorerías,www.sii.cl: Servicio de Impuestos Internos,12178
Autenticación TGR: Servicio de Tesorerías,Mercado+Público: Dirección de Compras y Contratación Pública,11766
Empleos Públicos: Servicio Civil,PJUD: PODER JUDICIAL,11616
APIs Receta Electrónica: Subsecretaría de Salud Pública,Recetas en línea - Acceso Prescriptor: Subsecretaría de Salud Pública,11581
Subsidio Familiar Automático: Subsecretaría de Evaluación Social,miChileAtiende: Instituto de Previsión Social,11509
Resultados Subsidio Eléctrico: Subsecretaría de Energía,Subsidio Eléctrico: Subsecretaría de Evaluación Social,10376
Mercado+Público: Dirección de Compras y Contratación Pública,undefinedCMF: Comisión para el Mercado Financiero,10212
Milicenciamedica.cl: Subsecretaría de Salud Pública,undefinedSII: Servicio de Impuestos Internos,9569
Protección Social: MDS,miChileAtiende: Instituto de Previsión Social,9047
Acceso Clave Unica UFRO: Universidad de La Frontera,Agencia de Calidad de la Educación: MINISTERIO DE EDUCACION,8845
Autenticación TGR: Servicio de Tesorerías,bcm2.sii.cl: Servicio de Impuestos Internos,8731
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,undefinedSII: Servicio de Impuestos Internos,8443
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,Registro Civil: SRCeI,8263
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,miChileAtiende: Instituto de Previsión Social,8092
IMG: MDS,Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,8002
PJUD: PODER JUDICIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,7959
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,undefinedCMF: Comisión para el Mercado Financiero,7740
PJUD: PODER JUDICIAL,Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,7597
PJUD: PODER JUDICIAL,www.sii.cl: Servicio de Impuestos Internos,7454
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Resultados Subsidio Eléctrico: Subsecretaría de Energía,7227
Contraloria General de la Republica: CONTRALORIA,undefinedSII: Servicio de Impuestos Internos,7015
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,SPP: Fondo de Solidaridad e Inversión Social,6969
Milicenciamedica.cl: Subsecretaría de Salud Pública,undefinedCMF: Comisión para el Mercado Financiero,6893
Bolsa Nacional de Empleo: Subsecretaría del Trabajo,Empleos Públicos: Servicio Civil,6860
Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,6821
MINVU: Subsecretaría de Vivienda y Urbanismo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,6609
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",6496
Comisaría Virtual: Carabineros de Chile,PJUD: PODER JUDICIAL,6414
Contraloría: Contraloría General de la República,Mercado+Público: Dirección de Compras y Contratación Pública,6388
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,undefinedSII: Servicio de Impuestos Internos,6385
Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,6357
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,6320
Autenticacion Nube  Privada: Servicio de Impuestos Internos,bcm2.sii.cl: Servicio de Impuestos Internos,5578
ChileAtiende: Instituto de Previsión Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",5575
Milicenciamedica.cl: Subsecretaría de Salud Pública,Procedimiento Administrativo Electrónico: Superintendencia de Seguridad Social,5438
ChileAtiende: Instituto de Previsión Social,undefinedCMF: Comisión para el Mercado Financiero,5421
Registro Civil: SRCeI,Subsidio Eléctrico: Subsecretaría de Evaluación Social,5355
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,5327
Subsidio Eléctrico: Subsecretaría de Evaluación Social,miChileAtiende: Instituto de Previsión Social,5270
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Mi Súper: Superintendencia de Salud,4971
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,MINVU: Subsecretaría de Vivienda y Urbanismo,4853
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",www.sii.cl: Servicio de Impuestos Internos,4835
ChileAtiende: Instituto de Previsión Social,PJUD: PODER JUDICIAL,4758
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Resultados Subsidio Eléctrico: Subsecretaría de Energía,4609
Milicenciamedica.cl: Subsecretaría de Salud Pública,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,4553
Registro Civil: SRCeI,www.sii.cl: Servicio de Impuestos Internos,4509
IMG: MDS,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,4471
Portal MiDT: Dirección del Trabajo,undefinedCMF: Comisión para el Mercado Financiero,4352
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Subsidio Eléctrico: Subsecretaría de Evaluación Social,4190
Autenticación TGR: Servicio de Tesorerías,Portal MiDT: Dirección del Trabajo,4163
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Portal Servel: Servicio Electoral,4094
miChileAtiende: Instituto de Previsión Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",4091
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,undefinedSII: Servicio de Impuestos Internos,4078
Portal MiDT: Dirección del Trabajo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,3512
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,www.sii.cl: Servicio de Impuestos Internos,3430
Autenticacion Nube  Privada: Servicio de Impuestos Internos,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,3424
MINVU: Subsecretaría de Vivienda y Urbanismo,Postulación en línea DS1: Subsecretaría de Vivienda y Urbanismo,3419
Subsidio Eléctrico: Subsecretaría de Evaluación Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",3417
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Registro Civil: SRCeI,3277
FUAS-Mineduc: Subsecretaría de Educación,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,2826
Autenticación TGR: Servicio de Tesorerías,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,2825
Subsidio Eléctrico: Subsecretaría de Evaluación Social,undefinedSII: Servicio de Impuestos Internos,2825
Registro Civil: SRCeI,miChileAtiende: Instituto de Previsión Social,2818
Autenticación Sistemas DPP: Defensoría Penal Pública,Mi Fiscalía en Línea: Ministerio Público,2773
ChileAtiende: Instituto de Previsión Social,undefinedSII: Servicio de Impuestos Internos,2772
Mercado+Público: Dirección de Compras y Contratación Pública,www.sii.cl: Servicio de Impuestos Internos,2713
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Subsidio Eléctrico: Subsecretaría de Evaluación Social,2698
Autenticación Sistemas DPP: Defensoría Penal Pública,PJUD: PODER JUDICIAL,2686
Resultados Subsidio Eléctrico: Subsecretaría de Energía,miChileAtiende: Instituto de Previsión Social,2679
Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,2554
Empleos Públicos: Servicio Civil,Mercado+Público: Dirección de Compras y Contratación Pública,2548
ACEPTA: ACEPTA.COM S.A.,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,2522
IMG: MDS,Protección Social: MDS,2426
Contraloria General de la Republica: CONTRALORIA,undefinedCMF: Comisión para el Mercado Financiero,2401
Acceso Clave Unica UFRO: Universidad de La Frontera,Recursos de Reposición: Subsecretaría de Educación,2343
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,e-certchile: E-Cert Chile,2328
Protección Social: MDS,Subsidio Eléctrico: Subsecretaría de Evaluación Social,2278
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,SPP: Fondo de Solidaridad e Inversión Social,2226
Municipalidad de Valparaíso - Simple: Municipalidad de Valparaíso,Registro Civil: SRCeI,2190
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,2177
Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,2142
MINVU: Subsecretaría de Vivienda y Urbanismo,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1933
IMG: MDS,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",1931
FONASA - Portal Beneficiario: Fondo Nacional de Salud,undefinedCMF: Comisión para el Mercado Financiero,1888
ChileAtiende: Instituto de Previsión Social,Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,1794
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Resultados Subsidio Eléctrico: Subsecretaría de Energía,1790
Dirección General de Movilización Nacional: Dirección General de Movilización Nacional,Registro Civil: SRCeI,1781
Portal Servel: Servicio Electoral,SERVEL- RENDICION: Servicio Electoral,1764
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,Subsidio Eléctrico: Subsecretaría de Evaluación Social,1763
Mercado+Público: Dirección de Compras y Contratación Pública,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,1763
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Protección Social: MDS,1760
IMG: MDS,miChileAtiende: Instituto de Previsión Social,1686
undefinedCMF: Comisión para el Mercado Financiero,www.sii.cl: Servicio de Impuestos Internos,1644
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,1614
Portal MiDT: Dirección del Trabajo,Trámites Dirección Trabajo: Dirección del Trabajo,1612
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Simple Trámites: Subsecretaría de Evaluación Social,1610
Acceso Clave Unica UFRO: Universidad de La Frontera,Carrera Docente CPEIP: Subsecretaría de Educación,1574
Candidaturas: servicio electoral,Patrocinios: Servicio Electoral,1552
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,miChileAtiende: Instituto de Previsión Social,1549
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,1540
Contraloria General de la Republica: CONTRALORIA,Registro Civil: SRCeI,1536
ChileAtiende: Instituto de Previsión Social,Resultados Subsidio Eléctrico: Subsecretaría de Energía,1531
PJUD: PODER JUDICIAL,Resultados Subsidio Eléctrico: Subsecretaría de Energía,1491
Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,1469
Autenticacion Nube  Privada: Servicio de Impuestos Internos,Autenticación TGR: Servicio de Tesorerías,1357
Milicenciamedica.cl: Subsecretaría de Salud Pública,Subsidio Eléctrico: Subsecretaría de Evaluación Social,1356
Subsidio Eléctrico: Subsecretaría de Evaluación Social,undefinedCMF: Comisión para el Mercado Financiero,1317
DIPRECA: Dirección de Previsión de Carabineros de Chile,miChileAtiende: Instituto de Previsión Social,1305
FONASA - Portal Beneficiario: Fondo Nacional de Salud,www.sii.cl: Servicio de Impuestos Internos,1304
Devolución de Pagos en excesos: Fondo Nacional de Salud,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1297
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Registro Civil: SRCeI,1245
Autenticacion Nube  Privada: Servicio de Impuestos Internos,PJUD: PODER JUDICIAL,1146
Devolución de Pagos en excesos: Fondo Nacional de Salud,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",1137
Devolución de Pagos en excesos: Fondo Nacional de Salud,PJUD: PODER JUDICIAL,1088
Candidaturas: servicio electoral,Registro Civil: SRCeI,1045
ASDigital: Ministerio de salud,Mercado+Público: Dirección de Compras y Contratación Pública,1039
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,992
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,965
Autenticación TGR: Servicio de Tesorerías,undefinedCMF: Comisión para el Mercado Financiero,936
Comisaría Virtual: Carabineros de Chile,PJUD: PODER JUDICIAL,933
SignPass: BPO Advisors SpA,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,921
CAPREDENApp: Redin,Servicios en linea: Caja de Previsión de la Defensa Nacional,904
Devolución de Pagos en excesos: Fondo Nacional de Salud,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,890
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,undefinedCMF: Comisión para el Mercado Financiero,865
Candidaturas: servicio electoral,PJUD: PODER JUDICIAL,860
Autenticacion Nube  Privada: Servicio de Impuestos Internos,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",842
Autenticación TGR: Servicio de Tesorerías,Registro Civil: SRCeI,833
FONASA - Portal Beneficiario: Fondo Nacional de Salud,miChileAtiende: Instituto de Previsión Social,832
Comisaría Virtual: Carabineros de Chile,Registro Civil: SRCeI,810
Portal MiDT: Dirección del Trabajo,www.sii.cl: Servicio de Impuestos Internos,806
Dirección General de Movilización Nacional: Dirección General de Movilización Nacional,Empleos Públicos: Servicio Civil,803
Candidaturas: servicio electoral,undefinedSII: Servicio de Impuestos Internos,800
Bono Logro Escolar: Subsecretaría de Servicios Sociales,miChileAtiende: Instituto de Previsión Social,790
SEC - Atención Ciudadana: Superintendencia de Electricidad y Combustibles,Sernac - Portal del consumidor: Servicio Nacional del Consumidor,786
SIMPLE: Corporación Nacional de Desarrollo Indígena,Simple Trámites: Subsecretaría de Evaluación Social,775
Acceso Clave Unica UFRO: Universidad de La Frontera,Portal Docente Parvularia: Subsecretaría de Educación,767
Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,undefinedSII: Servicio de Impuestos Internos,760
Protección Social: MDS,bcm2.sii.cl: Servicio de Impuestos Internos,743
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,736
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,www.sii.cl: Servicio de Impuestos Internos,735
PJUD: PODER JUDICIAL,Portal Servel: Servicio Electoral,720
CGR: Contraloría General de la República,Mercado+Público: Dirección de Compras y Contratación Pública,703
Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,701
Contraloria General de la Republica: CONTRALORIA,PJUD: PODER JUDICIAL,691
Registro Civil: SRCeI,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,689
Registro Civil: SRCeI,Resultados Subsidio Eléctrico: Subsecretaría de Energía,687
Empleos Públicos: Servicio Civil,undefinedSII: Servicio de Impuestos Internos,649
Mercado+Público: Dirección de Compras y Contratación Pública,Subsidio Eléctrico: Subsecretaría de Evaluación Social,642
Portal MiDT: Dirección del Trabajo,Subsidio Eléctrico: Subsecretaría de Evaluación Social,642
IMG: MDS,Milicenciamedica.cl: Subsecretaría de Salud Pública,636
miChileAtiende: Instituto de Previsión Social,undefinedSII: Servicio de Impuestos Internos,630
Contactanos DT: Dirección del Trabajo,Portal MiDT: Dirección del Trabajo,623
Contraloria General de la Republica: CONTRALORIA,Mercado+Público: Dirección de Compras y Contratación Pública,621
Milicenciamedica.cl: Subsecretaría de Salud Pública,www.sii.cl: Servicio de Impuestos Internos,619
CGR: Contraloría General de la República,Contraloría: Contraloría General de la República,614
Portal Servel: Servicio Electoral,Servel: Servicio Electoral,611
ChileAtiende: Instituto de Previsión Social,www.sii.cl: Servicio de Impuestos Internos,607
Autenticacion Nube  Privada: Servicio de Impuestos Internos,Registro Civil: SRCeI,605
Comisaría Virtual: Carabineros de Chile,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,597
Acceso Clave Unica UFRO: Universidad de La Frontera,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,593
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,559
Patrocinios: Servicio Electoral,Portal Servel: Servicio Electoral,558
Comisaría Virtual: Carabineros de Chile,Registro Civil: SRCeI,543
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,Postulación en línea DS1: Subsecretaría de Vivienda y Urbanismo,535
Comisaría Virtual: Carabineros de Chile,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",529
Mercado+Público: Dirección de Compras y Contratación Pública,Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,527
Acceso Clave Unica UFRO: Universidad de La Frontera,Registro Civil: SRCeI,515
Bono Logro Escolar: Subsecretaría de Servicios Sociales,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,505
SPP: Fondo de Solidaridad e Inversión Social,undefinedSII: Servicio de Impuestos Internos,505
