item1,item2,frequency
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,672350
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,348042
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,260744
undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,217086
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,209245
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedSII: Servicio de Impuestos Internos,189871
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",178352
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,176074
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,175953
Mi Fiscalía en Línea: Ministerio Público,PJUD: PODER JUDICIAL,157492
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedCMF: Comisión para el Mercado Financiero,155312
ChileAtiende: Instituto de Previsión Social,Registro Civil: SRCeI,135658
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,134701
PJUD: PODER JUDICIAL,Registro Civil: SRCeI,128228
Autenticación TGR: Servicio de Tesorerías,undefinedSII: Servicio de Impuestos Internos,118233
PJUD: PODER JUDICIAL,undefinedSII: Servicio de Impuestos Internos,114558
Portal MiDT: Dirección del Trabajo,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",100915
undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,92751
Mercado+Público: Dirección de Compras y Contratación Pública,undefinedSII: Servicio de Impuestos Internos,89094
bcm2.sii.cl: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,85206
PJUD: PODER JUDICIAL,undefinedCMF: Comisión para el Mercado Financiero,80568
