item1,item2,frequency
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,1082808
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,545060
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,492078
undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,468821
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,467935
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedSII: Servicio de Impuestos Internos,352622
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",350943
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedCMF: Comisión para el Mercado Financiero,317624
Mi Fiscalía en Línea: Ministerio Público,PJUD: PODER JUDICIAL,233994
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,210664
Portal MiDT: Dirección del Trabajo,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",209001
PJUD: PODER JUDICIAL,Registro Civil: SRCeI,203279
PJUD: PODER JUDICIAL,undefinedSII: Servicio de Impuestos Internos,185452
ChileAtiende: Instituto de Previsión Social,Registro Civil: SRCeI,163073
Autenticación TGR: Servicio de Tesorerías,undefinedSII: Servicio de Impuestos Internos,147984
PJUD: PODER JUDICIAL,undefinedCMF: Comisión para el Mercado Financiero,143521
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,139006
PJUD: PODER JUDICIAL,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,134541
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,131712
undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,131237
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,127981
bcm2.sii.cl: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,125984
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,miChileAtiende: Instituto de Previsión Social,124702
ChileAtiende: Instituto de Previsión Social,miChileAtiende: Instituto de Previsión Social,123572
Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,115330
PJUD: PODER JUDICIAL,miChileAtiende: Instituto de Previsión Social,115274
