servicio_a,servicio_b,soporte_co_ocurrencia,n_a_antes_b,n_b_antes_a,direccion_dominante,frac_direccion_dominante,clasificacion,nombre_a,nombre_b
347178b052294153af290d6a84589868,d602a0071f3f4db8b37a87cffd89bf23,252725,17414,235311,d602a0071f3f4db8b37a87cffd89bf23->347178b052294153af290d6a84589868,0.9311,consistente,Mi Fiscalía en Línea - Ministerio Público,PJUD - PODER JUDICIAL
2549b51828ce40af920a932dd2102217,495c261c0f484bd08e232f7358452c4d,121747,60489,61258,495c261c0f484bd08e232f7358452c4d->2549b51828ce40af920a932dd2102217,0.5032,mixto,undefined - Servicio de Impuestos Internos,undefined - Comisión para el Mercado Financiero
ae4caa1cb2154cac89440f3fe18251cb,d602a0071f3f4db8b37a87cffd89bf23,70410,33296,37114,d602a0071f3f4db8b37a87cffd89bf23->ae4caa1cb2154cac89440f3fe18251cb,0.5271,mixto,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial,PJUD - PODER JUDICIAL
2549b51828ce40af920a932dd2102217,9a76efc4c34e4bd7843206658dc45454,17428,3604,13824,9a76efc4c34e4bd7843206658dc45454->2549b51828ce40af920a932dd2102217,0.7932,mixto,undefined - Servicio de Impuestos Internos,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
91f3f86897ff4ae39e50cbd7035fa8af,eae6a8d122774db4ba88162a875db6a6,9705,4185,5520,eae6a8d122774db4ba88162a875db6a6->91f3f86897ff4ae39e50cbd7035fa8af,0.5688,mixto,APIs Receta Electrónica - Subsecretaría de Salud Pública,Recetas en línea - Acceso Químico farmacéutico - Subsecretaría de Salud Pública
123,2549b51828ce40af920a932dd2102217,8176,4474,3702,123->2549b51828ce40af920a932dd2102217,0.5472,mixto,Registro Civil - SRCeI,undefined - Servicio de Impuestos Internos
495c261c0f484bd08e232f7358452c4d,9a76efc4c34e4bd7843206658dc45454,8046,2065,5981,9a76efc4c34e4bd7843206658dc45454->495c261c0f484bd08e232f7358452c4d,0.7434,mixto,undefined - Comisión para el Mercado Financiero,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
123,9a76efc4c34e4bd7843206658dc45454,6873,1316,5557,9a76efc4c34e4bd7843206658dc45454->123,0.8085,mixto,Registro Civil - SRCeI,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
123,ffaec74bfd414f8394bab077a989e27f,6289,1607,4682,ffaec74bfd414f8394bab077a989e27f->123,0.7445,mixto,Registro Civil - SRCeI,miChileAtiende - Instituto de Previsión Social
347178b052294153af290d6a84589868,ae4caa1cb2154cac89440f3fe18251cb,6161,2885,3276,ae4caa1cb2154cac89440f3fe18251cb->347178b052294153af290d6a84589868,0.5317,mixto,Mi Fiscalía en Línea - Ministerio Público,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
123,dd7629fec91f4599b3cf8c0dd0b984ac,6105,3826,2279,123->dd7629fec91f4599b3cf8c0dd0b984ac,0.6267,mixto,Registro Civil - SRCeI,Sucursal Virtual FONASA - Fondo Nacional de Salud
123,d602a0071f3f4db8b37a87cffd89bf23,5388,2476,2912,d602a0071f3f4db8b37a87cffd89bf23->123,0.5405,mixto,Registro Civil - SRCeI,PJUD - PODER JUDICIAL
67eb30db49f240b08ab2b3f422f92cdf,e8dde9d26979498786c6ba5a82f70ad3,4705,3244,1461,67eb30db49f240b08ab2b3f422f92cdf->e8dde9d26979498786c6ba5a82f70ad3,0.6895,mixto,Portal MiDT - Dirección del Trabajo,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
2549b51828ce40af920a932dd2102217,d602a0071f3f4db8b37a87cffd89bf23,4470,1949,2521,d602a0071f3f4db8b37a87cffd89bf23->2549b51828ce40af920a932dd2102217,0.564,mixto,undefined - Servicio de Impuestos Internos,PJUD - PODER JUDICIAL
1bb1657eb2eb43808f0529810258aa3b,347178b052294153af290d6a84589868,3994,2558,1436,1bb1657eb2eb43808f0529810258aa3b->347178b052294153af290d6a84589868,0.6405,mixto,Autenticación Sistemas DPP - Defensoría Penal Pública,Mi Fiscalía en Línea - Ministerio Público
9a76efc4c34e4bd7843206658dc45454,e8dde9d26979498786c6ba5a82f70ad3,3901,2983,918,9a76efc4c34e4bd7843206658dc45454->e8dde9d26979498786c6ba5a82f70ad3,0.7647,mixto,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
ae412e532f1a48428bd0c5ad1f02f816,ed07316d9d6344a9ab11e8a41fdc413a,3416,1282,2134,ed07316d9d6344a9ab11e8a41fdc413a->ae412e532f1a48428bd0c5ad1f02f816,0.6247,mixto,Sistema de gestión de licencia - Subsecretaría de Transportes,NEXTEO - Subsecretaría de Transportes
2549b51828ce40af920a932dd2102217,94d27864f86d422faa68efccb908cc34,3242,1338,1904,94d27864f86d422faa68efccb908cc34->2549b51828ce40af920a932dd2102217,0.5873,mixto,undefined - Servicio de Impuestos Internos,94d27864f86d422faa68efccb908cc34
0f33ab6447034fe49d1629353a119e47,4a94478dd25f4430a0a023b87e11170d,3225,1760,1465,0f33ab6447034fe49d1629353a119e47->4a94478dd25f4430a0a023b87e11170d,0.5457,mixto,Superintendencia en Línea - Mi Portal - Superintendencia de Seguridad Social,Milicenciamedica.cl - Subsecretaría de Salud Pública
2549b51828ce40af920a932dd2102217,67339e06f4b44f78994ff4785178807a,3071,1411,1660,67339e06f4b44f78994ff4785178807a->2549b51828ce40af920a932dd2102217,0.5405,mixto,undefined - Servicio de Impuestos Internos,Mercado+Público - Dirección de Compras y Contratación Pública
123,c82f84bf3f2b451393445a0cb6883665,2891,1327,1564,c82f84bf3f2b451393445a0cb6883665->123,0.541,mixto,Registro Civil - SRCeI,Ventanilla Única Social - Subsecretaría de Evaluación Social
1bb1657eb2eb43808f0529810258aa3b,d602a0071f3f4db8b37a87cffd89bf23,2863,1490,1373,1bb1657eb2eb43808f0529810258aa3b->d602a0071f3f4db8b37a87cffd89bf23,0.5204,mixto,Autenticación Sistemas DPP - Defensoría Penal Pública,PJUD - PODER JUDICIAL
1ad6835586034de0b29f4a402b182c6c,d602a0071f3f4db8b37a87cffd89bf23,2545,1196,1349,d602a0071f3f4db8b37a87cffd89bf23->1ad6835586034de0b29f4a402b182c6c,0.5301,mixto,Comisaría Virtual 2 - Carabineros de Chile,PJUD - PODER JUDICIAL
c82f84bf3f2b451393445a0cb6883665,d602a0071f3f4db8b37a87cffd89bf23,2541,1342,1199,c82f84bf3f2b451393445a0cb6883665->d602a0071f3f4db8b37a87cffd89bf23,0.5281,mixto,Ventanilla Única Social - Subsecretaría de Evaluación Social,PJUD - PODER JUDICIAL
123,ae4caa1cb2154cac89440f3fe18251cb,2540,1399,1141,123->ae4caa1cb2154cac89440f3fe18251cb,0.5508,mixto,Registro Civil - SRCeI,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
2549b51828ce40af920a932dd2102217,c82f84bf3f2b451393445a0cb6883665,2534,678,1856,c82f84bf3f2b451393445a0cb6883665->2549b51828ce40af920a932dd2102217,0.7324,mixto,undefined - Servicio de Impuestos Internos,Ventanilla Única Social - Subsecretaría de Evaluación Social
123,1ad6835586034de0b29f4a402b182c6c,2486,927,1559,1ad6835586034de0b29f4a402b182c6c->123,0.6271,mixto,Registro Civil - SRCeI,Comisaría Virtual 2 - Carabineros de Chile
67339e06f4b44f78994ff4785178807a,b972e814004e4624a566f308901cca7c,2440,1389,1051,67339e06f4b44f78994ff4785178807a->b972e814004e4624a566f308901cca7c,0.5693,mixto,Mercado+Público - Dirección de Compras y Contratación Pública,DocDigital Versión 3 - Subsecretaría General de la Presidencia de la República
c82f84bf3f2b451393445a0cb6883665,ffaec74bfd414f8394bab077a989e27f,2395,1161,1234,ffaec74bfd414f8394bab077a989e27f->c82f84bf3f2b451393445a0cb6883665,0.5152,mixto,Ventanilla Única Social - Subsecretaría de Evaluación Social,miChileAtiende - Instituto de Previsión Social
d602a0071f3f4db8b37a87cffd89bf23,f883bd6d70b043a09837e8b888fe3f65,2345,1633,712,d602a0071f3f4db8b37a87cffd89bf23->f883bd6d70b043a09837e8b888fe3f65,0.6964,mixto,PJUD - PODER JUDICIAL,undefined - Subsecretaría de Economía y Empresas de Menor Tamaño
123,9ae54d261e454c93ae1c2cdec0fd03e6,2231,1369,862,123->9ae54d261e454c93ae1c2cdec0fd03e6,0.6136,mixto,Registro Civil - SRCeI,Login certificado afiliacion - Fondo Nacional de Salud
2549b51828ce40af920a932dd2102217,f883bd6d70b043a09837e8b888fe3f65,2207,1398,809,2549b51828ce40af920a932dd2102217->f883bd6d70b043a09837e8b888fe3f65,0.6334,mixto,undefined - Servicio de Impuestos Internos,undefined - Subsecretaría de Economía y Empresas de Menor Tamaño
2549b51828ce40af920a932dd2102217,e8dde9d26979498786c6ba5a82f70ad3,2174,1423,751,2549b51828ce40af920a932dd2102217->e8dde9d26979498786c6ba5a82f70ad3,0.6546,mixto,undefined - Servicio de Impuestos Internos,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
2549b51828ce40af920a932dd2102217,ee00832abfba40b38335ce48a12981b5,2169,1255,914,2549b51828ce40af920a932dd2102217->ee00832abfba40b38335ce48a12981b5,0.5786,mixto,undefined - Servicio de Impuestos Internos,Autenticacion Nube  Privada - Servicio de Impuestos Internos
cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,d602a0071f3f4db8b37a87cffd89bf23,2047,943,1104,d602a0071f3f4db8b37a87cffd89bf23->cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,0.5393,mixto,Portal Usuario 2.0 - Subsecretaría de Justicia,PJUD - PODER JUDICIAL
4a94478dd25f4430a0a023b87e11170d,dd7629fec91f4599b3cf8c0dd0b984ac,2027,860,1167,dd7629fec91f4599b3cf8c0dd0b984ac->4a94478dd25f4430a0a023b87e11170d,0.5757,mixto,Milicenciamedica.cl - Subsecretaría de Salud Pública,Sucursal Virtual FONASA - Fondo Nacional de Salud
67eb30db49f240b08ab2b3f422f92cdf,d602a0071f3f4db8b37a87cffd89bf23,1962,913,1049,d602a0071f3f4db8b37a87cffd89bf23->67eb30db49f240b08ab2b3f422f92cdf,0.5347,mixto,Portal MiDT - Dirección del Trabajo,PJUD - PODER JUDICIAL
1ad6835586034de0b29f4a402b182c6c,ae4caa1cb2154cac89440f3fe18251cb,1868,1022,846,1ad6835586034de0b29f4a402b182c6c->ae4caa1cb2154cac89440f3fe18251cb,0.5471,mixto,Comisaría Virtual 2 - Carabineros de Chile,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
347178b052294153af290d6a84589868,399e7fc266894562850261cfbc06b992,1861,735,1126,399e7fc266894562850261cfbc06b992->347178b052294153af290d6a84589868,0.6051,mixto,Mi Fiscalía en Línea - Ministerio Público,Denuncia en Linea - Ministerio Público
c82f84bf3f2b451393445a0cb6883665,e8dde9d26979498786c6ba5a82f70ad3,1853,1175,678,c82f84bf3f2b451393445a0cb6883665->e8dde9d26979498786c6ba5a82f70ad3,0.6341,mixto,Ventanilla Única Social - Subsecretaría de Evaluación Social,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
01b56ab5b9be43e19fa06300994787ec,ae4caa1cb2154cac89440f3fe18251cb,1835,998,837,01b56ab5b9be43e19fa06300994787ec->ae4caa1cb2154cac89440f3fe18251cb,0.5439,mixto,Bitácora Web - Ministerio Público,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
67339e06f4b44f78994ff4785178807a,d602a0071f3f4db8b37a87cffd89bf23,1813,834,979,d602a0071f3f4db8b37a87cffd89bf23->67339e06f4b44f78994ff4785178807a,0.54,mixto,Mercado+Público - Dirección de Compras y Contratación Pública,PJUD - PODER JUDICIAL
67339e06f4b44f78994ff4785178807a,67eb30db49f240b08ab2b3f422f92cdf,1794,947,847,67339e06f4b44f78994ff4785178807a->67eb30db49f240b08ab2b3f422f92cdf,0.5279,mixto,Mercado+Público - Dirección de Compras y Contratación Pública,Portal MiDT - Dirección del Trabajo
4a94478dd25f4430a0a023b87e11170d,d602a0071f3f4db8b37a87cffd89bf23,1793,938,855,4a94478dd25f4430a0a023b87e11170d->d602a0071f3f4db8b37a87cffd89bf23,0.5231,mixto,Milicenciamedica.cl - Subsecretaría de Salud Pública,PJUD - PODER JUDICIAL
2549b51828ce40af920a932dd2102217,4830b97416a14d1485ccb85c9f9baa4e,1772,1040,732,2549b51828ce40af920a932dd2102217->4830b97416a14d1485ccb85c9f9baa4e,0.5869,mixto,undefined - Servicio de Impuestos Internos,Trámites SP - Superintendencia de Penssiones
6daae6995cb245348bb2b5432ccc9948,b992e6a27eb249658efce6ca0cc286dc,1759,851,908,b992e6a27eb249658efce6ca0cc286dc->6daae6995cb245348bb2b5432ccc9948,0.5162,mixto,DIRECTEMAR - Dirección General del Territorio Marítimo y Marina Mercante,Vumar - Subsecretaría de Transportes
123,67eb30db49f240b08ab2b3f422f92cdf,1656,920,736,123->67eb30db49f240b08ab2b3f422f92cdf,0.5556,mixto,Registro Civil - SRCeI,Portal MiDT - Dirección del Trabajo
6a322ad743e3464bae56d2d9b180078a,d602a0071f3f4db8b37a87cffd89bf23,1649,666,983,d602a0071f3f4db8b37a87cffd89bf23->6a322ad743e3464bae56d2d9b180078a,0.5961,mixto,6a322ad743e3464bae56d2d9b180078a,PJUD - PODER JUDICIAL
91f3f86897ff4ae39e50cbd7035fa8af,d602a0071f3f4db8b37a87cffd89bf23,1647,429,1218,d602a0071f3f4db8b37a87cffd89bf23->91f3f86897ff4ae39e50cbd7035fa8af,0.7395,mixto,APIs Receta Electrónica - Subsecretaría de Salud Pública,PJUD - PODER JUDICIAL
0f33ab6447034fe49d1629353a119e47,2549b51828ce40af920a932dd2102217,1628,944,684,0f33ab6447034fe49d1629353a119e47->2549b51828ce40af920a932dd2102217,0.5799,mixto,Superintendencia en Línea - Mi Portal - Superintendencia de Seguridad Social,undefined - Servicio de Impuestos Internos
d602a0071f3f4db8b37a87cffd89bf23,e8dde9d26979498786c6ba5a82f70ad3,1620,918,702,d602a0071f3f4db8b37a87cffd89bf23->e8dde9d26979498786c6ba5a82f70ad3,0.5667,mixto,PJUD - PODER JUDICIAL,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
123,e8dde9d26979498786c6ba5a82f70ad3,1569,784,785,e8dde9d26979498786c6ba5a82f70ad3->123,0.5003,mixto,Registro Civil - SRCeI,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
9a76efc4c34e4bd7843206658dc45454,d602a0071f3f4db8b37a87cffd89bf23,1542,968,574,9a76efc4c34e4bd7843206658dc45454->d602a0071f3f4db8b37a87cffd89bf23,0.6278,mixto,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital,PJUD - PODER JUDICIAL
d602a0071f3f4db8b37a87cffd89bf23,ffaec74bfd414f8394bab077a989e27f,1528,714,814,ffaec74bfd414f8394bab077a989e27f->d602a0071f3f4db8b37a87cffd89bf23,0.5327,mixto,PJUD - PODER JUDICIAL,miChileAtiende - Instituto de Previsión Social
4a94478dd25f4430a0a023b87e11170d,e8dde9d26979498786c6ba5a82f70ad3,1524,928,596,4a94478dd25f4430a0a023b87e11170d->e8dde9d26979498786c6ba5a82f70ad3,0.6089,mixto,Milicenciamedica.cl - Subsecretaría de Salud Pública,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
2549b51828ce40af920a932dd2102217,ae4caa1cb2154cac89440f3fe18251cb,1506,1067,439,2549b51828ce40af920a932dd2102217->ae4caa1cb2154cac89440f3fe18251cb,0.7085,mixto,undefined - Servicio de Impuestos Internos,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
2549b51828ce40af920a932dd2102217,6a322ad743e3464bae56d2d9b180078a,1458,565,893,6a322ad743e3464bae56d2d9b180078a->2549b51828ce40af920a932dd2102217,0.6125,mixto,undefined - Servicio de Impuestos Internos,6a322ad743e3464bae56d2d9b180078a
4830b97416a14d1485ccb85c9f9baa4e,9a76efc4c34e4bd7843206658dc45454,1450,543,907,9a76efc4c34e4bd7843206658dc45454->4830b97416a14d1485ccb85c9f9baa4e,0.6255,mixto,Trámites SP - Superintendencia de Penssiones,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
9a76efc4c34e4bd7843206658dc45454,c82f84bf3f2b451393445a0cb6883665,1445,1023,422,9a76efc4c34e4bd7843206658dc45454->c82f84bf3f2b451393445a0cb6883665,0.708,mixto,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital,Ventanilla Única Social - Subsecretaría de Evaluación Social
4a94478dd25f4430a0a023b87e11170d,9a76efc4c34e4bd7843206658dc45454,1423,420,1003,9a76efc4c34e4bd7843206658dc45454->4a94478dd25f4430a0a023b87e11170d,0.7048,mixto,Milicenciamedica.cl - Subsecretaría de Salud Pública,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
ae4caa1cb2154cac89440f3fe18251cb,cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,1392,866,526,ae4caa1cb2154cac89440f3fe18251cb->cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,0.6221,mixto,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial,Portal Usuario 2.0 - Subsecretaría de Justicia
94d27864f86d422faa68efccb908cc34,d602a0071f3f4db8b37a87cffd89bf23,1370,501,869,d602a0071f3f4db8b37a87cffd89bf23->94d27864f86d422faa68efccb908cc34,0.6343,mixto,94d27864f86d422faa68efccb908cc34,PJUD - PODER JUDICIAL
0f33ab6447034fe49d1629353a119e47,4830b97416a14d1485ccb85c9f9baa4e,1366,848,518,0f33ab6447034fe49d1629353a119e47->4830b97416a14d1485ccb85c9f9baa4e,0.6208,mixto,Superintendencia en Línea - Mi Portal - Superintendencia de Seguridad Social,Trámites SP - Superintendencia de Penssiones
495c261c0f484bd08e232f7358452c4d,6a322ad743e3464bae56d2d9b180078a,1345,730,615,495c261c0f484bd08e232f7358452c4d->6a322ad743e3464bae56d2d9b180078a,0.5428,mixto,undefined - Comisión para el Mercado Financiero,6a322ad743e3464bae56d2d9b180078a
123,dc821110e3f34bf3984d61955ced2e69,1337,771,566,123->dc821110e3f34bf3984d61955ced2e69,0.5767,mixto,Registro Civil - SRCeI,Licencia de Conducir Digital - Subsecretaría de Transportes
4a94478dd25f4430a0a023b87e11170d,c82f84bf3f2b451393445a0cb6883665,1333,676,657,4a94478dd25f4430a0a023b87e11170d->c82f84bf3f2b451393445a0cb6883665,0.5071,mixto,Milicenciamedica.cl - Subsecretaría de Salud Pública,Ventanilla Única Social - Subsecretaría de Evaluación Social
08165f6182bc4dfc9dc1d7774508bbc6,f883bd6d70b043a09837e8b888fe3f65,1281,333,948,f883bd6d70b043a09837e8b888fe3f65->08165f6182bc4dfc9dc1d7774508bbc6,0.74,mixto,e-certchile - E-Cert Chile,undefined - Subsecretaría de Economía y Empresas de Menor Tamaño
2549b51828ce40af920a932dd2102217,67eb30db49f240b08ab2b3f422f92cdf,1273,634,639,67eb30db49f240b08ab2b3f422f92cdf->2549b51828ce40af920a932dd2102217,0.502,mixto,undefined - Servicio de Impuestos Internos,Portal MiDT - Dirección del Trabajo
123,f883bd6d70b043a09837e8b888fe3f65,1269,485,784,f883bd6d70b043a09837e8b888fe3f65->123,0.6178,mixto,Registro Civil - SRCeI,undefined - Subsecretaría de Economía y Empresas de Menor Tamaño
9a76efc4c34e4bd7843206658dc45454,ae4caa1cb2154cac89440f3fe18251cb,1257,978,279,9a76efc4c34e4bd7843206658dc45454->ae4caa1cb2154cac89440f3fe18251cb,0.778,mixto,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
4a94478dd25f4430a0a023b87e11170d,ae54454684154c25bd33c6e04609652b,1256,525,731,ae54454684154c25bd33c6e04609652b->4a94478dd25f4430a0a023b87e11170d,0.582,mixto,Milicenciamedica.cl - Subsecretaría de Salud Pública,Sistema de Apelación Contra de Isapres - Subsecretaría de Salud Pública
67eb30db49f240b08ab2b3f422f92cdf,f883bd6d70b043a09837e8b888fe3f65,1253,566,687,f883bd6d70b043a09837e8b888fe3f65->67eb30db49f240b08ab2b3f422f92cdf,0.5483,mixto,Portal MiDT - Dirección del Trabajo,undefined - Subsecretaría de Economía y Empresas de Menor Tamaño
123,4a94478dd25f4430a0a023b87e11170d,1231,559,672,4a94478dd25f4430a0a023b87e11170d->123,0.5459,mixto,Registro Civil - SRCeI,Milicenciamedica.cl - Subsecretaría de Salud Pública
6a322ad743e3464bae56d2d9b180078a,9a76efc4c34e4bd7843206658dc45454,1189,392,797,9a76efc4c34e4bd7843206658dc45454->6a322ad743e3464bae56d2d9b180078a,0.6703,mixto,6a322ad743e3464bae56d2d9b180078a,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
41da80f6154c4d918166fc43862f5d78,d602a0071f3f4db8b37a87cffd89bf23,1173,616,557,41da80f6154c4d918166fc43862f5d78->d602a0071f3f4db8b37a87cffd89bf23,0.5251,mixto,Web Cajmetro - Corporación de Asistencia Judicial de la Región Metropolitana,PJUD - PODER JUDICIAL
123,6a322ad743e3464bae56d2d9b180078a,1170,520,650,6a322ad743e3464bae56d2d9b180078a->123,0.5556,mixto,Registro Civil - SRCeI,6a322ad743e3464bae56d2d9b180078a
006b85a984e94ce88ddb035ec01b2d70,b972e814004e4624a566f308901cca7c,1160,620,540,006b85a984e94ce88ddb035ec01b2d70->b972e814004e4624a566f308901cca7c,0.5345,mixto,006b85a984e94ce88ddb035ec01b2d70,DocDigital Versión 3 - Subsecretaría General de la Presidencia de la República
0f33ab6447034fe49d1629353a119e47,9a76efc4c34e4bd7843206658dc45454,1151,552,599,9a76efc4c34e4bd7843206658dc45454->0f33ab6447034fe49d1629353a119e47,0.5204,mixto,Superintendencia en Línea - Mi Portal - Superintendencia de Seguridad Social,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
c5b83bbfa22c4c31a5743485b4c6e524,e8dde9d26979498786c6ba5a82f70ad3,1134,741,393,c5b83bbfa22c4c31a5743485b4c6e524->e8dde9d26979498786c6ba5a82f70ad3,0.6534,mixto,Bolsa Nacional de Empleo - Subsecretaría del Trabajo,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
495c261c0f484bd08e232f7358452c4d,ae4caa1cb2154cac89440f3fe18251cb,1130,685,445,495c261c0f484bd08e232f7358452c4d->ae4caa1cb2154cac89440f3fe18251cb,0.6062,mixto,undefined - Comisión para el Mercado Financiero,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
d602a0071f3f4db8b37a87cffd89bf23,fba5ab8c38d3426492c31c99ad569bdb,1127,877,250,d602a0071f3f4db8b37a87cffd89bf23->fba5ab8c38d3426492c31c99ad569bdb,0.7782,mixto,PJUD - PODER JUDICIAL,Oficina Judicial Virtual Tribunales Tributarios y Aduaneros - Unidad Administradora de Tribunales Tributarios y Aduaneros
2549b51828ce40af920a932dd2102217,4a94478dd25f4430a0a023b87e11170d,1101,493,608,4a94478dd25f4430a0a023b87e11170d->2549b51828ce40af920a932dd2102217,0.5522,mixto,undefined - Servicio de Impuestos Internos,Milicenciamedica.cl - Subsecretaría de Salud Pública
ae4caa1cb2154cac89440f3fe18251cb,c82f84bf3f2b451393445a0cb6883665,1044,465,579,c82f84bf3f2b451393445a0cb6883665->ae4caa1cb2154cac89440f3fe18251cb,0.5546,mixto,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial,Ventanilla Única Social - Subsecretaría de Evaluación Social
4bb573e349504824b5b5a050a83e094d,67339e06f4b44f78994ff4785178807a,1027,368,659,67339e06f4b44f78994ff4785178807a->4bb573e349504824b5b5a050a83e094d,0.6417,mixto,ChileCompra - Centro de Ayuda - Dirección de Compras y Contratación Pública,Mercado+Público - Dirección de Compras y Contratación Pública
08165f6182bc4dfc9dc1d7774508bbc6,9a76efc4c34e4bd7843206658dc45454,1023,128,895,9a76efc4c34e4bd7843206658dc45454->08165f6182bc4dfc9dc1d7774508bbc6,0.8749,mixto,e-certchile - E-Cert Chile,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
c82f84bf3f2b451393445a0cb6883665,dd7629fec91f4599b3cf8c0dd0b984ac,1020,525,495,c82f84bf3f2b451393445a0cb6883665->dd7629fec91f4599b3cf8c0dd0b984ac,0.5147,mixto,Ventanilla Única Social - Subsecretaría de Evaluación Social,Sucursal Virtual FONASA - Fondo Nacional de Salud
67339e06f4b44f78994ff4785178807a,f883bd6d70b043a09837e8b888fe3f65,993,462,531,f883bd6d70b043a09837e8b888fe3f65->67339e06f4b44f78994ff4785178807a,0.5347,mixto,Mercado+Público - Dirección de Compras y Contratación Pública,undefined - Subsecretaría de Economía y Empresas de Menor Tamaño
dd7629fec91f4599b3cf8c0dd0b984ac,e8dde9d26979498786c6ba5a82f70ad3,992,689,303,dd7629fec91f4599b3cf8c0dd0b984ac->e8dde9d26979498786c6ba5a82f70ad3,0.6946,mixto,Sucursal Virtual FONASA - Fondo Nacional de Salud,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
ae4caa1cb2154cac89440f3fe18251cb,ffaec74bfd414f8394bab077a989e27f,983,308,675,ffaec74bfd414f8394bab077a989e27f->ae4caa1cb2154cac89440f3fe18251cb,0.6867,mixto,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial,miChileAtiende - Instituto de Previsión Social
56da1c80cfea4a5b83326bfef271fc3e,ae4caa1cb2154cac89440f3fe18251cb,980,609,371,56da1c80cfea4a5b83326bfef271fc3e->ae4caa1cb2154cac89440f3fe18251cb,0.6214,mixto,Escritorio de Aplicaciones - Ministerio Público,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
347178b052294153af290d6a84589868,64d9be8046574fbfbc1fb14c9912afea,979,473,506,64d9be8046574fbfbc1fb14c9912afea->347178b052294153af290d6a84589868,0.5169,mixto,Mi Fiscalía en Línea - Ministerio Público,ASDigital - Ministerio de salud
67eb30db49f240b08ab2b3f422f92cdf,c82f84bf3f2b451393445a0cb6883665,977,536,441,67eb30db49f240b08ab2b3f422f92cdf->c82f84bf3f2b451393445a0cb6883665,0.5486,mixto,Portal MiDT - Dirección del Trabajo,Ventanilla Única Social - Subsecretaría de Evaluación Social
209ce526160947f0b398566cd4cbfd0d,d602a0071f3f4db8b37a87cffd89bf23,951,377,574,d602a0071f3f4db8b37a87cffd89bf23->209ce526160947f0b398566cd4cbfd0d,0.6036,mixto,Portal de Aplicaciones Sence - Servicio Nacional de Capacitacion y Empleo,PJUD - PODER JUDICIAL
5aa1a66c9e844e18a4a41740ed4aa476,91f3f86897ff4ae39e50cbd7035fa8af,937,399,538,91f3f86897ff4ae39e50cbd7035fa8af->5aa1a66c9e844e18a4a41740ed4aa476,0.5742,mixto,Recetas en línea - Acceso Prescriptor - Subsecretaría de Salud Pública,APIs Receta Electrónica - Subsecretaría de Salud Pública
d602a0071f3f4db8b37a87cffd89bf23,dd7629fec91f4599b3cf8c0dd0b984ac,915,443,472,dd7629fec91f4599b3cf8c0dd0b984ac->d602a0071f3f4db8b37a87cffd89bf23,0.5158,mixto,PJUD - PODER JUDICIAL,Sucursal Virtual FONASA - Fondo Nacional de Salud
9a76efc4c34e4bd7843206658dc45454,ffaec74bfd414f8394bab077a989e27f,913,587,326,9a76efc4c34e4bd7843206658dc45454->ffaec74bfd414f8394bab077a989e27f,0.6429,mixto,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital,miChileAtiende - Instituto de Previsión Social
