servicio_a,servicio_b,soporte_co_ocurrencia,n_a_antes_b,n_b_antes_a,direccion_dominante,frac_direccion_dominante,clasificacion,nombre_a,nombre_b
ae54454684154c25bd33c6e04609652b,b1b009877e0c4e0790fd92559d853d69,44,29,15,ae54454684154c25bd33c6e04609652b->b1b009877e0c4e0790fd92559d853d69,0.6591,mixto,Sistema de Apelación Contra de Isapres - Subsecretaría de Salud Pública,Mi Súper - Superintendencia de Salud
56da1c80cfea4a5b83326bfef271fc3e,6a322ad743e3464bae56d2d9b180078a,44,25,19,56da1c80cfea4a5b83326bfef271fc3e->6a322ad743e3464bae56d2d9b180078a,0.5682,mixto,Escritorio de Aplicaciones - Ministerio Público,6a322ad743e3464bae56d2d9b180078a
31050e1a1dcb4c9899ba77be32449e54,ae54454684154c25bd33c6e04609652b,44,24,20,31050e1a1dcb4c9899ba77be32449e54->ae54454684154c25bd33c6e04609652b,0.5455,mixto,Bono electrónico y LME - Superintendencia de Seguridad Social,Sistema de Apelación Contra de Isapres - Subsecretaría de Salud Pública
38b3f29fe39b4e87b5f7982165de8cf1,9a76efc4c34e4bd7843206658dc45454,44,11,33,9a76efc4c34e4bd7843206658dc45454->38b3f29fe39b4e87b5f7982165de8cf1,0.75,mixto,Portal Servel - Servicio Electoral,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
6a322ad743e3464bae56d2d9b180078a,cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,44,25,19,6a322ad743e3464bae56d2d9b180078a->cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,0.5682,mixto,6a322ad743e3464bae56d2d9b180078a,Portal Usuario 2.0 - Subsecretaría de Justicia
d602a0071f3f4db8b37a87cffd89bf23,f15bd4421f604ffbae3d627bef601546,44,29,15,d602a0071f3f4db8b37a87cffd89bf23->f15bd4421f604ffbae3d627bef601546,0.6591,mixto,PJUD - PODER JUDICIAL,Transferencia de Archivos - Ministerio Público
16ffe077cc1a4b11a19bea91abce6f9c,2549b51828ce40af920a932dd2102217,44,22,22,16ffe077cc1a4b11a19bea91abce6f9c->2549b51828ce40af920a932dd2102217,0.5,mixto,SIMEF v5 - Subsecretaría de Justicia,undefined - Servicio de Impuestos Internos
91f3f86897ff4ae39e50cbd7035fa8af,dc821110e3f34bf3984d61955ced2e69,44,19,25,dc821110e3f34bf3984d61955ced2e69->91f3f86897ff4ae39e50cbd7035fa8af,0.5682,mixto,APIs Receta Electrónica - Subsecretaría de Salud Pública,Licencia de Conducir Digital - Subsecretaría de Transportes
1bb1657eb2eb43808f0529810258aa3b,94d27864f86d422faa68efccb908cc34,44,29,15,1bb1657eb2eb43808f0529810258aa3b->94d27864f86d422faa68efccb908cc34,0.6591,mixto,Autenticación Sistemas DPP - Defensoría Penal Pública,94d27864f86d422faa68efccb908cc34
6a322ad743e3464bae56d2d9b180078a,dc821110e3f34bf3984d61955ced2e69,44,26,18,6a322ad743e3464bae56d2d9b180078a->dc821110e3f34bf3984d61955ced2e69,0.5909,mixto,6a322ad743e3464bae56d2d9b180078a,Licencia de Conducir Digital - Subsecretaría de Transportes
88d08ee1a5384a7fbe4bfddb8928ce82,9c9359fefd164d388f8a5edc2bac301e,44,21,23,9c9359fefd164d388f8a5edc2bac301e->88d08ee1a5384a7fbe4bfddb8928ce82,0.5227,mixto,Sistema Midas - Subsecretaría de Salud Pública,Contraloría - Contraloría General de la República
123,31050e1a1dcb4c9899ba77be32449e54,44,34,10,123->31050e1a1dcb4c9899ba77be32449e54,0.7727,mixto,Registro Civil - SRCeI,Bono electrónico y LME - Superintendencia de Seguridad Social
08165f6182bc4dfc9dc1d7774508bbc6,645a4f092abd49f0820b8a5507e3dea0,44,40,4,08165f6182bc4dfc9dc1d7774508bbc6->645a4f092abd49f0820b8a5507e3dea0,0.9091,consistente,e-certchile - E-Cert Chile,Sistema Servicios en línea - Caja de Previsión de la Defensa Nacional
387ff07354a74657a44369e05d83234a,c82f84bf3f2b451393445a0cb6883665,44,26,18,387ff07354a74657a44369e05d83234a->c82f84bf3f2b451393445a0cb6883665,0.5909,mixto,Nuevo Sitio Web FONASA - Fondo Nacional de Salud,Ventanilla Única Social - Subsecretaría de Evaluación Social
0f33ab6447034fe49d1629353a119e47,b1b009877e0c4e0790fd92559d853d69,43,25,18,0f33ab6447034fe49d1629353a119e47->b1b009877e0c4e0790fd92559d853d69,0.5814,mixto,Superintendencia en Línea - Mi Portal - Superintendencia de Seguridad Social,Mi Súper - Superintendencia de Salud
18bec3e707784a978d9d89f2967f87de,38b3f29fe39b4e87b5f7982165de8cf1,43,17,26,38b3f29fe39b4e87b5f7982165de8cf1->18bec3e707784a978d9d89f2967f87de,0.6047,mixto,SERVEL- RENDICION - Servicio Electoral,Portal Servel - Servicio Electoral
0f33ab6447034fe49d1629353a119e47,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,43,27,16,0f33ab6447034fe49d1629353a119e47->eaf8f2b0ccd04cf2a7bfcf357fe88ca2,0.6279,mixto,Superintendencia en Línea - Mi Portal - Superintendencia de Seguridad Social,Empleos Públicos - Servicio Civil
ae4caa1cb2154cac89440f3fe18251cb,ae54454684154c25bd33c6e04609652b,43,16,27,ae54454684154c25bd33c6e04609652b->ae4caa1cb2154cac89440f3fe18251cb,0.6279,mixto,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial,Sistema de Apelación Contra de Isapres - Subsecretaría de Salud Pública
67339e06f4b44f78994ff4785178807a,b6a7ac98c6704aa6b6512efa5fa8dbfe,43,28,15,67339e06f4b44f78994ff4785178807a->b6a7ac98c6704aa6b6512efa5fa8dbfe,0.6512,mixto,Mercado+Público - Dirección de Compras y Contratación Pública,Corfo - Corporación de Fomento de la Producción
dcd0b6134a8846c1ac7171f8530945ab,fb3957569a8d49528c3571bcb4703f55,43,22,21,dcd0b6134a8846c1ac7171f8530945ab->fb3957569a8d49528c3571bcb4703f55,0.5116,mixto,Identidad Única - Ministerio de Vivienda y Urbanismo - Subsecretaría de Vivienda y Urbanismo,MINVU - Subsecretaría de Vivienda y Urbanismo
01b56ab5b9be43e19fa06300994787ec,6daae6995cb245348bb2b5432ccc9948,43,29,14,01b56ab5b9be43e19fa06300994787ec->6daae6995cb245348bb2b5432ccc9948,0.6744,mixto,Bitácora Web - Ministerio Público,DIRECTEMAR - Dirección General del Territorio Marítimo y Marina Mercante
4a94478dd25f4430a0a023b87e11170d,ee00832abfba40b38335ce48a12981b5,43,29,14,4a94478dd25f4430a0a023b87e11170d->ee00832abfba40b38335ce48a12981b5,0.6744,mixto,Milicenciamedica.cl - Subsecretaría de Salud Pública,Autenticacion Nube  Privada - Servicio de Impuestos Internos
123,64b50202d6b74bfcb78c7342823e0f4f,43,14,29,64b50202d6b74bfcb78c7342823e0f4f->123,0.6744,mixto,Registro Civil - SRCeI,Cesantía - Comisión Administradora de Sistema de Créditos para Estudios Superiores
64d9be8046574fbfbc1fb14c9912afea,b972e814004e4624a566f308901cca7c,43,14,29,b972e814004e4624a566f308901cca7c->64d9be8046574fbfbc1fb14c9912afea,0.6744,mixto,ASDigital - Ministerio de salud,DocDigital Versión 3 - Subsecretaría General de la Presidencia de la República
9c9359fefd164d388f8a5edc2bac301e,ae4caa1cb2154cac89440f3fe18251cb,43,20,23,ae4caa1cb2154cac89440f3fe18251cb->9c9359fefd164d388f8a5edc2bac301e,0.5349,mixto,Contraloría - Contraloría General de la República,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
