servicio_origen,servicio_destino,soporte_direccion_dominante,clasificacion_orden,frac_lag_menor_5min,frac_lag_mismo_dia_menor_60min,lag_min_p25,lag_min_mediana,lag_min_p75,lag_min_p95
1ad6835586034de0b29f4a402b182c6c,ae4caa1cb2154cac89440f3fe18251cb,1022,mixto,0.1008,0.589,9.0,29.5,121.75,761.75
9a76efc4c34e4bd7843206658dc45454,4a94478dd25f4430a0a023b87e11170d,1003,mixto,0.4128,0.7836,2.0,7.0,38.0,541.8
01b56ab5b9be43e19fa06300994787ec,ae4caa1cb2154cac89440f3fe18251cb,998,mixto,0.0521,0.3327,33.0,128.0,296.0,618.75
d602a0071f3f4db8b37a87cffd89bf23,6a322ad743e3464bae56d2d9b180078a,983,mixto,0.1394,0.4313,12.0,105.0,513.5,1015.7
d602a0071f3f4db8b37a87cffd89bf23,67339e06f4b44f78994ff4785178807a,979,mixto,0.0409,0.1961,86.0,243.0,432.0,949.0
9a76efc4c34e4bd7843206658dc45454,ae4caa1cb2154cac89440f3fe18251cb,978,mixto,0.2618,0.7515,4.0,12.0,59.0,623.3
9a76efc4c34e4bd7843206658dc45454,d602a0071f3f4db8b37a87cffd89bf23,968,mixto,0.3068,0.6684,3.0,17.0,132.25,852.3
f883bd6d70b043a09837e8b888fe3f65,08165f6182bc4dfc9dc1d7774508bbc6,948,mixto,0.1688,0.7004,7.0,27.0,84.0,540.65
67339e06f4b44f78994ff4785178807a,67eb30db49f240b08ab2b3f422f92cdf,947,mixto,0.0127,0.226,66.0,166.0,358.5,822.0
0f33ab6447034fe49d1629353a119e47,2549b51828ce40af920a932dd2102217,944,mixto,0.6017,0.7426,0.0,1.0,69.0,379.7
4a94478dd25f4430a0a023b87e11170d,d602a0071f3f4db8b37a87cffd89bf23,938,mixto,0.0896,0.2804,39.5,222.5,552.75,1061.45
4a94478dd25f4430a0a023b87e11170d,e8dde9d26979498786c6ba5a82f70ad3,928,mixto,0.0884,0.4084,17.0,130.0,484.5,1033.55
123,67eb30db49f240b08ab2b3f422f92cdf,920,mixto,0.0359,0.3217,45.0,133.5,391.75,990.35
d602a0071f3f4db8b37a87cffd89bf23,e8dde9d26979498786c6ba5a82f70ad3,918,mixto,0.073,0.2941,43.25,230.5,565.0,1022.0
b992e6a27eb249658efce6ca0cc286dc,6daae6995cb245348bb2b5432ccc9948,908,mixto,0.0341,0.1817,99.0,287.0,526.75,1003.9
9a76efc4c34e4bd7843206658dc45454,4830b97416a14d1485ccb85c9f9baa4e,907,mixto,0.7718,0.914,0.0,1.0,4.0,209.0
9a76efc4c34e4bd7843206658dc45454,08165f6182bc4dfc9dc1d7774508bbc6,895,mixto,0.2212,0.7408,5.0,15.0,63.5,541.0
6a322ad743e3464bae56d2d9b180078a,2549b51828ce40af920a932dd2102217,893,mixto,0.1691,0.6025,8.0,30.0,173.0,739.2
d602a0071f3f4db8b37a87cffd89bf23,fba5ab8c38d3426492c31c99ad569bdb,877,mixto,0.0103,0.1425,133.0,368.0,529.0,732.0
d602a0071f3f4db8b37a87cffd89bf23,94d27864f86d422faa68efccb908cc34,869,mixto,0.0138,0.1496,114.0,344.0,582.0,951.0
ae4caa1cb2154cac89440f3fe18251cb,cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,866,mixto,0.1386,0.6328,8.0,30.0,169.75,1025.0
0f33ab6447034fe49d1629353a119e47,4830b97416a14d1485ccb85c9f9baa4e,848,mixto,0.7736,0.8927,0.0,1.0,4.0,259.0
ffaec74bfd414f8394bab077a989e27f,d602a0071f3f4db8b37a87cffd89bf23,814,mixto,0.1278,0.3538,21.0,168.0,566.25,1113.35
9a76efc4c34e4bd7843206658dc45454,6a322ad743e3464bae56d2d9b180078a,797,mixto,0.3425,0.7591,3.0,8.0,50.0,682.4
e8dde9d26979498786c6ba5a82f70ad3,123,785,mixto,0.0318,0.3592,32.0,128.0,533.0,1037.8
f883bd6d70b043a09837e8b888fe3f65,123,784,mixto,0.0191,0.2143,69.0,168.0,298.0,497.55
123,dc821110e3f34bf3984d61955ced2e69,771,mixto,0.1323,0.3722,15.0,149.0,395.5,968.5
c5b83bbfa22c4c31a5743485b4c6e524,e8dde9d26979498786c6ba5a82f70ad3,741,mixto,0.2807,0.6113,4.0,21.0,224.0,893.0
ae54454684154c25bd33c6e04609652b,4a94478dd25f4430a0a023b87e11170d,731,mixto,0.3379,0.6977,3.0,14.0,144.0,685.5
495c261c0f484bd08e232f7358452c4d,6a322ad743e3464bae56d2d9b180078a,730,mixto,0.3836,0.7753,3.0,8.0,38.5,565.45
dd7629fec91f4599b3cf8c0dd0b984ac,e8dde9d26979498786c6ba5a82f70ad3,689,mixto,0.1306,0.6009,8.0,28.0,156.0,861.0
f883bd6d70b043a09837e8b888fe3f65,67eb30db49f240b08ab2b3f422f92cdf,687,mixto,0.0131,0.147,95.0,193.0,328.0,584.4
