servicio_origen,servicio_destino,soporte_direccion_dominante,clasificacion_orden,frac_lag_menor_5min,frac_lag_mismo_dia_menor_60min,lag_min_p25,lag_min_mediana,lag_min_p75,lag_min_p95
64d9be8046574fbfbc1fb14c9912afea,209ce526160947f0b398566cd4cbfd0d,32,mixto,0.0,0.1875,90.75,183.0,335.0,970.95
2e0f9d54f6534336a19fffacd7b6af40,2549b51828ce40af920a932dd2102217,32,mixto,0.0312,0.4062,23.0,70.5,290.75,735.65
d5dac98442bb425ba884809990aa064d,d602a0071f3f4db8b37a87cffd89bf23,32,mixto,0.0625,0.1875,104.75,201.5,350.75,597.8
6f7b8ef5a7204c4b92d0ca778317d790,b972e814004e4624a566f308901cca7c,32,mixto,0.0,0.1875,86.0,231.5,444.5,554.85
67eb30db49f240b08ab2b3f422f92cdf,74e60dc3bc26493d81088e4d322b7c39,32,mixto,0.0,0.0938,91.25,158.0,499.5,1239.75
209ce526160947f0b398566cd4cbfd0d,6daae6995cb245348bb2b5432ccc9948,32,mixto,0.0938,0.1562,134.0,247.5,428.25,1254.2
79bvfghg9a0a8tm25d16sddg7d61d4710,ffaec74bfd414f8394bab077a989e27f,32,mixto,0.0312,0.3438,23.75,100.0,348.5,600.0
b785d3ec935248ff8a8fd358f7765463,d602a0071f3f4db8b37a87cffd89bf23,32,mixto,0.0,0.2188,78.75,231.5,409.25,587.45
67eb30db49f240b08ab2b3f422f92cdf,cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,32,mixto,0.0,0.4062,44.75,87.5,142.0,417.45
d44f2fafe10b4397ac7557cd13747bd2,dc821110e3f34bf3984d61955ced2e69,32,mixto,0.0312,0.4375,14.5,252.0,650.25,1020.9
9c9359fefd164d388f8a5edc2bac301e,a6c839544c0440f5bf2ce98e7396613f,32,mixto,0.0,0.2188,61.0,220.5,282.0,612.85
dd7629fec91f4599b3cf8c0dd0b984ac,f883bd6d70b043a09837e8b888fe3f65,31,mixto,0.0,0.3226,41.0,149.0,440.5,877.0
347178b052294153af290d6a84589868,b972e814004e4624a566f308901cca7c,31,mixto,0.0,0.0645,86.0,127.0,212.0,733.5
4a94478dd25f4430a0a023b87e11170d,4830b97416a14d1485ccb85c9f9baa4e,31,mixto,0.0,0.1613,270.0,501.0,824.0,1023.0
b972e814004e4624a566f308901cca7c,c82f84bf3f2b451393445a0cb6883665,31,mixto,0.0,0.1613,117.0,218.0,400.0,514.0
4a94478dd25f4430a0a023b87e11170d,02f0f8beb94542deac503efd6a774262,31,mixto,0.0,0.1935,192.0,392.0,857.0,1042.5
41da80f6154c4d918166fc43862f5d78,123,31,mixto,0.0323,0.3871,28.5,98.0,187.0,624.5
ae412e532f1a48428bd0c5ad1f02f816,bca102f277434b31b59e4894d9eb5ef8,31,mixto,0.0,0.129,92.5,176.0,264.5,343.0
dd7629fec91f4599b3cf8c0dd0b984ac,64d9be8046574fbfbc1fb14c9912afea,31,mixto,0.0,0.129,209.5,364.0,390.5,640.5
26ce850e25c04398a2da12f4478e7597,123,31,mixto,0.0968,0.9677,15.0,24.0,38.0,49.5
0f33ab6447034fe49d1629353a119e47,495c261c0f484bd08e232f7358452c4d,31,mixto,0.0,0.2903,40.0,158.0,260.0,552.5
2549b51828ce40af920a932dd2102217,645a4f092abd49f0820b8a5507e3dea0,31,mixto,0.129,0.3871,29.5,133.0,197.5,230.0
91ec6f001c14494a87463fca5adc2bb0,123,31,mixto,0.0,0.7419,11.0,17.0,52.5,191.5
b125b71f0bca4b1a8bf41976b744becb,9c9359fefd164d388f8a5edc2bac301e,30,mixto,0.2333,0.7,5.75,15.0,63.0,463.0
ae54454684154c25bd33c6e04609652b,c82f84bf3f2b451393445a0cb6883665,30,mixto,0.1,0.3,46.25,214.5,826.75,1059.0
4a94478dd25f4430a0a023b87e11170d,79bvfghg9a0a8tm25d16sddg7d61d4710,30,mixto,0.0,0.2667,60.0,208.0,287.75,601.2
d602a0071f3f4db8b37a87cffd89bf23,4461c788433345b8a4a296b35aa9499d,30,mixto,0.0667,0.1,146.25,214.0,622.0,806.5
6daae6995cb245348bb2b5432ccc9948,0b145fb41bc84dc58a5beb5b4ef11b17,30,mixto,0.0,0.1667,76.25,246.5,480.0,708.9
fd595f24910c4126b7398b3e081af528,123,30,mixto,0.1667,0.4333,17.25,77.0,698.75,1273.2
dc821110e3f34bf3984d61955ced2e69,347178b052294153af290d6a84589868,30,mixto,0.0,0.0333,350.0,350.0,390.25,778.15
dd7629fec91f4599b3cf8c0dd0b984ac,2e0f9d54f6534336a19fffacd7b6af40,30,mixto,0.0333,0.8333,11.25,20.0,42.25,326.85
64d9be8046574fbfbc1fb14c9912afea,ae4caa1cb2154cac89440f3fe18251cb,30,mixto,0.0333,0.1667,94.0,134.0,342.5,741.55
d602a0071f3f4db8b37a87cffd89bf23,4060f34dc33042fda53efdfd0594b679,30,mixto,0.0,0.1667,120.75,235.5,650.0,1198.5
f883bd6d70b043a09837e8b888fe3f65,2629fabfb8e7428bb34e3d4f43ffdc9b,30,mixto,0.0,0.7667,15.0,38.5,56.0,222.85
68244c73eb7a429a9c70a3dbf247293f,c5b83bbfa22c4c31a5743485b4c6e524,30,mixto,0.4,0.6333,1.0,14.0,156.5,244.65
dd7629fec91f4599b3cf8c0dd0b984ac,4830b97416a14d1485ccb85c9f9baa4e,30,mixto,0.0333,0.5333,28.25,47.0,215.75,422.65
ae54454684154c25bd33c6e04609652b,ffaec74bfd414f8394bab077a989e27f,30,mixto,0.2,0.4,25.25,95.0,311.0,629.1
d602a0071f3f4db8b37a87cffd89bf23,6f7b8ef5a7204c4b92d0ca778317d790,30,mixto,0.0333,0.1,100.0,275.0,378.5,856.65
0335e32e61b248ae8ab98cb955f915dd,a3d2f5bccc104cf6bdd3817c86236b0e,30,mixto,0.0333,0.1333,69.5,199.0,347.5,365.2
387ff07354a74657a44369e05d83234a,e8dde9d26979498786c6ba5a82f70ad3,30,mixto,0.0,0.1667,103.75,125.5,186.0,215.55
64b50202d6b74bfcb78c7342823e0f4f,e10304f95c2b40738695563eb9b8662c,30,mixto,0.4,0.7667,2.25,6.0,38.0,843.7
67339e06f4b44f78994ff4785178807a,9b8e5105e75b4d77a3e416729122b83a,30,mixto,0.0,0.1333,129.25,188.0,271.5,679.8
fcba6a53824845da9d6330719f43a430,b972e814004e4624a566f308901cca7c,30,mixto,0.0,0.1,105.5,272.0,412.75,626.05
9a76efc4c34e4bd7843206658dc45454,3af2d18b09e6443fa289e956fc10669f,29,mixto,0.6897,0.931,1.0,2.0,10.0,281.8
6daae6995cb245348bb2b5432ccc9948,f883bd6d70b043a09837e8b888fe3f65,29,mixto,0.0,0.1034,293.0,299.0,941.0,1012.6
c52ceac3693c4644bb20f07dd8aa7103,d602a0071f3f4db8b37a87cffd89bf23,29,mixto,0.0,0.069,123.0,133.0,239.0,460.4
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,38b3f29fe39b4e87b5f7982165de8cf1,29,mixto,0.0,0.5172,25.0,59.0,162.0,922.4
ae4caa1cb2154cac89440f3fe18251cb,645a4f092abd49f0820b8a5507e3dea0,29,mixto,0.1379,0.9655,8.0,13.0,16.0,32.0
4a94478dd25f4430a0a023b87e11170d,ee00832abfba40b38335ce48a12981b5,29,mixto,0.0345,0.1724,213.0,840.0,853.0,876.6
64b50202d6b74bfcb78c7342823e0f4f,123,29,mixto,0.069,0.7931,11.0,25.0,47.0,111.8
01b56ab5b9be43e19fa06300994787ec,6daae6995cb245348bb2b5432ccc9948,29,mixto,0.0,0.0345,177.0,316.0,365.0,464.4
c7d9f088b4be4e38924fcfa78a6b5496,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,29,mixto,0.1034,0.3793,36.0,142.0,335.0,483.0
2ae2ca1a377048a58815f54a432f8a21,91f3f86897ff4ae39e50cbd7035fa8af,29,mixto,0.069,0.4828,11.0,77.0,650.0,1173.2
d602a0071f3f4db8b37a87cffd89bf23,52449c34bb1e47fe81802bf322dae8ee,29,mixto,0.0345,0.4138,30.0,108.0,200.0,872.2
d44f2fafe10b4397ac7557cd13747bd2,123,29,mixto,0.1379,0.5517,11.0,19.0,513.0,1089.6
3346db58cd2d474fbcf63e827462b85d,c63d7e67e1f8454386089193582563ea,29,mixto,0.0345,0.5862,27.0,50.0,158.0,338.6
ae4caa1cb2154cac89440f3fe18251cb,dc821110e3f34bf3984d61955ced2e69,29,mixto,0.0,0.1379,110.0,207.0,763.0,1083.0
9ae54d261e454c93ae1c2cdec0fd03e6,387ff07354a74657a44369e05d83234a,29,mixto,0.1379,0.5172,19.0,37.0,170.0,863.6
67339e06f4b44f78994ff4785178807a,0f33ab6447034fe49d1629353a119e47,29,mixto,0.0,0.2414,60.0,159.0,349.0,421.0
1bb1657eb2eb43808f0529810258aa3b,94d27864f86d422faa68efccb908cc34,29,mixto,0.0,0.1034,110.0,218.0,408.0,533.8
b972e814004e4624a566f308901cca7c,64d9be8046574fbfbc1fb14c9912afea,29,mixto,0.0,0.4138,37.0,109.0,151.0,407.0
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,86144f0d3b814c1d8c013f7aade6c55d,29,mixto,0.0,0.0345,147.0,225.0,298.0,1094.6
86144f0d3b814c1d8c013f7aade6c55d,c2f8201a4d224d81babdcea072e5cec4,29,mixto,0.069,0.6207,24.0,35.0,107.0,423.2
ae54454684154c25bd33c6e04609652b,b1b009877e0c4e0790fd92559d853d69,29,mixto,0.069,0.2759,57.0,173.0,467.0,900.0
79bvfghg9a0a8tm25d16sddg7d61d4710,ee00832abfba40b38335ce48a12981b5,29,mixto,0.1034,0.6897,11.0,29.0,66.0,149.8
d602a0071f3f4db8b37a87cffd89bf23,f15bd4421f604ffbae3d627bef601546,29,mixto,0.0345,0.3793,39.0,123.0,213.0,729.0
67339e06f4b44f78994ff4785178807a,b6a7ac98c6704aa6b6512efa5fa8dbfe,28,mixto,0.0,0.1429,103.25,263.5,462.25,950.65
9c9359fefd164d388f8a5edc2bac301e,b3eb39eeec084dcd92806f5f6081e175,28,mixto,0.0,0.2143,89.5,188.0,322.0,442.25
c5b83bbfa22c4c31a5743485b4c6e524,67339e06f4b44f78994ff4785178807a,28,mixto,0.0,0.1786,96.75,302.5,551.25,759.0
c82f84bf3f2b451393445a0cb6883665,645a4f092abd49f0820b8a5507e3dea0,28,mixto,0.1429,0.5714,17.5,25.0,692.0,975.75
645a4f092abd49f0820b8a5507e3dea0,e8dde9d26979498786c6ba5a82f70ad3,28,mixto,0.0357,0.1786,132.75,188.5,204.25,316.65
d602a0071f3f4db8b37a87cffd89bf23,d0b1e3a4c2434e65be47566dcc3e2ee0,28,mixto,0.0,0.3571,35.0,137.0,590.0,1268.0
91f3f86897ff4ae39e50cbd7035fa8af,86144f0d3b814c1d8c013f7aade6c55d,28,mixto,0.0,0.1429,139.25,182.5,380.25,612.0
123,8af63e063a2a42098caed55eeb24acf0,28,mixto,0.0714,0.3929,20.25,64.5,77.25,296.8
ffaec74bfd414f8394bab077a989e27f,86144f0d3b814c1d8c013f7aade6c55d,28,mixto,0.0,0.0357,222.0,423.5,850.0,885.5
c82f84bf3f2b451393445a0cb6883665,7f2c2c35a2de4624ad938147f73f271a,28,mixto,0.0,0.3571,14.0,129.0,429.75,968.05
ab2dd6e0890c4b5483973add6fa1b91b,209ce526160947f0b398566cd4cbfd0d,28,mixto,0.0714,0.3214,33.75,247.5,378.25,1159.15
1eec93924a1046efbad70c851782ab8a,67339e06f4b44f78994ff4785178807a,28,mixto,0.0,0.3214,46.25,129.0,468.5,763.75
d74a389b77734996ba37fa61a0d08341,67339e06f4b44f78994ff4785178807a,28,mixto,0.0,0.0,809.5,971.0,1145.0,1302.0
3346db58cd2d474fbcf63e827462b85d,780fb7c030e043f7bd9f40ca4ab06bd4,27,mixto,0.037,0.4444,33.0,83.0,104.0,207.0
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,27,mixto,0.0,0.2222,70.0,304.0,566.5,650.7
347178b052294153af290d6a84589868,2ff516ac74a44ebfa3a522adbde28a0f,27,mixto,0.0,0.0741,102.0,197.0,439.0,550.7
209ce526160947f0b398566cd4cbfd0d,08165f6182bc4dfc9dc1d7774508bbc6,27,mixto,0.0,0.2593,53.5,184.0,244.5,430.5
645a4f092abd49f0820b8a5507e3dea0,a7709b21161d459298dc5dc58e77310b,27,mixto,0.2222,0.4444,6.0,972.0,974.5,976.0
b992e6a27eb249658efce6ca0cc286dc,3468d450481e44aaaf10e7c9b43ed7c7,27,mixto,0.0,0.0,433.0,647.0,893.0,1087.0
eb838855f2344f65a4c925df80cdcad5,818d938a32ad4dc19cfd13f6575ddc5a,27,mixto,0.3704,0.7778,2.0,6.0,54.0,216.4
79bvfghg9a0a8tm25d16sddg7d61d4710,6a322ad743e3464bae56d2d9b180078a,27,mixto,0.0741,0.4444,37.0,349.0,903.0,1318.0
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,6d52b87b5a964c61ad7e28afd9499f18,27,mixto,0.0,0.3333,49.0,158.0,265.0,375.7
c82f84bf3f2b451393445a0cb6883665,74e60dc3bc26493d81088e4d322b7c39,27,mixto,0.0,0.4444,32.5,185.0,321.0,859.9
2549b51828ce40af920a932dd2102217,18bec3e707784a978d9d89f2967f87de,27,mixto,0.0,0.2963,41.5,146.0,212.5,394.6
ae412e532f1a48428bd0c5ad1f02f816,c52ceac3693c4644bb20f07dd8aa7103,27,mixto,0.037,0.2222,74.5,186.0,337.0,422.0
ae4caa1cb2154cac89440f3fe18251cb,3346db58cd2d474fbcf63e827462b85d,27,mixto,0.0,0.037,127.5,203.0,378.0,777.0
dfd423dde87b47d382b736a15a36ac68,d602a0071f3f4db8b37a87cffd89bf23,27,mixto,0.037,0.1852,98.0,258.0,514.5,1055.8
86144f0d3b814c1d8c013f7aade6c55d,dd7629fec91f4599b3cf8c0dd0b984ac,27,mixto,0.0,0.1111,76.0,180.0,249.5,491.7
c7d9f088b4be4e38924fcfa78a6b5496,5235b9f356954973a226cb6fc12c9d6e,27,mixto,0.0,0.3704,50.0,136.0,351.0,459.8
ae54454684154c25bd33c6e04609652b,ae4caa1cb2154cac89440f3fe18251cb,27,mixto,0.1481,0.2963,35.0,288.0,368.5,490.8
0f33ab6447034fe49d1629353a119e47,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,27,mixto,0.0,0.1481,104.5,175.0,280.5,525.3
4a94478dd25f4430a0a023b87e11170d,2ff516ac74a44ebfa3a522adbde28a0f,27,mixto,0.0,0.0741,182.5,564.0,870.5,1343.1
88d08ee1a5384a7fbe4bfddb8928ce82,309b72a99d154079a6ab5d23444fd7dd,27,mixto,0.4444,0.7407,1.0,5.0,87.0,363.8
4a94478dd25f4430a0a023b87e11170d,b972e814004e4624a566f308901cca7c,27,mixto,0.0,0.1852,100.5,151.0,221.0,649.3
91f3f86897ff4ae39e50cbd7035fa8af,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,27,mixto,0.037,0.3704,32.0,219.0,439.0,922.8
14cc5dc0682d44fe99d2d91e1eaafac7,006b85a984e94ce88ddb035ec01b2d70,27,mixto,0.037,0.1852,103.5,248.0,376.0,525.1
5235b9f356954973a226cb6fc12c9d6e,2ff516ac74a44ebfa3a522adbde28a0f,27,consistente,0.0,0.0,144.5,206.0,327.5,420.5
38b3f29fe39b4e87b5f7982165de8cf1,c82f84bf3f2b451393445a0cb6883665,27,mixto,0.0,0.2593,58.5,201.0,641.0,1043.5
e8dde9d26979498786c6ba5a82f70ad3,52449c34bb1e47fe81802bf322dae8ee,27,mixto,0.037,0.4815,22.0,77.0,444.0,1048.7
888fb026b62d4a75920fe44a0af43ad4,123,27,mixto,0.037,0.7778,8.0,17.0,52.5,1004.8
123,e5b8388e1275417395d526c566b0e1e8,27,mixto,0.0,0.8519,17.5,33.0,41.5,82.4
dc821110e3f34bf3984d61955ced2e69,67eb30db49f240b08ab2b3f422f92cdf,26,mixto,0.0769,0.1923,163.75,472.5,623.0,1102.5
123,3e2a4d42827d43d0b90248199e58e98e,26,mixto,0.0385,0.6923,22.5,32.0,226.0,471.25
c6f7ed5bd4954356b00aac92c9fff41a,b972e814004e4624a566f308901cca7c,26,mixto,0.0,0.1538,104.25,246.5,357.5,446.25
4f22549f9d3a443cb041c0e55395dbf1,d602a0071f3f4db8b37a87cffd89bf23,26,mixto,0.0,0.0769,222.5,437.0,851.75,1063.75
c82f84bf3f2b451393445a0cb6883665,31050e1a1dcb4c9899ba77be32449e54,26,mixto,0.0385,0.3462,50.5,117.5,301.0,588.5
d602a0071f3f4db8b37a87cffd89bf23,9f3c39663dac4e6791811016adc217da,26,consistente,0.0,0.0,784.0,821.0,877.0,882.0
0f09709c70c441b59a6fe616f84a5302,44db06efed134a91bffa7407f60d7979,26,mixto,0.0,0.5769,21.5,28.0,146.25,175.25
347178b052294153af290d6a84589868,dd7629fec91f4599b3cf8c0dd0b984ac,26,mixto,0.0,0.2692,48.0,322.0,730.0,992.75
38b3f29fe39b4e87b5f7982165de8cf1,e8dde9d26979498786c6ba5a82f70ad3,26,mixto,0.1154,0.2692,56.25,157.0,361.25,514.5
9ad41e803fff463bac913cedefca7796,2549b51828ce40af920a932dd2102217,26,mixto,0.0,0.1154,119.0,153.5,213.5,299.5
38b3f29fe39b4e87b5f7982165de8cf1,18bec3e707784a978d9d89f2967f87de,26,mixto,0.0385,0.2308,68.0,167.0,350.75,415.75
b972e814004e4624a566f308901cca7c,5ad019e5f0e445e8b37fc4ed60a3447c,26,mixto,0.0,0.0385,123.0,168.0,525.5,580.25
387ff07354a74657a44369e05d83234a,c82f84bf3f2b451393445a0cb6883665,26,mixto,0.0,0.4231,21.5,70.0,271.0,908.5
ae4caa1cb2154cac89440f3fe18251cb,ef1dd1f1a5b94d0eacb669f7b3ec2911,26,mixto,0.0,0.2308,80.5,151.5,475.5,684.5
ffaec74bfd414f8394bab077a989e27f,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,26,mixto,0.0,0.1923,75.75,158.5,258.5,1113.25
0f33ab6447034fe49d1629353a119e47,08165f6182bc4dfc9dc1d7774508bbc6,26,mixto,0.0,0.6154,14.5,48.0,465.0,626.75
495c261c0f484bd08e232f7358452c4d,ee00832abfba40b38335ce48a12981b5,26,mixto,0.0385,0.1923,86.5,181.5,379.5,710.0
209ce526160947f0b398566cd4cbfd0d,2ff516ac74a44ebfa3a522adbde28a0f,26,mixto,0.0,0.1154,106.5,258.0,447.25,633.75
74e60dc3bc26493d81088e4d322b7c39,91f3f86897ff4ae39e50cbd7035fa8af,26,mixto,0.0,0.0769,153.25,300.5,318.75,817.25
209ce526160947f0b398566cd4cbfd0d,1ad6835586034de0b29f4a402b182c6c,26,mixto,0.0769,0.1923,82.5,265.0,538.75,1125.5
9ae54d261e454c93ae1c2cdec0fd03e6,6e12533e73a048efa8bcc0a30f2b7684,26,mixto,0.1923,0.7692,6.0,15.0,33.0,807.0
fea91b9f08cc4f54a295711a70734a22,ee1016d1de3347b79368186e86dfc2c2,26,mixto,0.1923,0.3846,11.0,135.0,289.75,369.5
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,4a9c2f22f9d047569a0ceafcb9741033,26,consistente,0.0,0.1538,101.75,289.5,499.75,1213.75
228ce6ed11d14e84ac2ae00cb5639515,9c9359fefd164d388f8a5edc2bac301e,26,consistente,0.0,0.1538,65.5,137.5,709.5,881.75
6a322ad743e3464bae56d2d9b180078a,dc821110e3f34bf3984d61955ced2e69,26,mixto,0.0385,0.1538,121.0,206.5,730.75,1187.5
ef1dd1f1a5b94d0eacb669f7b3ec2911,209ce526160947f0b398566cd4cbfd0d,26,mixto,0.0,0.3462,44.0,145.5,474.5,1115.75
ed07316d9d6344a9ab11e8a41fdc413a,b972e814004e4624a566f308901cca7c,26,consistente,0.0,0.0,139.25,205.5,400.75,454.75
9c9359fefd164d388f8a5edc2bac301e,209ce526160947f0b398566cd4cbfd0d,26,mixto,0.0,0.2692,61.0,207.0,339.5,413.0
4060f34dc33042fda53efdfd0594b679,b972e814004e4624a566f308901cca7c,26,mixto,0.0,0.1538,100.5,208.5,311.75,405.5
c82f84bf3f2b451393445a0cb6883665,3af2d18b09e6443fa289e956fc10669f,25,mixto,0.08,0.28,52.0,338.0,650.0,1135.6
123,5235b9f356954973a226cb6fc12c9d6e,25,mixto,0.0,0.2,96.0,225.0,335.0,1148.8
d602a0071f3f4db8b37a87cffd89bf23,f83678e2b4854792a356c72a255c0da4,25,consistente,0.0,0.04,325.0,719.0,1015.0,1303.0
3346db58cd2d474fbcf63e827462b85d,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,25,mixto,0.0,0.24,61.0,154.0,256.0,465.4
2549b51828ce40af920a932dd2102217,e5b8388e1275417395d526c566b0e1e8,25,mixto,0.08,0.56,18.0,24.0,895.0,955.8
94d27864f86d422faa68efccb908cc34,08165f6182bc4dfc9dc1d7774508bbc6,25,mixto,0.0,0.48,32.0,65.0,188.0,788.0
dd7629fec91f4599b3cf8c0dd0b984ac,a647689891b84948871ff7099253a553,25,mixto,0.0,0.16,86.0,490.0,720.0,846.0
fd595f24910c4126b7398b3e081af528,2549b51828ce40af920a932dd2102217,25,mixto,0.04,0.44,21.0,68.0,1009.0,1026.0
1bb1657eb2eb43808f0529810258aa3b,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,25,mixto,0.0,0.04,187.0,228.0,370.0,884.6
6a322ad743e3464bae56d2d9b180078a,cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,25,mixto,0.0,0.24,93.0,249.0,398.0,760.8
d8420be9114342368d9bc32882809746,91f3f86897ff4ae39e50cbd7035fa8af,25,mixto,0.0,0.04,176.0,266.0,410.0,633.2
56da1c80cfea4a5b83326bfef271fc3e,6a322ad743e3464bae56d2d9b180078a,25,mixto,0.04,0.24,63.0,115.0,228.0,342.2
67eb30db49f240b08ab2b3f422f92cdf,2ae2ca1a377048a58815f54a432f8a21,25,mixto,0.12,0.24,91.0,209.0,458.0,1125.2
6d52b87b5a964c61ad7e28afd9499f18,347178b052294153af290d6a84589868,25,mixto,0.04,0.08,101.0,161.0,233.0,501.2
495c261c0f484bd08e232f7358452c4d,638aea308ffb483198d5c1387e2cc017,25,mixto,0.0,0.2,123.0,174.0,201.0,766.2
74e60dc3bc26493d81088e4d322b7c39,4830b97416a14d1485ccb85c9f9baa4e,25,mixto,0.0,0.96,11.0,18.0,21.0,23.0
dd7629fec91f4599b3cf8c0dd0b984ac,fb944d98fea445bda57de000993d3e25,25,mixto,0.0,0.16,104.0,175.0,317.0,902.0
0f33ab6447034fe49d1629353a119e47,b1b009877e0c4e0790fd92559d853d69,25,mixto,0.0,0.4,35.0,218.0,915.0,984.4
dc821110e3f34bf3984d61955ced2e69,91f3f86897ff4ae39e50cbd7035fa8af,25,mixto,0.0,0.08,166.0,506.0,980.0,1221.8
67eb30db49f240b08ab2b3f422f92cdf,4bb573e349504824b5b5a050a83e094d,25,mixto,0.0,0.04,144.0,282.0,572.0,1191.8
4a94478dd25f4430a0a023b87e11170d,ef1dd1f1a5b94d0eacb669f7b3ec2911,25,mixto,0.04,0.08,391.0,854.0,1253.0,1274.8
ed07316d9d6344a9ab11e8a41fdc413a,780fb7c030e043f7bd9f40ca4ab06bd4,24,consistente,0.0,0.125,102.75,152.0,223.5,231.0
123,56da1c80cfea4a5b83326bfef271fc3e,24,mixto,0.0,0.125,186.25,256.5,336.5,807.35
86144f0d3b814c1d8c013f7aade6c55d,209ce526160947f0b398566cd4cbfd0d,24,mixto,0.0,0.2083,101.0,293.0,629.5,1158.45
e5b8388e1275417395d526c566b0e1e8,94d27864f86d422faa68efccb908cc34,24,mixto,0.0417,0.5,32.75,63.5,138.5,259.75
b9e3f79c40594953af24e9a43eba4e0c,2ff516ac74a44ebfa3a522adbde28a0f,24,mixto,0.0833,0.625,14.0,25.0,314.75,522.2
c82f84bf3f2b451393445a0cb6883665,9c9359fefd164d388f8a5edc2bac301e,24,mixto,0.0,0.2083,94.25,222.0,374.5,861.0
0b145fb41bc84dc58a5beb5b4ef11b17,a4db025d032f42578306d5461abdda40,24,mixto,0.2917,0.6667,3.0,17.0,162.5,709.25
2ae2ca1a377048a58815f54a432f8a21,035b14f7f84242ef8ca0e78b0352777d,24,consistente,0.2917,1.0,4.0,11.5,14.0,23.65
dc821110e3f34bf3984d61955ced2e69,ae54454684154c25bd33c6e04609652b,24,mixto,0.125,0.2083,97.5,269.5,522.25,874.7
d254feea701346a399887b9fe59ac61a,95b7bf6083634811b6ec1552e2ed5fad,24,mixto,0.0417,0.2083,73.5,202.0,262.0,424.15
31050e1a1dcb4c9899ba77be32449e54,ae54454684154c25bd33c6e04609652b,24,mixto,0.0417,0.125,98.25,123.0,417.25,1182.15
9a76efc4c34e4bd7843206658dc45454,6743ad379b094f98ad903d0f0304add1,24,mixto,0.125,0.5417,9.75,39.5,401.25,733.7
fb3957569a8d49528c3571bcb4703f55,6a322ad743e3464bae56d2d9b180078a,24,mixto,0.0833,0.5,29.75,63.0,176.0,516.85
dc821110e3f34bf3984d61955ced2e69,209ce526160947f0b398566cd4cbfd0d,24,mixto,0.0417,0.2917,58.5,156.0,396.75,973.0
006b85a984e94ce88ddb035ec01b2d70,88d08ee1a5384a7fbe4bfddb8928ce82,24,mixto,0.125,0.3333,52.25,148.5,309.0,417.65
e423b8339a57485d8b524937d93e4f44,ae4caa1cb2154cac89440f3fe18251cb,24,mixto,0.2083,0.8333,7.5,30.0,54.0,95.85
123,fdd7e5cf453e42d7b8cb2334d3a7bff9,24,mixto,0.1667,0.4167,13.75,126.5,530.75,1112.55
52449c34bb1e47fe81802bf322dae8ee,c82f84bf3f2b451393445a0cb6883665,24,mixto,0.0833,0.5,13.75,51.5,316.0,834.55
b4206ac5e3224dfd900588a8f7caf95e,e8dde9d26979498786c6ba5a82f70ad3,24,mixto,0.0417,0.625,14.25,30.5,98.5,776.0
fb944d98fea445bda57de000993d3e25,4a94478dd25f4430a0a023b87e11170d,24,mixto,0.0417,0.5417,29.75,51.0,630.5,986.25
f883bd6d70b043a09837e8b888fe3f65,fd595f24910c4126b7398b3e081af528,24,mixto,0.0417,0.3333,21.75,849.0,1366.25,1379.55
d74a389b77734996ba37fa61a0d08341,91f3f86897ff4ae39e50cbd7035fa8af,24,mixto,0.0,0.0,638.0,675.5,917.75,1226.95
b972e814004e4624a566f308901cca7c,9b8e5105e75b4d77a3e416729122b83a,24,mixto,0.0,0.3333,38.75,186.5,346.25,950.1
1bb1657eb2eb43808f0529810258aa3b,399e7fc266894562850261cfbc06b992,24,consistente,0.0,0.0,584.25,603.0,615.75,632.5
2549b51828ce40af920a932dd2102217,894c246eb00a482da371617f75149e30,23,mixto,0.087,0.2609,59.5,67.0,86.0,1052.3
9ae54d261e454c93ae1c2cdec0fd03e6,2549b51828ce40af920a932dd2102217,23,mixto,0.087,0.3478,23.0,177.0,545.5,640.9
e423b8339a57485d8b524937d93e4f44,c13d78fe65b94d05ad83b59494767b9f,23,mixto,0.087,0.3913,23.0,106.0,174.0,947.1
ffaec74bfd414f8394bab077a989e27f,fd595f24910c4126b7398b3e081af528,23,mixto,0.087,0.6087,12.5,52.0,93.0,267.9
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,94d27864f86d422faa68efccb908cc34,23,mixto,0.0435,0.3043,39.0,369.0,515.5,786.9
2549b51828ce40af920a932dd2102217,a7709b21161d459298dc5dc58e77310b,23,mixto,0.0435,0.5217,29.5,56.0,136.0,206.3
ed07316d9d6344a9ab11e8a41fdc413a,c52ceac3693c4644bb20f07dd8aa7103,23,mixto,0.0,0.3043,55.5,124.0,127.0,130.9
