segmento,servicios,eventos_totales,usuarios_totales,ratio_promedio
Alta cobertura / Baja intensidad,244,305789807.0,132259422.0,2.0070081967213116
Alta cobertura / Alta intensidad,73,232654112.0,31390476.0,10.816164383561645
Baja cobertura / Alta intensidad,244,4825738.0,376607.0,14.671475409836066
Baja cobertura / Baja intensidad,705,1466214.0,780791.0,1.7578581560283688
