Código del registro;Nombre del registro;Medio utilizado para obtener el dato, documento (certificado) y/o expediente;Identifique la institución que provee el dato, documento (certificado) y/o expediente que se solicita a los usuarios;Identifique el Documento (certificado) que solicita a los usuarios;Si no se encuentra en el listado, indique el nombre del dato, documento (certificado) y/o expediente que solicita a los usuarios;Identifique la Institución que provee el dato, documento (certificado) y/o expediente que se intercambia manualmente;Tipo de información que se intercambia manualmente;Identifique el documento (certificado) que se intercambia manualmente;Si no se Encuentra en el listado, indique el nombre del documento (certificado) que intercambia manualmente;Indique el nombre del dato que intercambia manualmente (separados por coma);Indique medio utilizado para interoperar electrónicamente;Seleccione institución que Provee el dato, documento (certificado) y/o expediente a través de la Red de Interoperabilidad del Estado;Seleccione el servicio web que consume a través de la Red de Interoperabilidad del Estado;Indique el nombre del Servicio web consumido a través de la Red de Interoperabilidad del Estado;Identifique la institución con la que interopera el dato, documento (certificado) y/o expediente;Indique el nombre del dato o set de datos que interopera
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de personal natural
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de transferencia gratuita sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría para las Fuerzas Armadas;Documento (certificado) y/o expediente;No se encuentra certificado;Informe favorable de transferencia gratuita de la Subsecretaría de las Fuerzas Armadas del Ministerio de Defensa y/o de la Comandancia en Jefe de la Armada;;;;;;;
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Agrícola y Ganadero;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de subdivisión que cumple con normativa vigente.;;;;;;;
PT-SUB00063-00019;Concesión de uso gratuito de corto plazo de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de personal natural
PT-SUB00063-00019;Concesión de uso gratuito de corto plazo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de concesión gratuita sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00019;Concesión de uso gratuito de corto plazo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
PT-SUB00063-00020;Donación de bienes;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Tesorerías;Documento (certificado) y/o expediente;Certificado de deuda de contribuciones de bienes raíces (TGR);;;;;;;;
PT-SUB00063-00020;Donación de bienes;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de rol de avalúo fiscal;;;;;;;
PT-SUB00063-00020;Donación de bienes;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Hacienda;Documento (certificado) y/o expediente;No se encuentra certificado;Autoriza Donación;;;;;;;
PT-SUB00063-00021;Venta directa de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de personal natural
PT-SUB00063-00021;Venta directa de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría para las Fuerzas Armadas;Documento (certificado) y/o expediente;No se encuentra certificado;Informe favorable de venta de la Subsecretaría de las Fuerzas Armadas del Ministerio de Defensa y/o de la Comandancia en Jefe de la Armada;;;;;;;
PT-SUB00063-00021;Venta directa de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización venta sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00021;Venta directa de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
PT-SUB00063-00021;Venta directa de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Agrícola y Ganadero;Documento (certificado) y/o expediente;No se encuentra certificado;"Certificado de subdivisión que cumple con normativa vigente; informe del artículo 16 del DL 1939.";;;;;;;
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;"Cédula de Identidad; Certificado de nacimiento; Certificado de matrimonio; Certificado de defunción; Última dirección de titular del rol"
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Electoral;Dato o set de datos;;;Última dirección de titular del rol;;;;;;
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Subsecretaría de Evaluación Social;Registro Social de Hogares
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;"Certificado de rol de avalúo con indicación de superficie; Última dirección de titular del rol; Solicitud de pre rol";;;;;;;;;;;
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización en el caso que el inmueble se encuentre en zona fronteriza;;;;;;;
PT-SUB00063-00023;Arriendo de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Datos de identificación solicitante
PT-SUB00063-00023;Arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Enrolamiento del inmueble;;;;;;;
PT-SUB00063-00023;Arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización DIFROL;;;;;;;
PT-SUB00063-00023;Arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría para las Fuerzas Armadas;Documento (certificado) y/o expediente;No se encuentra certificado;Informe de la Subsecretaría para las Fuerzas Armadas;;;;;;;
PT-SUB00063-00023;Arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría del Medio Ambiente;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de Subsecretaría de Medio Ambiente;;;;;;;
PT-SUB00063-00023;Arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Agrícola y Ganadero;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización SAG;;;;;;;
PT-SUB00063-00023;Arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Consejo de Monumentos Nacionales;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización del Consejo de Monumentos;;;;;;;
PT-SUB00063-00023;Arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Corporación Nacional Forestal y de Protección de Recursos Naturales Renovables;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización CONAF;;;;;;;
TR-SUB00063-00044;Pago de concesión onerosa de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Tesorerías;Datos de pagos confirmados
TR-SUB00063-00044;Pago de concesión onerosa de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Banco del Estado de Chile;Dato o set de datos;;;Registro de pagos confirmados presenciales;;;;;;
PT-SUB00063-00024;Concesión de uso oneroso directa de un inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de personal natural
PT-SUB00063-00024;Concesión de uso oneroso directa de un inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de concesión onerosa sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00024;Concesión de uso oneroso directa de un inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
PT-SUB00063-00025;Concesión de uso oneroso por propuesta pública de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de personal natural
PT-SUB00063-00025;Concesión de uso oneroso por propuesta pública de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de concesión onerosa sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00025;Concesión de uso oneroso por propuesta pública de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
PT-SUB00063-00026;Autorización para constituir servidumbre en un inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de rol de avalúo;;;;;;;
PT-SUB00063-00026;Autorización para constituir servidumbre en un inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Nacional de Geología y Minería;Documento (certificado) y/o expediente;No se encuentra certificado;Informe de SERNAGEOMIN;;;;;;;
PT-SUB00063-00026;Autorización para constituir servidumbre en un inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Informe DIFROL;;;;;;;
PT-SUB00063-00027;Permuta de inmueble;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de rol de avalúo fiscal;;;;;;;
PT-SUB00063-00027;Permuta de inmueble;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Informe DIFROL;;;;;;;
PT-SUB00063-00027;Permuta de inmueble;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Armada de Chile;Documento (certificado) y/o expediente;No se encuentra certificado;Informe de la Armada;;;;;;;
PT-SUB00063-00027;Permuta de inmueble;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Tesorerías;Documento (certificado) y/o expediente;Certificado de deuda de contribuciones de bienes raíces (TGR);;;;;;;;
PT-SUB00063-00028;Destinación de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de DIFROL;;;;;;;
PT-SUB00063-00028;Destinación de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de avalúo fiscal y/o enrolamiento;;;;;;;
PT-SUB00063-00029;Autorización para solicitar constitución de derechos de aprovechamiento de aguas subterráneas en inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Agrícola y Ganadero;Documento (certificado) y/o expediente;No se encuentra certificado;Informe SAG;;;;;;;
PT-SUB00063-00029;Autorización para solicitar constitución de derechos de aprovechamiento de aguas subterráneas en inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de rol de avalúo;;;;;;;
PT-SUB00063-00029;Autorización para solicitar constitución de derechos de aprovechamiento de aguas subterráneas en inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Informe DIFROL;;;;;;;
PT-SUB00063-00029;Autorización para solicitar constitución de derechos de aprovechamiento de aguas subterráneas en inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Nacional de Geología y Minería;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Sernageomin;;;;;;;
TR-SUB00063-00048;Pago de arriendo de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Tesorerías;Datos de pagos confirmados
TR-SUB00063-00048;Pago de arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Banco del Estado de Chile;Dato o set de datos;;;Registro de pagos confirmados presenciales ;;;;;;
TR-SUB00063-00049;Pago de venta de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Tesorerías;Datos de pagos confirmados
TR-SUB00063-00049;Pago de venta de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Banco del Estado de Chile;Dato o set de datos;;;Registro de pagos confirmados presenciales;;;;;;
PT-SUB00063-00031;Venta por propuesta pública de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de persona natural
PT-SUB00063-00031;Venta por propuesta pública de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización venta sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00031;Venta por propuesta pública de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría para las Fuerzas Armadas;Documento (certificado) y/o expediente;No se encuentra certificado;Informe favorable de venta de la Subsecretaría de las Fuerzas Armadas del Ministerio de Defensa y/o de la Comandancia en Jefe de la Armada;;;;;;;
PT-SUB00063-00031;Venta por propuesta pública de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
PT-SUB00063-00031;Venta por propuesta pública de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Agrícola y Ganadero;Documento (certificado) y/o expediente;No se encuentra certificado;"Certificado de subdivisión que cumple con normativa vigente; informe artículo 16 DL 1939";;;;;;;
PT-SUB00063-00032;Afectación de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización DIFROL;;;;;;;
PT-SUB00063-00033;Denuncia de herencia vacante;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Datos de identificación del denunciante
PT-SUB00063-00033;Denuncia de herencia vacante;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Superintendencia de Pensiones;Dato o set de datos;;;Informe de fondos previsionales;;;;;;
PT-SUB00063-00033;Denuncia de herencia vacante;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Comisión para el Mercado Financiero;Dato o set de datos;;;Información sobre cuentas, productos bancarios, depósitos y deudas del causante (en Chile o extranjero). Información sobre entidad de afiliación del causante. Informe de Afiliación. ;;;;;;
PT-SUB00063-00033;Denuncia de herencia vacante;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección General del Crédito Prendario;Documento (certificado) y/o expediente;No se encuentra certificado;Liquidación de bienes;;;;;;;
PT-SUB00063-00033;Denuncia de herencia vacante;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Poder Judicial;Dato o set de datos;;;Información sobre causas relacionadas al acervo del causante. ;;;;;;
PT-SUB00063-00033;Denuncia de herencia vacante;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Tesorerías;Documento (certificado) y/o expediente;Certificado de Deuda Fiscal (TGR);;;;;;;;
PT-SUB00063-00033;Denuncia de herencia vacante;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Dato o set de datos;;;"Impuesto de Herencia;  Enrolamiento inmueble a nombre del fisco de bienes raíces comprendidos en la herencia, emitir certificados de avalúo vigente, Declarar exención del pago de impuesto territorial.";;;;;;
PT-SUB00063-00033;Denuncia de herencia vacante;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Tesorerías;Dato o set de datos;;;Certificado de contribuciones u otras deudas fiscales;;;;;;
PT-SUB00063-00033;Denuncia de herencia vacante;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Consejo de Defensa del Estado;Dato o set de datos;;;Información sobre litigios pendientes relacionados a la herencia del causante que se están tramitando por el Consejo ante tribunales de justicia. ;;;;;;
PT-SUB00063-00033;Denuncia de herencia vacante;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Documento (certificado) y/o expediente;No se encuentra certificado;Informe Red Familiar, Informe Inscripción de testamentos, Inscripción Posesión Efectiva,  Registro de Vehículos Motorizados, certificados (defunción, nacimiento, matrimonio), asignación de RUT;;;;;;;
PT-SUB00063-00034;Concesión de uso gratuito de largo plazo de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de personal natural
PT-SUB00063-00034;Concesión de uso gratuito de largo plazo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de concesión gratuita sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00034;Concesión de uso gratuito de largo plazo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
TR-SUB00575-00056;Fondo Social Presidente de la República;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Documento (certificado) y/o expediente;Certificado de vigencia de persona jurídica (SRCeI);;;;;;;;
TR-SUB00575-00066;Publicación de Extracto de Solicitud de Concesión de Telecomunicación;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Telecomunicaciones;Documento (certificado) y/o expediente;No se encuentra certificado;Solicitud de un particular de ingresar la publicación;;;;;;;
PA-SUP00584-00008;Adquisición de bienes y servicios - Compra coordinada;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección de Compras y Contratación Pública;Documento (certificado) y/o expediente;No se encuentra certificado;Resolución de adjudicación o selección emitida por Chilecompra;;;;;;;
PA-SUP00584-00014;Adquisición de bienes y servicios - Suscripción de convenio con universidades estatales;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Consejo de Rectores de las Universidades Chilenas;Documento (certificado) y/o expediente;No se encuentra certificado;Convenio;;;;;;;
TR-SUB00033-00022;Formalización de la acreditación de entidades o instituciones competentes para certificar el cumplimiento y el monto de las obligaciones laborales y previsionales;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección del Trabajo;Certificado de cumplimiento de obligaciones laborales y previsionales (DT);;;;;;;;;;;;
PA-SUB00041-00003;3.Establecimiento de Objetivos de Gestión PMG de las Subsecretarías y SSRR al MDSYF;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección de Presupuestos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Aprobación del Programa de Mejoramiento de la Gestión ;;;;;;;
PA-SUB00041-00006;4.Determinar grado de cumplimiento de Objetivos de Gestión PMG de las Subsecretarías y SSRR al MDSYF;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección de Presupuestos;Documento (certificado) y/o expediente;No se encuentra certificado;CERTIFICADO DE CUMPLIMIENTO PROGRAMA DE MEJORAMIENTO DE GESTIÓN ;;;;;;;
PT-GOR00059-00019;Asignación directa vinculación con la comunidad, Subtítulo 24 Transferencias Corrientes.;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Rol Único Trubutario;;;;;;;;;;;
PT-GOR00059-00019;Asignación directa vinculación con la comunidad, Subtítulo 24 Transferencias Corrientes.;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de directorio de persona Jurídica (SRCeI);;;;;;;;;;;;
PT-GOR00059-00019;Asignación directa vinculación con la comunidad, Subtítulo 24 Transferencias Corrientes.;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Hacienda;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Inscripción en el Registro Único de Personas Jurídicas Receptoras de fondos públicos;;;;;;;
TR-GOR00561-00029;Fondos concursables FNDR (Cultura, Deporte, Seguridad Ciudadana, Social, Medio Ambiente, Infancia y Adulto Mayor);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de Inscripción en el Registro de Personas Jurídicas sin fines de lucro;;;;;;;;;;;;
TR-GOR00561-00033;Fondo Regional para la Productividad y el Desarrollo (FRDP);No hay interoperabilidad, se solicita a sus usuarios(as);Universidad de La Serena;No se encuentra certificado;Comisión Nacional de Acreditación, Registro de Centro de I+D de Corfo y del Ministerio de Economía;;;;;;;;;;;
PT-GOR00562-00014;Postulación fondos concursables Fondo Comunidad (8% FNDR);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de directorio de persona Jurídica (SRCeI);;;;;;;;;;;;
PT-GOR00562-00014;Postulación fondos concursables Fondo Comunidad (8% FNDR);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de vigencia de persona jurídica (SRCeI);;;;;;;;;;;;
PT-GOR00562-00014;Postulación fondos concursables Fondo Comunidad (8% FNDR);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Rol Unico Tributario;;;;;;;;;;;
PT-GOR00562-00014;Postulación fondos concursables Fondo Comunidad (8% FNDR);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Hacienda;Certificado de inscripción en el Registro Central de Colaboradores del Estado y Municipalidades;;;;;;;;;;;;
PT-GOR00562-00015;Postulación Fondo Regional de Productividad y Desarrollo (FRPD);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de vigencia de persona jurídica (SRCeI);;;;;;;;;;;;
PT-GOR00565-00041;Solicitud de Financiamiento - Programas;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Evaluación Social;Dato o set de datos;;;Ficha IDI;;;;;;
PT-GOR00565-00042;Solicitud de Financiamiento - FNDR 8%;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;certificado de directorio vigente;;;;;;;;;;;
PT-GOR00565-00042;Solicitud de Financiamiento - FNDR 8%;No hay interoperabilidad, se solicita a sus usuarios(as);Instituto Nacional de Deportes de Chile;No se encuentra certificado;certificado de directorio vigente;;;;;;;;;;;
PT-GOR00565-00042;Solicitud de Financiamiento - FNDR 8%;No hay interoperabilidad, se solicita a sus usuarios(as);Municipios;No se encuentra certificado;certificado de directorio vigente;;;;;;;;;;;
PT-GOR00565-00042;Solicitud de Financiamiento - FNDR 8%;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección del Trabajo;No se encuentra certificado;certificado de directorio vigente;;;;;;;;;;;
PT-GOR00565-00043;Solicitud de Financiamiento - FNDR Sub. 31 con Evaluación MIDESO;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Evaluación Social;Dato o set de datos;;;Ficha IDI;;;;;;
PT-GOR00565-00044;Solicitud de Financiamiento - Fondo Regional para la Productividad y el Desarrollo;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Evaluación Social;Dato o set de datos;;;Ficha IDI;;;;;;
PT-GOR00565-00045;Solicitud de Financiamiento - Circular 33;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Evaluación Social;Dato o set de datos;;;Ficha IDI;;;;;;
PT-GOR00565-00046;Solicitud de Financiamiento - Fondo Regional de Inversión Local (FRIL);No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Evaluación Social;Dato o set de datos;;;Ficha IDI;;;;;;
TR-COM00586-00088;Solicitud Declaración de Proyectos en Construcción;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Subsecretaría de Economía y Empresas de Menor Tamaño;Código único de proyectos
TR-SUP00552-00045;Consultas sobre temas previsionales y seguro de cesantía;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Instituto de Previsión Social;Información previsional de los usuarios
TR-SUP00552-00048;Solicitud de pensión en el extranjero ;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
TR-SUP00552-00048;Solicitud de pensión en el extranjero ;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de matrimonio para todo trámite (SRCeI);;;;;;;;;;;;
TR-SUP00552-00048;Solicitud de pensión en el extranjero ;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de defunción (SRCeI);;;;;;;;;;;;
PT-SUP00552-00014;Reclamos contra el Regulado y organismo de Enlace ;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Instituto de Previsión Social;Información Previsional de los Usuarios
PT-SUP00552-00015;Registro de Directoras y Directores;No hay interoperabilidad, se solicita a sus usuarios(as);Comisión para el Mercado Financiero;No se encuentra certificado;"Oficio que indique si le han aplicado sanciones administrativas y la causa; si ha sido cancelada su inscripción en algún registro de esta Comisión y la razón de ello; y si se han realizado denuncias al Ministerio Público.";;;;;;;;;;;
PT-SUP00552-00015;Registro de Directoras y Directores;No hay interoperabilidad, se solicita a sus usuarios(as);Superintendencia de Insolvencia y Reemprendimiento;Certificado de Procedimientos Concursales/Quiebras (SUPERIR);;;;;;;;;;;;
PT-SUP00552-00015;Registro de Directoras y Directores;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
