Código del registro;Nombre del registro;Medio utilizado para obtener el dato, documento (certificado) y/o expediente;Identifique la institución que provee el dato, documento (certificado) y/o expediente que se solicita a los usuarios;Identifique el Documento (certificado) que solicita a los usuarios;Si no se encuentra en el listado, indique el nombre del dato, documento (certificado) y/o expediente que solicita a los usuarios;Identifique la Institución que provee el dato, documento (certificado) y/o expediente que se intercambia manualmente;Tipo de información que se intercambia manualmente;Identifique el documento (certificado) que se intercambia manualmente;Si no se Encuentra en el listado, indique el nombre del documento (certificado) que intercambia manualmente;Indique el nombre del dato que intercambia manualmente (separados por coma);Indique medio utilizado para interoperar electrónicamente;Seleccione institución que Provee el dato, documento (certificado) y/o expediente a través de la Red de Interoperabilidad del Estado;Seleccione el servicio web que consume a través de la Red de Interoperabilidad del Estado;Indique el nombre del Servicio web consumido a través de la Red de Interoperabilidad del Estado;Identifique la institución con la que interopera el dato, documento (certificado) y/o expediente;Indique el nombre del dato o set de datos que interopera
TR-SUB00039-00186;0100010158_POSTULAR A LAS LICITACIONES DE SERVICIOS AEREOS;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección General de Aeronáutica Civil;No se encuentra certificado;Certificado de Matrícula;;;;;;;;;;;
TR-SUB00039-00186;0100010158_POSTULAR A LAS LICITACIONES DE SERVICIOS AEREOS;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección General de Aeronáutica Civil;Certificado de Aeronavegabilidad (DGAC);;;;;;;;;;;;
TR-SUB00039-00186;0100010158_POSTULAR A LAS LICITACIONES DE SERVICIOS AEREOS;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección General de Aeronáutica Civil;No se encuentra certificado;Certificado de dominio del Conservador de Aeronaves;;;;;;;;;;;
TR-SUB00039-00186;0100010158_POSTULAR A LAS LICITACIONES DE SERVICIOS AEREOS;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección General de Aeronáutica Civil;No se encuentra certificado;Certificado DGAC Vigencia Licencia y Habilidades Piloto con Horas de Vuelo;;;;;;;;;;;
TR-SUB00039-00186;0100010158_POSTULAR A LAS LICITACIONES DE SERVICIOS AEREOS;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección General de Aeronáutica Civil;No se encuentra certificado;Registro de Accidentes o Incidentes de Aeronave;;;;;;;;;;;
TR-SUB00039-00186;0100010158_POSTULAR A LAS LICITACIONES DE SERVICIOS AEREOS;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección General de Aeronáutica Civil;No se encuentra certificado;Registro de Accidentes o Incidentes de Piloto;;;;;;;;;;;
PT-SER01522-00007;Residencia Temporal en Chile;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;Informe Policial
TR-SER01522-00026;Solicitud de Pronunciamiento de Nacionalidad;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;Informe de viajes emitido por Policía Internacional.
TR-SER01522-00027;Recurso Administrativo (Residencia Definitiva);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;INFORMES POLICIALES
TR-SER01522-00027;Recurso Administrativo (Residencia Definitiva);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Poder Judicial;Consulta de Causas Judiciales
PT-SER01522-00008;Residencia Temporal en el extranjero;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;Informe Policial
TR-SER01522-00028;Declaración de infracción y cálculo de multa;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;Informes policiales
PT-SER01522-00009;Rectificación de Residencia Temporal Otorgada;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;INFORME POLICIAL
TR-SER01522-00029;Solicitud de Carta de Nacionalización Chilena;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;Informe Policial-Vigencia de la Residencia Definitiva
PT-SER01522-00011;Regularización Ordinaria;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;Informe Policial
TR-SER01522-00031;Recurso Administrativo (Residencia Temporal);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;INFORMES POLICIALES
TR-SER01522-00031;Recurso Administrativo (Residencia Temporal);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Poder Judicial;Consulta de Causas Judiciales
PT-SER01522-00014;Solicitud de Residencia Definitiva;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;Informe Policial
PT-SER01522-00018;Rectificación de Resolución que otorga la Residencia Definitiva;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Policía de Investigaciones de Chile;INFORME POLICIAL
PT-SER00153-00053;Licencias y Habilitaciones Aeronáuticas (RNT06);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza la Red de Interoperabilidad del Estado;Servicio de Registro Civil e Identificación;INFORMACION PERSONAL DGAC;InformacioPersonal;;
PT-SER00153-00053;Licencias y Habilitaciones Aeronáuticas (RNT06);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza la Red de Interoperabilidad del Estado;Ministerio de Educación;DISPONIBILIDAD LICENCIA ENSENANZA MEDIA;DispoLicenciaEnsenanzaMedia;;
PT-SER00153-00054;Certificado para el Funcionamiento de Centros de Mantenimiento Aeronáutico (CMA) (RNT32);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Certificado de Inicio de Actividades;;;;;;;;;;;
PT-SER00153-00055;Solicitud de Tarjeta de Ingreso TICA (RNT01);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PT-SER00153-00055;Solicitud de Tarjeta de Ingreso TICA (RNT01);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Copia Autorizada del RUT Empresa;;;;;;;;;;;
PT-SER00153-00055;Solicitud de Tarjeta de Ingreso TICA (RNT01);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Copia de Inicio de Actividades;;;;;;;;;;;
