Código institución;Nombre institución;Código del registro;Nombre del registro;Tipo de registro;Estado registro;Descripción del registro;Área responsable;Cargo del o la responsable;Tipo de inicio;Acto de inicio;Acto de término;Producto institucional relacionado;Número Ley;URL de la Ley en LeyChile (Biblioteca del Congreso Nacional de Chile);Pago asociado;Tipo de usuario(a);Segmento de usuarios(as);Disponibilidad para su realización;Programa Social relacionado;Nivel de digitalización;Ingreso de solicitud;Canal digital - Canales transaccionales;Canal presencial - Canales transaccionales;Canal telefónico - Canales transaccionales;Módulos de autoatención - Canales transaccionales;Tipo de expediente;Acceso al expediente electrónico por parte de los(as) interesados(as);URL del inicio;Ficha ChileAtiende relacionada;URL de ficha ChileAtiende;Número de plataformas electrónicas que intervienen en el soporte electrónico;Alcance de las plataformas electrónicas que soportan el registro;Utiliza SIMPLE con modalidad Saas como plataforma para la digitalización;Utiliza SIMPLE con modalidad On premise como plataforma para la digitalización;Utiliza Plataformas desarrolladas por la institución (equipo propio) como plataforma para la digitalización;Utiliza Plataformas desarrolladas por la institución (provisto externamente) como plataforma para la digitalización;Utiliza  Plataformas transversales provistas por el Estado como plataforma para la digitalización;No utiliza mecanismo de autenticación - Autenticación;Utiliza ClaveÚnica - Autenticación;Utiliza Clave Tributaria - Autenticación;Utiliza un mecanismo de autenticación propio - Autenticación;Mecanismo de autenticación digital para funcionarios;Firma electrónica Avanzada;Notificación(es) practicada(s);Tiene etapa Inicio;Tiene etapa Instrucción;Tiene etapa Finalización;Medio utilizado para notificar en la etapa de iniciación;Medio utilizado para notificar en la etapa de instrucción;Medio utilizado para notificar en la etapa de finalización;Dato, documentos(certificados) y/o expedientes en poder de otros órganos de la Administración del Estado;Documento(s) notarial(es);Nombre del documento notarial relacionado;Medio utilizado para enviar comunicaciones oficiales entre órganos de la Administración del Estado
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00063;0100010014_ACREDITACION DE TAXIMETROS;Procedimiento administrativo de función específica;Completado;Permite a fabricantes o proveedores de taxímetros acreditar que el tipo o modelo que ofrecen cumple con las características y especificaciones establecidas en la normativa del Ministerio de Transportes y Telecomunicaciones (MTT) establecidas en la Resolución N°46 de 1993 del MTT, y considera la revisión de los antecedentes técnicos, físicos y funcionales, con el objetivo de verificar el cumplimiento de los requisitos establecidos para que los taxímetros puedan ser usados en los servicios de taxis. Una vez acreditado el taxímetro se debe incorporar al fabricante o proveedor de este taxímetro en la nómina establecida en la Resolución Exenta N°2.159 de 1999 del MTT. Dicha acreditación tendrá una vigencia de 5 años, contados desde su otorgamiento. Este trámite tiene alcance nacional.;Áreas asociadas al mandato institucional;SECRETARIO(A) TECNICO(A) CENTRO DE CONTROL Y CERTIFICACION VEHICULAR - DIVISION DE NORMAS Y OPERACIONES - 3CV;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solictud de certificación;Carta de Aceptación/Rechazo - Resolución Exenta que incorpora en nómina de fabricantes o proveedores con taxímetros acreditados;Acreditación;18696;https://www.bcn.cl/leychile/navegar?idNorma=30078;Sí;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 3;El ingreso de solicitudes se realiza por medios electrónicos;;Sí;;;Expediente con documentos en formato físico y electrónico (mixto);No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://subtrans.cerofilas.gob.cl/tramites/iniciar/1109;Sí;https://www.chileatiende.gob.cl/fichas/3898-evaluacion-de-taximetros-para-su-uso-en-taxis-basicos;1;Las plataformas electrónicas soportan parcialmente las etapas de tramitación de este registro;Sí;;;Sí;;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;Sí;Sí;Sólo por medios electrónicos.;Solo por medios eléctronicos;Solo por medios eléctronicos;No;No;;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00064;0100010018_CERTIFICACION DE BUSES URBANOS;Procedimiento administrativo de función específica;Completado;Verificar el cumplimiento de los requisitos de emisiones (contaminantes y de ruido), seguridad, dimensionales y funcionales, incluyendo sistemas y componentes, de buses destinados a prestar servicios urbanos de transporte público de pasajeros en la ciudad de Santiago, y verificar el cumplimiento de requisitos de emisiones (contaminantes y de ruido) de buses urbanos que prestan servicio de transporte público en regiones o ciudades distintas a Santiago.    Este trámite tiene alcance nacional. ;Áreas asociadas al mandato institucional;SECRETARIO(A) TECNICO(A) CENTRO DE CONTROL Y CERTIFICACION VEHICULAR - DIVISION DE NORMAS Y OPERACIONES - 3CV;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud de certificación;Certificados / Carta de rechazo;Acreditación;18696;https://www.bcn.cl/leychile/navegar?idNorma=30078;Sí;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 3;El ingreso de solicitudes no se realiza por medios electrónicos;;Sí;;;Expediente con documentos en formato físico;;https://www.mtt.gob.cl/portaldetramites;Sí;https://www.chileatiende.gob.cl/fichas/3964-certificacion-de-buses-urbanos;1;Las plataformas electrónicas soportan parcialmente las etapas de tramitación de este registro;;;;Sí;;Sí;;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;;Sí;Sí;;Solo por medios eléctronicos;Solo por medios eléctronicos;No;No;;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00065;0100010011_RENOVACION DE PERMISO COMPLEMENTARIO BILATERAL;Procedimiento administrativo de función específica;Completado;Solicitud  a efectos de renovar permiso complementario ya concedido, en el país de destino o de tránsito un Permiso Originario o Permanente otorgado por una Autoridad de Transporte Internacional Terrestre de Argentina, Bolivia, Brasil, Paraguay, Perú o Uruguay.;Áreas asociadas al mandato institucional;JEFE/A DEPARTAMENTO DE ASUNTOS INTERNACIONALES;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud;Resolución Exenta de permiso;Autorización;1;https://www.bcn.cl/leychile/;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 3;El ingreso de solicitudes no se realiza por medios electrónicos;;Sí;;;Expediente con documentos en formato electrónico;No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://www.mtt.gob.cl/portaldetramites;Sí;https://www.chileatiende.gob.cl/fichas/64859-renovacion-de-permiso-complementario-de-transporte-internacional-terrestre;1;Las plataformas electrónicas soportan parcialmente las etapas de tramitación de este registro;;;;Sí;;Sí;;;;No utiliza mecanismo de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;;Sí;Sólo por medios electrónicos.;;Solo por medios eléctronicos;No;Sí;Escritura pública de poder de representación legal;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00066;0100010164_ALTAS / BAJAS A PERMISO OCASIONAL DE CARGA BILATERAL;Procedimiento administrativo de función específica;Completado;Solicitud de incorporación de vehículos para realizar transporte terrestre internacional de carga entre Chile y Argentina, Bolivia, Brasil, Paraguay, Perú, Uruguay y/o entre dos puntos de Chile a través de territorio argentino en un permiso ocasional ya concedido.  ;Áreas asociadas al mandato institucional;JEFE/A DEPARTAMENTO DE ASUNTOS INTERNACIONALES;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud;Documento con permiso y flota refundida;Autorización;1;https://www.bcn.cl/leychile/;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;;;;Expediente con documentos en formato electrónico;No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://subtrans.cerofilas.gob.cl/tramites/iniciar/1830;Sí;https://www.chileatiende.gob.cl/fichas/64775-incorporacion-de-vehiculos-a-permiso-ocasional-ya-concedido-de-transporte-internacional-terrestre;1;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;Sí;;;;;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;Sí;Sí;Sólo por medios electrónicos.;Solo por medios eléctronicos;Solo por medios eléctronicos;Sí;No;;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00067;0100010037_CANJE DE LICENCIA DE CONDUCTOR ESPAÑOLA;Procedimiento administrativo de función específica;Completado;Permite obtener un certificado para canjear una licencia de conductor española por una chilena en la municipalidad del domicilio del conductor.;Áreas asociadas al mandato institucional;JEFE/A DEPARTAMENTO DE ASUNTOS INTERNACIONALES;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud;Certificado de canje de licencia de conductor española;Autorización;1;https://www.bcn.cl/leychile/;No;Persona natural: Todo individuo de la especie humana, cualquiera sea su sexo, edad, raza o condición social;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;;;;Expediente con documentos en formato electrónico;No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://subtrans.cerofilas.gob.cl/tramites/iniciar/1009;Sí;https://www.chileatiende.gob.cl/fichas/25000-canje-de-licencia-espanola;1;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;Sí;;;;;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;Sí;Sí;Sólo por medios electrónicos.;Solo por medios eléctronicos;Solo por medios eléctronicos;No;No;;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00068;0100010035_TRAMITACION DE PERMISO TEMPORAL DE CABOTAJE (WAIVERS);Procedimiento administrativo de función específica;Completado;Permite solicitar una dispensa temporal (llamada waiver) para embarcar carga de cabotaje de hasta 900 toneladas en un barco extranjero, entre puertos chilenos. Esta autorización está reglamentada según lo dispuesto en la ley de fomento a la marina mercante. Una dispensa es un permiso provisorio y extraordinario que autoriza a una o varias personas al incumplimiento de una obligación o de lo ordenado por las leyes generales.;Áreas asociadas al mandato institucional;COORDINADOR/A DESARROLLO LOGÍSTICO;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud de waiver de cabotaje;Certificado de Autorización;Autorización;3059;https://www.bcn.cl/leychile/navegar?idNorma=7052;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;;;;Expediente con documentos en formato electrónico;Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://subtrans.cerofilas.gob.cl/tramites/iniciar/1445;Sí;https://www.chileatiende.gob.cl/fichas/24869-permiso-temporal-de-cabotaje-waiver;1;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;Sí;;;;;;Sí;;;No utiliza mecanismo de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;;Sí;Sólo por medios electrónicos.;;Solo por medios eléctronicos;No;No;;Sí, realiza envíos sólo por medios electrónicos propios
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00069;0100010114_CERTIFICACION DEL ESTADO ACTUAL DE UN VEHICULO O SERVICIO INSCRITO EN TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS (TTEPRIV);Procedimiento administrativo de función específica;Completado;Este trámite permite certificar la situación actual un determinado vehículo o de un servicio inscrito o no inscrito como Transporte Privado remunerado de Pasajeros (TTEPRIV), para los fines que el interesado estime conveniente.  El certificado se puede solicitar durante todo el año en el sitio web de Subtrans, oficinas y correo electrónico de la Secretaría Regional Ministerial de Transporte y Telecomunicaciones.  Dirigido a El certificado se puede solicitar durante todo el año en el sitio web de Subtrans, oficinas y correo electrónico de la Secretaría Regional Ministerial de Transporte y Telecomunicaciones.;Áreas asociadas al mandato institucional;SECRETARIO/A REGIONAL MINISTERIAL DE TRANSPORTES Y TELECOMUNICACIONES;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud de Certificado;Certificado de Estado Actual;Autorización;1;https://www.bcn.cl/leychile/;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;Sí;;;Expediente con documentos en formato físico y electrónico (mixto);Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://subtrans.cerofilas.gob.cl/tramites/iniciar/1329;Sí;https://www.chileatiende.gob.cl/fichas/85452-certificado-del-estado-actual-de-un-vehiculo-o-servicio-inscrito-en-transporte-privado-remunerado-de-pasajeros-ttepriv;3;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;Sí;;Sí;Sí;;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada provista por un externo;Sí;Sí;Sí;Sí;Ambos medios;Ambos medios;Ambos medios;No;No;;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00070;0100010061_PERMISO OCASIONAL DE CARGA PAIS / PAIS;Procedimiento administrativo de función específica;Completado;Permitir realizar transporte internacional terrestre de carga entre dos puntos de Chile a través de territorio argentino en carácter de ocasional. Con alcance nacional;Áreas asociadas al mandato institucional;JEFE/A DEPARTAMENTO DE ASUNTOS INTERNACIONALES;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud;Permitir realizar transporte internacional terrestre de carga entre dos puntos de Chile a través de territorio argentino en carácter de ocasional. Con alcance nacional;Autorización;1;https://www.bcn.cl/leychile/;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;;;;Expediente con documentos en formato electrónico;No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://subtrans.cerofilas.gob.cl/tramites/iniciar/1831;Sí;https://www.chileatiende.gob.cl/fichas/64766-permiso-ocasional-chile-chile-de-transporte-internacional-terrestre;1;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;Sí;;;;;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;Sí;Sí;Sólo por medios electrónicos.;Solo por medios eléctronicos;Solo por medios eléctronicos;Sí;No;;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00071;0100010072_SOLICITUD DE INCORPORACION AL CONSEJO DE LA SOCIEDAD CIVIL SUBTRANS;Procedimiento administrativo de función específica;Completado;Solicitud por parte de organizaciones de la sociedad de ser parte del Consejo de la Sociedad Civil de la Subsecretaría de Transportes.  Aceptar la incorporación de una organización sin fines de lucro en el Consejo de la Sociedad Civil (COSOC), mecanismo de participación ciudadana en materias referidas a políticas relacionadas con transportes. Luego de recibir la solicitud corresponderá analizar, gestionar y responder, en forma y plazo las solicitudes de incorporación al COSOC a nivel nacional.;Atención de usuarios - clientes;COORDINADORA DE USUARIOS;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud de Incorporación;Respuesta de Incorporación;Autorización;20500;https://www.bcn.cl/leychile/navegar?idNorma=1023143&idParte=;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 4;El ingreso de solicitudes se realiza por medios electrónicos;Sí;Sí;;;No tiene un expediente;;https://cerofilas.subtrans.gob.cl/;Sí;https://www.chileatiende.gob.cl/fichas/63341-solicitud-de-incorporacion-al-consejo-de-la-sociedad-civil;1;Las plataformas electrónicas soportan parcialmente las etapas de tramitación de este registro;;Sí;;;;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;No utiliza firma electrónica avanzada;Sí;Sí;;Sí;Ambos medios;;Ambos medios;Sí;No;;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00072;0100010015_EXENCIÓN RESTRICCIÓN VEHICULAR DE RM;Procedimiento administrativo de función específica;Completado;Permite solicitar autorización para que un vehículo motorizado afectado por la prohibición de circulación, debido a la restricción vehicular permanente y por episodios críticos de contaminación (preemergencia y emergencia), pueda circular durante la vigencia de dichas medidas (mayo-agosto). Esta autorización se entrega mediante resolución exenta de la SEREMI de Transportes y Telecomunicaciones de la Región Metropolitana, copia de la cual debe portarse en el vehículo.;Áreas asociadas al mandato institucional;SECRETARIO/A REGIONAL MINISTERIAL DE TRANSPORTES Y TELECOMUNICACIONES REGIÓN METROPOLITANA;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud de Exención;Resolución Exenta que autoriza la circulación del vehículo en días de restricción vehicular.;Autorización;18920;https://www.bcn.cl/leychile/navegar?idNorma=29708;No;Persona natural: Todo individuo de la especie humana, cualquiera sea su sexo, edad, raza o condición social;Discapacidad;Se puede realizar sólo en algunos períodos del año;;Nivel 4;El ingreso de solicitudes se realiza por medios electrónicos;Sí;;;;No tiene un expediente;;https://www.mtt.gob.cl/portaldetramites;Sí;https://www.chileatiende.gob.cl/fichas/3937-solicitud-de-exencion-de-restriccion-vehicular-en-la-region-metropolitana;1;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;;Sí;;Sí;;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;Sí;Sí;Ambos medios;Solo por medios eléctronicos;Ambos medios;Sí;No;;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00073;0100010030_INSCRIPCION DE SERVICIOS DE TAXI BASICO, TAXI TURISMO O TAXI EJECUTIVO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Procedimiento administrativo de función específica;Completado;Permite a los operadores inscribir servicios de un taxi básico, para turismo o ejecutivo en el Registro Nacional de Servicios de Transporte de Pasajeros (RNSTP), a cargo de la Subsecretaría de Transportes.  La inscripción de un servicio en las modalidades de taxi básico, ejecutivo o turismo en el Registro Nacional de Servicios de Transportes de Pasajeros (RNSTP), a cargo de la Subsecretaría de Transportes, validando la Inscripción de Servicios de Taxi Básico, Taxi Turismo y Taxi Ejecutivo en el RNSTP, que efectúan los operadores de transporte en las Secretarías Regionales Ministeriales de Transportes y Telecomunicaciones, al proceso interno de validación y entrega de documentos habilitantes para los interesados.  Está dirigido a Operadores de servicios interesados en inscribir un servicio de taxi básico, para turismo o ejecutivo en el Registro Nacional de Servicios de Transporte de Pasajeros (RNSTP).  ;Áreas asociadas al mandato institucional;SECRETARIO/A REGIONAL MINISTERIAL DE TRANSPORTES Y TELECOMUNICACIONES;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud de inscribir servicios de un taxi básico, para turismo o ejecutivo en el Registro Nacional de Servicios de Transporte de Pasajeros (RNSTP);Certificados de Inscripción o Resolución de Rechazo;Autorización;18696;https://www.bcn.cl/leychile/navegar?idNorma=30078;Sí;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;Sí;;;Expediente con documentos en formato físico y electrónico (mixto);Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://tramites.mtt.cl/tramites/0100010030;Sí;https://www.chileatiende.gob.cl/fichas/24016-inscripcion-de-servicios-de-taxi-basico-taxi-turismo-o-taxi-ejecutivo-en-el-registro-nacional-de-servicios-de-transporte-de-pasajeros-rnstp;3;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;Sí;Sí;;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada provista por un externo;Sí;Sí;Sí;Sí;Ambos medios;Ambos medios;Ambos medios;Sí;Sí;Mandato Notarial de Representación, escritura pública del mandato o del poder notarial (incluyendo la copia autorizada);No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00074;0100010126_MODIFICACION DE INFORMACION DEL RESPONSABLE DE UN SERVICIO INSCRITO COMO TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS (TTEPRIV);Procedimiento administrativo de función específica;Completado;Permite informar sobre modificaciones en la capacidad de asientos en un vehículo inscrito en un serviciode Transporte Privado Remunerado de  Pasajeros   El trámite está disponible durante todo el año en la oficina y correo electrónico de la Secretaría Regional Ministerial (SEREMI) de Transportes y Telecomunicaciones en la que se encuentra inscrito el servicio.  Dirigido a Operadores de servicios interesados en modificar la información del o de la responsable de un servicio de Transporte Privado Remunerado de Pasajeros (TTEPRIV).;Áreas asociadas al mandato institucional;SECRETARIO/A REGIONAL MINISTERIAL DE TRANSPORTES Y TELECOMUNICACIONES;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud de Modificación;Certificado - Oficio de Rechazo;Autorización;1;https://www.bcn.cl/leychile/;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;Sí;;;Expediente con documentos en formato físico y electrónico (mixto);Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://tramites.mtt.cl/tramites/0100010126;Sí;https://www.chileatiende.gob.cl/fichas/86163-modificacion-de-informacion-del-responsable-de-un-servicio-inscrito-como-transporte-privado-remunerado-de-pasajeros-ttepriv;3;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;Sí;Sí;;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada provista por un externo;Sí;Sí;Sí;Sí;Ambos medios;Ambos medios;Ambos medios;Sí;Sí;Si actúa a través de un mandatario o mandataria: escritura pública del mandato o del poder notarial.;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00075;0100010067_INCORPORACION, ELIMINACION O MODIFICACION DE CONDUCTOR EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Procedimiento administrativo de función específica;Completado;Este trámite permite a los operadores solicitar la incorporación, eliminación o modificación de un conductor inscrito en el Registro Nacional de Servicios de Transporte de Pasajeros (RNSTP), a cargo de la Subsecretaría de Transportes (Subtrans).  El trámite está disponible durante todo el año en línea, en oficinas y correo electrónico de la Secretaría Regional Ministerial de Transporte que corresponda a la región en donde se encuentra inscrito el servicio.  Dirigido a Operadores de servicios interesados en la incorporación, eliminación o modificación de conductor inscrito en el RNSTP.  Inscripción o Cancelación o Modificación de la Inscripción de un Conductor en un Servicio inscrito en Registro Nacional de Servicios de Transporte de Pasajeros (RNSTP).  El procedimiento permite revisar la solicitud de Inscripción, Eliminación o Modificación de Conductores en el RNSTP, que efectúan los operadores de transporte en las Secretarías Regionales Ministeriales de Transportes y Telecomunicaciones, y que aplican al proceso interno de validación y entrega de documentos habilitantes para los interesados. ;Áreas asociadas al mandato institucional;SECRETARIO/A REGIONAL MINISTERIAL DE TRANSPORTES Y TELECOMUNICACIONES;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud del usuario/a de Inscripción, Eliminación o Modificación de Conductores en el RNSTP;Certificados de Inscripción o Resolución de Rechazo;Autorización;18696;https://www.bcn.cl/leychile/navegar?idNorma=30078;Sí;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;Sí;;;Expediente con documentos en formato físico y electrónico (mixto);Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://tramites.mtt.cl/tramites/0100010067;Sí;https://www.chileatiende.gob.cl/fichas/86134-incorporacion-eliminacion-o-modificacion-de-conductor-inscrito-en-el-registro-nacional-de-servicios-de-transporte-de-pasajeros-rnstp;3;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;Sí;Sí;;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada provista por un externo;Sí;Sí;Sí;Sí;Ambos medios;Ambos medios;Ambos medios;Sí;Sí; escritura pública del mandato o del poder notarial, copia autorizada de estos;No considera comunicaciones oficiales
PE-SUB-00039;Subsecretaría de Transportes;PT-SUB00039-00076;0100010162_ALTAS / BAJAS A PERMISO PERMANENTE PAIS / PAIS;Procedimiento administrativo de función específica;Completado;Permite obtener una resolución que incorpora o cancela un vehículo de la flota de una empresa, autorizada para realizar transporte terrestre internacional entre Chile y Argentina, Bolivia, Brasil, Paraguay, Perú, Uruguay y/o entre dos puntos de Chile a través de territorio argentino.;Áreas asociadas al mandato institucional;JEFE/A DEPARTAMENTO DE ASUNTOS INTERNACIONALES;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Solicitud;Resolución Exenta de permiso;Autorización;1;https://www.bcn.cl/leychile/;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 3;El ingreso de solicitudes no se realiza por medios electrónicos;;Sí;;;Expediente con documentos en formato electrónico;No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://www.mtt.gob.cl/portaldetramites;Sí;https://www.chileatiende.gob.cl/fichas/25025-solicitud-de-incorporacion-o-cancelacion-de-vehiculos-que-se-hayan-autorizado-para-un-permiso-originario-bilateral-o-permanente-pais-pais;1;Las plataformas electrónicas soportan parcialmente las etapas de tramitación de este registro;;;;Sí;;Sí;;;;No utiliza mecanismo de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;;Sí;Sólo por medios electrónicos.;;Solo por medios eléctronicos;Sí;No;;No considera comunicaciones oficiales
