inst_a,inst_b,marginal_a,marginal_b,n_both,n_total
INE,CARABINEROS,52630,2539510,17516,14081161
CHILECOMPRA,CARABINEROS,542520,2539510,155338,14081161
INE,SUBSEC_EDUCACION,52630,1287858,10358,14081161
IPS,SUBSEC_EVAL_SOCIAL,4874902,6124946,2793325,14081161
SGD,FONASA,6246166,6335323,3298985,14081161
