inst_a,inst_b,marginal_a,marginal_b,n_both,n_total
FONASA,SUBSEC_EVAL_SOCIAL,6335323,6124946,3289158,14081161
MDS,FONASA,6365083,6335323,3775699,14081161
MDS,SUBSEC_EVAL_SOCIAL,6365083,6124946,4124191,14081161
SII,FONASA,7051586,6335323,3912392,14081161
FONASA,CARABINEROS,6335323,2539510,1496382,14081161
