grupo_a,grupo_b,mes,co_uso
AFC,Registro Social de Hogares (servicio),2024-05-01 00:00:00,89372
AFC,Registro Social de Hogares (servicio),2024-06-01 00:00:00,104638
AFC,Registro Social de Hogares (servicio),2024-07-01 00:00:00,149826
AFC,Registro Social de Hogares (servicio),2024-08-01 00:00:00,90691
AFC,Registro Social de Hogares (servicio),2024-09-01 00:00:00,78705
AFC,Registro Social de Hogares (servicio),2024-10-01 00:00:00,118443
AFC,Registro Social de Hogares (servicio),2024-11-01 00:00:00,78664
AFC,Registro Social de Hogares (servicio),2024-12-01 00:00:00,70552
AFC,Registro Social de Hogares (servicio),2025-01-01 00:00:00,130164
AFC,Registro Social de Hogares (servicio),2025-02-01 00:00:00,95761
AFC,Registro Social de Hogares (servicio),2025-03-01 00:00:00,136275
AFC,Registro Social de Hogares (servicio),2025-04-01 00:00:00,94820
AFC,Registro Social de Hogares (servicio),2025-05-01 00:00:00,58954
AFC,Registro Social de Hogares (servicio),2025-06-01 00:00:00,5004
AFC,Registro Social de Hogares (servicio),2025-07-01 00:00:00,100
AFC,Registro Social de Hogares (servicio),2025-08-01 00:00:00,97
AFC,Registro Social de Hogares (servicio),2025-09-01 00:00:00,43
AFC,Registro Social de Hogares (servicio),2025-10-01 00:00:00,37
AFC,Registro Social de Hogares (servicio),2025-11-01 00:00:00,19
AFC,Registro Social de Hogares (servicio),2025-12-01 00:00:00,17
AFC,Servicio de Impuestos Internos,2024-01-01 00:00:00,136798
AFC,Servicio de Impuestos Internos,2024-02-01 00:00:00,124687
AFC,Servicio de Impuestos Internos,2024-03-01 00:00:00,180173
AFC,Servicio de Impuestos Internos,2024-04-01 00:00:00,305871
AFC,Servicio de Impuestos Internos,2024-05-01 00:00:00,210395
AFC,Servicio de Impuestos Internos,2024-06-01 00:00:00,172281
AFC,Servicio de Impuestos Internos,2024-07-01 00:00:00,162093
AFC,Servicio de Impuestos Internos,2024-08-01 00:00:00,138378
AFC,Servicio de Impuestos Internos,2024-09-01 00:00:00,196888
AFC,Servicio de Impuestos Internos,2024-10-01 00:00:00,206450
AFC,Servicio de Impuestos Internos,2024-11-01 00:00:00,211989
AFC,Servicio de Impuestos Internos,2024-12-01 00:00:00,197779
AFC,Servicio de Impuestos Internos,2025-01-01 00:00:00,207439
AFC,Servicio de Impuestos Internos,2025-02-01 00:00:00,175759
AFC,Servicio de Impuestos Internos,2025-03-01 00:00:00,248227
AFC,Servicio de Impuestos Internos,2025-04-01 00:00:00,378345
AFC,Servicio de Impuestos Internos,2025-05-01 00:00:00,223854
AFC,Servicio de Impuestos Internos,2025-06-01 00:00:00,182165
AFC,Servicio de Impuestos Internos,2025-07-01 00:00:00,185642
AFC,Servicio de Impuestos Internos,2025-08-01 00:00:00,189130
AFC,Servicio de Impuestos Internos,2025-09-01 00:00:00,110972
AFC,Servicio de Impuestos Internos,2025-10-01 00:00:00,67534
AFC,Servicio de Impuestos Internos,2025-11-01 00:00:00,79114
AFC,Servicio de Impuestos Internos,2025-12-01 00:00:00,58619
AFC,Ventanilla Única Social (servicio),2025-05-01 00:00:00,62868
AFC,Ventanilla Única Social (servicio),2025-06-01 00:00:00,121120
AFC,Ventanilla Única Social (servicio),2025-07-01 00:00:00,134880
AFC,Ventanilla Única Social (servicio),2025-08-01 00:00:00,105864
AFC,Ventanilla Única Social (servicio),2025-09-01 00:00:00,69047
AFC,Ventanilla Única Social (servicio),2025-10-01 00:00:00,89220
AFC,Ventanilla Única Social (servicio),2025-11-01 00:00:00,60128
AFC,Ventanilla Única Social (servicio),2025-12-01 00:00:00,73131
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-01-01 00:00:00,1352
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-02-01 00:00:00,5189
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-03-01 00:00:00,5543
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-04-01 00:00:00,1971
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-05-01 00:00:00,1591
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-06-01 00:00:00,1161
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-07-01 00:00:00,1061
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-08-01 00:00:00,1326
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-09-01 00:00:00,1753
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-10-01 00:00:00,19004
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-11-01 00:00:00,4033
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2024-12-01 00:00:00,3615
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-01-01 00:00:00,3626
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-02-01 00:00:00,7847
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-03-01 00:00:00,9301
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-04-01 00:00:00,1788
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-05-01 00:00:00,2153
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-06-01 00:00:00,1575
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-07-01 00:00:00,1612
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-08-01 00:00:00,1823
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-09-01 00:00:00,2016
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-10-01 00:00:00,20712
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-11-01 00:00:00,4080
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),2025-12-01 00:00:00,2393
Comisión para el Mercado Financiero,Ministerio Público,2024-01-01 00:00:00,5713
Comisión para el Mercado Financiero,Ministerio Público,2024-02-01 00:00:00,6515
Comisión para el Mercado Financiero,Ministerio Público,2024-03-01 00:00:00,7842
Comisión para el Mercado Financiero,Ministerio Público,2024-04-01 00:00:00,7836
Comisión para el Mercado Financiero,Ministerio Público,2024-05-01 00:00:00,8449
Comisión para el Mercado Financiero,Ministerio Público,2024-06-01 00:00:00,8556
Comisión para el Mercado Financiero,Ministerio Público,2024-07-01 00:00:00,11354
Comisión para el Mercado Financiero,Ministerio Público,2024-08-01 00:00:00,10364
Comisión para el Mercado Financiero,Ministerio Público,2024-09-01 00:00:00,10386
Comisión para el Mercado Financiero,Ministerio Público,2024-10-01 00:00:00,12631
Comisión para el Mercado Financiero,Ministerio Público,2024-11-01 00:00:00,12813
Comisión para el Mercado Financiero,Ministerio Público,2024-12-01 00:00:00,11111
Comisión para el Mercado Financiero,Ministerio Público,2025-01-01 00:00:00,13476
Comisión para el Mercado Financiero,Ministerio Público,2025-02-01 00:00:00,11944
Comisión para el Mercado Financiero,Ministerio Público,2025-03-01 00:00:00,15534
Comisión para el Mercado Financiero,Ministerio Público,2025-04-01 00:00:00,15865
Comisión para el Mercado Financiero,Ministerio Público,2025-05-01 00:00:00,16022
Comisión para el Mercado Financiero,Ministerio Público,2025-06-01 00:00:00,16338
Comisión para el Mercado Financiero,Ministerio Público,2025-07-01 00:00:00,19437
Comisión para el Mercado Financiero,Ministerio Público,2025-08-01 00:00:00,19094
Comisión para el Mercado Financiero,Ministerio Público,2025-09-01 00:00:00,17141
Comisión para el Mercado Financiero,Ministerio Público,2025-10-01 00:00:00,20112
Comisión para el Mercado Financiero,Ministerio Público,2025-11-01 00:00:00,18411
Comisión para el Mercado Financiero,Ministerio Público,2025-12-01 00:00:00,14184
Comisión para el Mercado Financiero,Poder Judicial,2024-01-01 00:00:00,47216
Comisión para el Mercado Financiero,Poder Judicial,2024-02-01 00:00:00,60377
Comisión para el Mercado Financiero,Poder Judicial,2024-03-01 00:00:00,64098
Comisión para el Mercado Financiero,Poder Judicial,2024-04-01 00:00:00,67109
Comisión para el Mercado Financiero,Poder Judicial,2024-05-01 00:00:00,71851
Comisión para el Mercado Financiero,Poder Judicial,2024-06-01 00:00:00,68174
Comisión para el Mercado Financiero,Poder Judicial,2024-07-01 00:00:00,86818
Comisión para el Mercado Financiero,Poder Judicial,2024-08-01 00:00:00,80236
Comisión para el Mercado Financiero,Poder Judicial,2024-09-01 00:00:00,80674
Comisión para el Mercado Financiero,Poder Judicial,2024-10-01 00:00:00,91545
Comisión para el Mercado Financiero,Poder Judicial,2024-11-01 00:00:00,86424
Comisión para el Mercado Financiero,Poder Judicial,2024-12-01 00:00:00,75473
Comisión para el Mercado Financiero,Poder Judicial,2025-01-01 00:00:00,89606
Comisión para el Mercado Financiero,Poder Judicial,2025-02-01 00:00:00,78340
Comisión para el Mercado Financiero,Poder Judicial,2025-03-01 00:00:00,96760
Comisión para el Mercado Financiero,Poder Judicial,2025-04-01 00:00:00,96481
Comisión para el Mercado Financiero,Poder Judicial,2025-05-01 00:00:00,94473
