inst_origen,inst_destino,soporte_total,n_pares_servicio,peso,frac_prom_ponderada
CORPORACION NACIONAL DE DESARROLLO INDIGENA,SUBSECRETARIA DE REDES ASISTENCIALES,20869,1,17761.0,0.8510709665053429
CONTRALORIA,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,20341,1,19369.999999999996,0.9522639004965339
COMISION PARA EL MERCADO FINANCIERO,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,19664,1,17000.0,0.8645240032546786
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",AFP MODELO,19574,1,16991.0,0.8680392357208542
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,19451,1,17488.0,0.8990797388309084
SUBSECRETARIA DE REDES ASISTENCIALES,CONTRALORIA GENERAL DE LA REPUBLICA,18895,1,16638.0,0.8805504101614183
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,DIRECCION DE EDUCACION PUBLICA,18292,1,16862.0,0.9218237480865953
SERVICIO AGRICOLA Y GANADERO,SUPERINTENDENCIA DE PENSSIONES,17575,1,15909.000000000004,0.9052062588904696
SECRETARIA DE GOBIERNO DIGITAL,ILUSTRE MUNICIPALIDAD DE PENALOLEN,17473,1,15296.0,0.8754077719910719
SERVICIO AGRICOLA Y GANADERO,CORPORACION NACIONAL DE DESARROLLO INDIGENA,17296,1,14913.0,0.862222479185939
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",ILUSTRE MUNICIPALIDAD DE PENALOLEN,16670,1,15131.999999999998,0.907738452309538
ACEPTA.COM S.A.,COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,16618,1,14642.0,0.8810927909495727
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,JUNTA NACIONAL DE JARDINES INFANTILES,16487,1,15535.0,0.9422575362406744
SERVICIO CIVIL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,16436,1,14608.0,0.888780725237284
COMISION PARA EL MERCADO FINANCIERO,ILUSTRE MUNICIPALIDAD DE PENALOLEN,16366,1,14479.0,0.884699987779543
PODER JUDICIAL,E-DIGITAL PKI SPA.,16323,1,13994.0,0.8573178949947926
CONTRALORIA,SERVICIO ELECTORAL,15942,1,15473.0,0.9705808556015556
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE REDES ASISTENCIALES,15551,1,13462.0,0.8656678027136518
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE VIVIENDA Y URBANISMO,15043,1,15017.000000000002,0.998271621352124
ACEPTA.COM S.A.,SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,14846,1,13642.999999999998,0.918968072208002
