proveedora,dueña,n_procedimientos_cpat,soporte,marginal_proveedora,marginal_dueña,lift,frac_direccion_esperada,proveedora_antes,dueña_antes,mismo_dia
Servicio de Registro Civil e Identificación,Corporación Nacional de Desarrollo Indígena,9,353581,9820357,438899,1.1551423771684663,0.693396579846802,240610,106392,6579
Servicio de Tesorerías,Servicio Agrícola y Ganadero,1,342817,1972259,1248989,1.9596488371470553,0.5138502090900855,175838,166359,620
Subsecretaría de Transportes,Servicio de Tesorerías,1,340496,1447843,1972259,1.6790555367989468,0.3288341418279961,111239,227044,2213
Servicio Nacional de Capacitación y Empleo,Dirección Nacional del Servicio Civil,1,328354,3266962,737238,1.9196806180904096,0.49751188457368434,161064,162675,4615
Servicio de Registro Civil e Identificación,Subsecretaría de Desarrollo Regional y Administrativo,11,326449,9820357,378710,1.2360036626236142,0.7202487935788852,234029,90899,1521
Superintendencia de Salud,Fondo Nacional de Salud,4,301985,456242,6335323,1.4711596722004852,0.2715300390836191,65792,176509,59684
Subsecretaría de Educación,Subsecretaría de Salud Pública,11,297841,1287858,2300001,1.4158816084525603,0.47748976807639837,141750,155115,976
Servicio Agrícola y Ganadero,Subsecretaría de Salud Pública,5,275838,1248989,2300001,1.3520909969970556,0.5346675677836157,147148,128066,624
Servicio de Impuestos Internos,Corporación Nacional de Desarrollo Indígena,3,269461,7051586,438899,1.2259788643331204,0.6361003210813481,169980,97242,2239
Subsecretaría de Economía y Empresas de Menor Tamaño,Servicio Nacional de Capacitación y Empleo,1,263118,996716,3266962,1.1378198618778717,0.4458966611731673,116882,145246,990
Dirección General de Movilización Nacional,Instituto de Previsión Social,1,261823,702113,4931820,1.0647117014367569,0.4308550764551627,107946,142593,11284
Ministerio Público,Servicio de Tesorerías,1,260410,1019668,1972259,1.8233640378111846,0.3323965736212068,86107,172942,1361
Dirección General de Movilización Nacional,Carabineros de Chile,2,254335,702113,2539510,2.0085731444893136,0.5843528523530797,143960,102398,7977
Dirección Nacional del Servicio Civil,Subsecretaría de Salud Pública,1,240602,737238,2300001,1.9980297943419785,0.5380544260243979,129012,110763,827
Dirección de Compras y Contratación Pública,Subsecretaría de Evaluación Social,1,233849,542520,6125255,0.9909096427323013,0.7180085636568015,167352,65726,771
Servicio de Registro Civil e Identificación,Defensoría Penal Pública,3,225443,9820357,250764,1.2890885602570725,0.713185983238851,156754,63040,5649
Servicio de Registro Civil e Identificación,Superintendencia de Pensiones,3,221140,9820357,264497,1.1988303878160604,0.8098669492523255,171955,40370,8815
Subsecretaría de Educación,Subsecretaría de Transportes,1,220061,1287858,1447843,1.6618510484629094,0.5857530726969579,128581,90933,547
Dirección General de Movilización Nacional,Dirección Nacional del Servicio Civil,1,202710,702113,737238,5.514408198541371,0.2640956797656822,38952,108540,55218
Servicio de Registro Civil e Identificación,Instituto de Seguridad Laboral,4,199324,9820357,226514,1.261757028813202,0.751461087316016,146323,48395,4606
Servicio de Registro Civil e Identificación,Universidad de La Frontera,2,199016,9820357,201482,1.416325022736629,0.9041133219957509,179160,19001,855
Subsecretaría de Evaluación Social,Subsecretaría de Desarrollo Regional y Administrativo,1,192453,6125255,378710,1.1682403518003164,0.4112387318105745,78876,112925,652
Subsecretaría de Economía y Empresas de Menor Tamaño,Subsecretaría de Transportes,59,175381,996716,1447843,1.7113077040587066,0.6192020406529174,108265,66581,535
Dirección Nacional del Servicio Civil,Subsecretaría de Redes Asistenciales,1,173008,737238,1442522,2.2907331048973667,0.515336460494882,88659,83382,967
Servicio de Registro Civil e Identificación,Caja de Previsión de la Defensa Nacional,3,166296,9820357,222671,1.070851702903625,0.5592458835771561,91364,72006,2926
Contraloría General de la República,Subsecretaría de Salud Pública,1,159205,424886,2300001,2.29400690631654,0.46783799316656033,74077,84262,866
Fondo Nacional de Salud,Instituto de Seguridad Laboral,2,156895,6335323,226514,1.5395144034921922,0.7106301735827673,105336,42893,8666
Superintendencia de Seguridad Social,Subsecretaría de Energía,2,151491,1395422,1517217,1.007562581830884,0.6046824026098637,91379,59740,372
Superintendencia de Salud,Subsecretaría de Salud Pública,2,150036,456242,2300001,2.013310016098828,0.4202368985845853,61874,85362,2800
Servicio de Registro Civil e Identificación,Subsecretaría de Servicios Sociales,4,142918,9820357,168968,1.2128124725711582,0.7589730632641316,108140,34342,436
Comisión para el Mercado Financiero,Superintendencia de Pensiones,1,138994,4329895,264497,1.7089777249332565,0.7255576517589613,98070,37095,3829
Superintendencia de Pensiones,Comisión para el Mercado Financiero,2,138994,264497,4329895,1.7089777249332565,0.27444234824103875,37095,98070,3829
Servicio de Impuestos Internos,Caja de Previsión de la Defensa Nacional,3,138952,7051586,222671,1.2460997242161571,0.5134558980277425,69849,66188,2915
Contraloría General de la República,Dirección Nacional del Servicio Civil,2,137426,424886,737238,6.177706002842298,0.4011899266553829,54754,81725,947
Instituto de Previsión Social,Superintendencia de Pensiones,1,135426,4931820,264497,1.4618827694089072,0.7347414860189799,92598,33430,9398
Subsecretaría de Educación,Dirección Nacional del Servicio Civil,2,133423,1287858,737238,1.9787615972912993,0.4431025594371664,58447,73457,1519
Dirección de Compras y Contratación Pública,Dirección Nacional del Servicio Civil,1,131293,542520,737238,4.62228341474105,0.44352629940865235,57002,71518,2773
Servicio de Impuestos Internos,Superintendencia de Insolvencia y Reemprendimiento,1,127434,7051586,144777,1.7576702395357253,0.7841713809373508,96893,26668,3873
Superintendencia de Insolvencia y Reemprendimiento,Comisión para el Mercado Financiero,15,123178,144777,4329895,2.766907715954894,0.22244092788756226,25766,90067,7345
Subsecretaría de Educación,Servicio Agrícola y Ganadero,1,116924,1287858,1248989,1.023565253770709,0.44753041497932383,52272,64529,123
Servicio de Registro Civil e Identificación,Gendarmería de Chile,13,105731,9820357,119626,1.2673248381638138,0.6724536345345525,67513,32885,5333
Superintendencia de Salud,Subsecretaría de Redes Asistenciales,2,101965,456242,1442522,2.181583699651526,0.41427034925015727,40828,57726,3411
Servicio de Registro Civil e Identificación,Dirección de Previsión de Carabineros de Chile,3,100154,9820357,131194,1.0946253802939823,0.48920671945655064,47818,49928,2408
Subsecretaría de Salud Pública,Corporación Nacional de Desarrollo Indígena,1,99555,2300001,438899,1.3887015640572475,0.518656867100109,51374,47678,503
Subsecretaría de Educación,Subsecretaría de Economía y Empresas de Menor Tamaño,1,96669,1287858,996716,1.0604404372795864,0.5089307027285087,49037,47316,316
Servicio Nacional de Aduanas,Servicio de Registro Civil e Identificación,1,93783,102565,9820357,1.3111009283747452,0.2090579789207236,19161,72493,2129
Servicio de Registro Civil e Identificación,Servicio Nacional de Aduanas,4,93783,9820357,102565,1.3111009283747452,0.7909420210792764,72493,19161,2129
Contraloría General de la República,Subsecretaría de Redes Asistenciales,1,93729,424886,1442522,2.153364658352657,0.43102432545335745,40240,53119,370
Servicio de Registro Civil e Identificación,Subsecretaría de Telecomunicaciones,14,87481,9820357,99831,1.2564913568568896,0.744767502400759,64371,22060,1050
Subsecretaría de Desarrollo Regional y Administrativo,Servicio Agrícola y Ganadero,1,86724,378710,1248989,2.5817392560489423,0.39244743582107333,32944,51001,2779
Superintendencia de Electricidad y Combustibles,Servicio Nacional de Capacitación y Empleo,1,81035,240378,3266962,1.4530223688505537,0.39491358578495506,31693,48560,782
Servicio de Registro Civil e Identificación,Superintendencia de Educación,1,79089,9820357,85772,1.3221530633096301,0.8110984271943176,63947,14893,249
Servicio de Registro Civil e Identificación,Servicio Nacional de Pesca y Acuicultura,10,78720,9820357,95903,1.1769664431634013,0.6929561657462792,54334,24075,311
Servicio de Impuestos Internos,Subsecretaría de Telecomunicaciones,7,77277,7051586,99831,1.545740156920557,0.7330625064894611,56481,20567,229
Superintendencia de Pensiones,Subsecretaría de Salud Pública,1,73908,264497,2300001,1.7107286902824963,0.32874567331465304,23934,48870,1104
Servicio de Registro Civil e Identificación,Subsecretaría General de Gobierno,1,72431,9820357,80788,1.2855495258804774,0.7259634098871156,52220,19712,499
Superintendencia de Salud,Dirección Nacional del Servicio Civil,1,71331,456242,737238,2.986165007231295,0.4070324005891016,28743,41873,715
Superintendencia de Insolvencia y Reemprendimiento,Servicio de Tesorerías,1,67540,144777,1972259,3.330703709428867,0.33829674086454453,22265,43550,1725
Servicio de Impuestos Internos,Superintendencia de Educación,2,67049,7051586,85772,1.560983905529007,0.7658693377186425,51229,15661,159
Servicio de Impuestos Internos,Servicio Nacional de Pesca y Acuicultura,10,66168,7051586,95903,1.3777406496236302,0.6748301589227224,44501,21443,224
Policía de Investigaciones de Chile,Servicio de Registro Civil e Identificación,1,65850,74238,9820357,1.2718640857224532,0.24860490211191613,16127,48743,980
Servicio de Registro Civil e Identificación,Corporación de Fomento de la Producción,9,62537,9820357,69677,1.2869414479046741,0.7114322414900449,44308,17972,257
Servicio de Impuestos Internos,Subsecretaría General de Gobierno,1,61792,7051586,80788,1.5273446660224563,0.695275886281618,42578,18661,553
Servicio de Impuestos Internos,Instituto de Desarrollo Agropecuario,2,60046,7051586,74533,1.6087447290120764,0.7033475476063049,40740,17183,2123
Superintendencia de Electricidad y Combustibles,Subsecretaría de Salud Pública,8,59830,240378,2300001,1.52382370291484,0.43576682696335517,26007,33674,149
Poder Judicial,Gendarmería de Chile,2,58547,3246394,119626,2.1228353069938297,0.6224589276042607,34478,20912,3157
Instituto de Previsión Social,Dirección de Previsión de Carabineros de Chile,1,58473,4931820,131194,1.2725435361080237,0.38935428201625083,21659,33969,2845
Servicio de Impuestos Internos,Corporación de Fomento de la Producción,7,57045,7051586,69677,1.6348571018446711,0.7172248297279176,40648,16026,371
Contraloría General de la República,Subsecretaría de Educación,2,55023,424886,1287858,1.4159317763229422,0.46296804404690045,25310,29359,354
Servicio de Registro Civil e Identificación,Instituto Nacional de Estadísticas,4,51252,9820357,52630,1.3963318219671104,0.861421919521857,37185,5982,8085
Carabineros de Chile,Dirección de Previsión de Carabineros de Chile,5,50948,2539510,131194,2.1532859336622323,0.3081604916385984,15645,35124,179
Corporación Nacional de Desarrollo Indígena,Subsecretaría de Transportes,2,50672,438899,1447843,1.1228466511405146,0.6858345852771408,34695,15893,84
Servicio de Registro Civil e Identificación,Ejército de Chile,1,49634,9820357,64725,1.0995586651096296,0.6747451043858229,33354,16078,202
Policía de Investigaciones de Chile,Servicio de Impuestos Internos,1,49069,74238,7051586,1.3198743874379246,0.30334826450675995,14831,34060,178
Instituto Nacional de Estadísticas,Servicio de Impuestos Internos,1,47671,52630,7051586,1.8087250337715202,0.6852934353978195,29543,13567,4561
Subsecretaría de Educación,Subsecretaría de Servicios Sociales,2,45485,1287858,168968,2.9432978928821383,0.5300916074988241,23667,20980,838
Servicio de Impuestos Internos,Ejército de Chile,1,44429,7051586,64725,1.370711752625763,0.6889496767192658,30475,13759,195
Comisión para el Mercado Financiero,Corporación de Fomento de la Producción,2,43179,4329895,69677,2.0153210257748775,0.6166914567258529,26535,16493,151
Carabineros de Chile,Gendarmería de Chile,1,42914,2539510,119626,1.9891244350135178,0.37273589378852534,15722,26458,734
Instituto Nacional de Propiedad Industrial,Servicio Agrícola y Ganadero,3,42059,161819,1248989,2.930281074924201,0.39035714285714285,16395,25605,59
Fondo Nacional de Salud,Corporación de Fomento de la Producción,1,41483,6335323,69677,1.3232759372857528,0.6518964391906592,26967,14400,116
Universidad de Chile,Servicio Agrícola y Ganadero,1,37528,144841,1248989,2.9210820498067425,0.37590033612548684,14091,23395,42
Dirección del Trabajo,Subsecretaría de Telecomunicaciones,1,36941,3044807,99831,1.7112833346892569,0.6345720567876435,23377,13462,102
Subsecretaría de Economía y Empresas de Menor Tamaño,Corporación Nacional de Desarrollo Indígena,1,36502,996716,438899,1.174949237128642,0.49453032432283484,17947,18344,211
Servicio Nacional de Aduanas,Servicio de Tesorerías,2,34842,102565,1972259,2.425372279925867,0.34820936639118455,12008,22477,357
Servicio de Registro Civil e Identificación,Subsecretaría de Previsión Social,2,34703,9820357,48279,1.0306707291690547,0.8142160561908631,28053,6401,249
Superintendencia de Pensiones,Servicio Agrícola y Ganadero,1,33965,264497,1248989,1.4477404841128314,0.2956588370516637,10032,23899,34
Dirección General de Movilización Nacional,Corporación Nacional de Desarrollo Indígena,1,33369,702113,438899,1.52479005385078,0.5008808699349979,16490,16432,447
Dirección del Trabajo,Corporación de Fomento de la Producción,6,32914,3044807,69677,2.184589872758793,0.6050373988704014,19818,12937,159
Superintendencia de Educación,Subsecretaría de Salud Pública,2,32500,85772,2300001,2.3197878172828235,0.3836994076999013,12438,19978,84
Servicio de Impuestos Internos,Subsecretaría de Previsión Social,1,32365,7051586,48279,1.338656042281856,0.8462534748546879,26789,4867,709
Servicio Nacional de Aduanas,Subsecretaría de Salud Pública,3,32279,102565,2300001,1.9267764378439745,0.3534367221903121,11076,20262,941
Subsecretaría de Economía y Empresas de Menor Tamaño,Corporación de Fomento de la Producción,1,30473,996716,69677,6.178638729340877,0.6477408637873754,19497,10603,373
Dirección General de Movilización Nacional,Subsecretaría de Desarrollo Regional y Administrativo,5,29899,702113,378710,1.5833660911348464,0.5452016223644957,16265,13568,66
Servicio de Registro Civil e Identificación,Dirección General de Aeronáutica Civil,10,29296,9820357,31437,1.3362213912559868,0.736996030917067,21168,7554,574
Subsecretaría de Hacienda,Subsecretaría de Evaluación Social,1,28619,49783,6125255,1.3215624212897368,0.23692448383806408,6736,21695,188
Servicio de Registro Civil e Identificación,Servicio Nacional de la Discapacidad,6,28336,9820357,34312,1.1841417640661467,0.690339892665474,19295,8655,386
Superintendencia de Electricidad y Combustibles,Dirección Nacional del Servicio Civil,1,28180,240378,737238,2.2391182164179555,0.38117714367446187,10660,17306,214
Dirección del Trabajo,Servicio Nacional de Pesca y Acuicultura,3,27767,3044807,95903,1.3389842302848693,0.600064988987977,16620,11077,70
Servicio de Tesorerías,Corporación de Fomento de la Producción,5,27367,1972259,69677,2.804221187047433,0.6244491774383079,17005,10227,135
Corporación de Fomento de la Producción,Servicio de Tesorerías,1,27367,69677,1972259,2.804221187047433,0.37555082256169214,10227,17005,135
