inst_origen,inst_destino,soporte_total,n_pares_servicio,frac_prom_ponderada
SUBSECRETARIA DE REDES ASISTENCIALES,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,6928,2,0.9708429561200925
GENDARMERIA DE CHILE,SUBSECRETARIA DE TRANSPORTES,6893,2,0.8804584360945887
GENDARMERIA DE CHILE,CARABINEROS DE CHILE,6831,2,0.8874249743814961
CONTRALORIA GENERAL DE LA REPUBLICA,SERVICIO ELECTORAL,6829,2,0.8786059452335627
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,SUBSECRETARIA DE HACIENDA,6737,2,0.9240017812082529
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",DIRECCION DEL TRABAJO,6715,2,0.8768428890543559
INSTITUTO NACIONAL DE ESTADISTICAS,CORPORACION NACIONAL DE DESARROLLO INDIGENA,6684,2,0.8994614003590664
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,6677,2,0.8872248015575858
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE VIVIENDA Y URBANISMO,6547,2,0.9240873682602719
ACEPTA.COM S.A.,POLICIA DE INVESTIGACIONES DE CHILE,6382,2,0.8874960827326857
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,SUBSECRETARIA DE REDES ASISTENCIALES,6282,2,0.9113339700732249
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE BIENES NACIONALES,6240,2,0.987820512820513
SUBSECRETARIA DE EDUCACION,SERVICIO ELECTORAL,6150,2,0.9442276422764228
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,AFP UNO,6131,2,0.9846680802479205
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,SUBSECRETARIA DE EVALUACION SOCIAL,6122,2,0.868343678536426
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUBSECRETARIA DE TRANSPORTES,5579,2,0.8700483957698513
INSTITUTO DE PREVISION SOCIAL,MUNICIPALIDAD DE COLINA,5281,2,0.9952660480969513
SECRETARIA DE GOBIERNO DIGITAL,DOCDIGITAL,5268,2,0.8900911161731208
CONTRALORIA,FONDO NACIONAL DE SALUD,5262,2,0.8806537438236413
FONDO NACIONAL DE SALUD,MUNICIPALIDAD DE LO BARNECHEA,5183,2,0.9401890796835811
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,E-DIGITAL PKI SPA.,5179,2,0.9990345626568836
ACEPTA.COM S.A.,FONDO NACIONAL DE SALUD,5113,2,0.998630940739292
SERVICIO AGRICOLA Y GANADERO,FONDO DE SOLIDARIDAD E INVERSION SOCIAL,4996,2,0.9547638110488391
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,CONTRALORIA GENERAL DE LA REPUBLICA,4941,2,0.8888888888888888
SERVICIO CIVIL,SUBSECRETARIA DE EDUCACION,4918,2,0.8745424969499797
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,4790,2,0.9455114822546973
DIRECCION GENERAL DE MOVILIZACION NACIONAL,SERVICIO DE IMPUESTOS INTERNOS,4766,2,0.8873268988669744
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE HACIENDA,4731,2,0.9997886281969985
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,CONTRALORIA GENERAL DE LA REPUBLICA,4663,2,0.897490885695904
FONDO NACIONAL DE SALUD,MUNICIPALIDAD DE PADRE HURTADO,4563,2,0.9097085250931405
MINISTERIO DE DESARROLLO SOCIAL,MUNICIPALIDAD DE ANTOFAGASTA,4547,2,0.9505168242797449
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE JUSTICIA,4540,2,1.0
ACEPTA.COM S.A.,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,4527,2,0.9520653854649879
INSTITUTO DE PREVISION SOCIAL,JUNTA NACIONAL DE JARDINES INFANTILES,4490,2,0.9256124721603564
MINISTERIO DE DESARROLLO SOCIAL,MUNICIPALIDAD DE SAN CLEMENTE,4461,2,0.9757901815736382
SUBSECRETARIA DE TRANSPORTES,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,4438,2,0.901982875168995
DIRECCION NACIONAL DEL SERVICIO CIVIL,MINISTERIO PUBLICO,4203,2,0.8512966928384488
SUBSECRETARIA DEL TRABAJO,SUBSECRETARIA DE HACIENDA,4032,2,0.9370039682539683
MINISTERIO DE DESARROLLO SOCIAL,MUNICIPALIDAD DE CORONEL,3895,2,0.9961489088575096
INSTITUTO DE PREVISION SOCIAL,MUNICIPALIDAD DE QUILICURA,3885,2,0.8908622908622909
SUBSECRETARIA DE EDUCACION,FONDO DE SOLIDARIDAD E INVERSION SOCIAL,3819,2,0.9332285938727416
SERVICIO DE IMPUESTOS INTERNOS,FUERZA AEREA DE CHILE,3724,2,0.8993018259935553
CONTRALORIA GENERAL DE LA REPUBLICA,DOCDIGITAL,3715,2,0.8732166890982503
FONDO NACIONAL DE SALUD,INSTITUTO DE SALUD PUBLICA DE CHILE,3657,2,0.9127700300793
CONTRALORIA GENERAL DE LA REPUBLICA,SUBSECRETARIA DE EVALUACION SOCIAL,3634,2,0.9823885525591635
COMISION ADMINISTRADORA DE SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,MINISTERIO PUBLICO,3633,2,0.8687035507844756
SUBSECRETARIA DE EVALUACION SOCIAL,SUBSECRETARIA DE HACIENDA,3594,2,0.9666110183639399
SUBSECRETARIA DE JUSTICIA,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,3575,2,0.9191608391608391
INSTITUTO NACIONAL DE ESTADISTICAS,SUPERINTENDENCIA DE PENSSIONES,3556,2,0.890326209223847
INSTITUTO NACIONAL DE ESTADISTICAS,SUPERINTENDENCIA DE SEGURIDAD SOCIAL,3542,2,0.8783173348390739
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,3479,2,0.9514228226501869
DIRECCION NACIONAL DEL SERVICIO CIVIL,FONDO NACIONAL DE SALUD,3451,2,0.8736598087510866
SUBSECRETARIA DE TELECOMUNICACIONES,SERVICIO ELECTORAL,3426,2,0.9460011675423234
SUBSECRETARIA DE VIVIENDA Y URBANISMO,CAJA DE PREVISION DE LA DEFENSA NACIONAL,3396,2,0.9808598351001178
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,MINISTERIO PUBLICO,3384,2,0.9252364066193854
ACEPTA.COM S.A.,MUNICIPALIDAD DE PUENTE ALTO,3300,2,0.9254545454545454
ACEPTA.COM S.A.,SUBSECRETARIA DE PREVISION SOCIAL,3253,2,0.9379034737165693
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,3224,2,0.9376550868486352
FONDO NACIONAL DE SALUD,MUNICIPALIDAD DE VALDIVIA,3215,2,0.8780715396578538
SERVICIO DE COOPERACION TECNICA,SUBSECRETARIA DE HACIENDA,3118,2,0.9445157152020526
INSTITUTO NACIONAL DE ESTADISTICAS,UNIVERSIDAD DE CHILE,3073,2,0.9306866254474455
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,DOCDIGITAL,3036,2,1.0
MINISTERIO DE DESARROLLO SOCIAL,SERVICIO DE SALUD MAULE,3002,2,0.9463690872751499
SUBSECRETARIA DE SALUD PUBLICA,MINISTERIO PUBLICO,2997,2,0.8748748748748749
MINISTERIO DE DESARROLLO SOCIAL,MINISTERIO DEL MEDIO AMBIENTE,2984,2,0.8592493297587132
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",MUNICIPALIDAD DE VALDIVIA,2964,2,0.8974358974358975
CONTRALORIA GENERAL DE LA REPUBLICA,MINISTERIO PUBLICO,2941,2,0.9367562053723223
SUBSECRETARIA DE TELECOMUNICACIONES,CARABINEROS DE CHILE,2903,2,0.9211160868067518
ACEPTA.COM S.A.,JUNTA NACIONAL DE JARDINES INFANTILES,2864,2,0.9182960893854749
INSTITUTO NACIONAL DE ESTADISTICAS,COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,2844,2,0.8590014064697609
CONTRALORIA GENERAL DE LA REPUBLICA,CARABINEROS DE CHILE,2810,2,0.9113879003558719
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA GENERAL DE GOBIERNO,2692,2,0.9153046062407132
SERVICIO DE EVALUACION AMBIENTAL,MINISTERIO PUBLICO,2671,2,0.8584799700486709
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE SERVICIOS SOCIALES,2639,2,0.9298976885183782
SUBSECRETARIA DE TELECOMUNICACIONES,SUBSECRETARIA DE SALUD PUBLICA,2595,2,0.8820809248554913
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE PREVISION SOCIAL,2474,2,0.9248181083265966
SUBSECRETARIA DE VIVIENDA Y URBANISMO,SUBSECRETARIA DE PREVISION SOCIAL,2458,2,0.983726606997559
INSTITUTO NACIONAL DE ESTADISTICAS,"MINISTERIO DE LAS CULTURAS, LAS ARTES Y EL PATRIMONIO",2448,2,0.8700980392156863
INSTITUTO NACIONAL DE ESTADISTICAS,AFP UNO,2343,2,1.0
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE TRANSPORTES,2338,2,0.9482463644140291
SERVICIO DE IMPUESTOS INTERNOS,MUNICIPALIDAD DE QUILICURA,2321,2,0.8970271434726411
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,SUBSECRETARIA DE HACIENDA,2283,2,0.9434954007884363
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE TELECOMUNICACIONES,2279,2,0.9192628345765687
SECRETARIA DE GOBIERNO DIGITAL,SERVICIO DE IMPUESTOS INTERNOS,2276,2,0.8945518453427065
CARABINEROS DE CHILE,SUBSECRETARIA DE PREVISION SOCIAL,2266,2,0.9691085613415711
CONTRALORIA GENERAL DE LA REPUBLICA,SUBSECRETARIA DE VIVIENDA Y URBANISMO,2128,2,0.8975563909774437
ACEPTA.COM S.A.,SUBSECRETARIA DE BIENES NACIONALES,2089,2,0.9736716132120632
MUNICIPALIDAD DE NUNOA,FONDO NACIONAL DE SALUD,2042,2,1.0
SUBSECRETARIA DE TELECOMUNICACIONES,SUBSECRETARIA DE VIVIENDA Y URBANISMO,1977,2,0.9468892261001516
MINISTERIO DE DESARROLLO SOCIAL,DIRECCION DEL TRABAJO,1937,2,0.9173980382034074
INSTITUTO NACIONAL DE ESTADISTICAS,DIRECCION DEL TRABAJO,1934,2,0.9932781799379524
SUBSECRETARIA DE VIVIENDA Y URBANISMO,SUBSECRETARIA DE EDUCACION,1934,2,0.8614270941054809
SUPERINTENDENCIA DE SALUD,SUBSECRETARIA DE HACIENDA,1926,2,0.9314641744548287
SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,FONDO NACIONAL DE SALUD,1898,2,0.8993677555321391
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE SALUD PUBLICA,1863,2,0.9683306494900696
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE SALUD PUBLICA,1809,2,0.87893864013267
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,AGENCIA NACIONAL DE CIBERSEGURIDAD,1798,2,0.9338153503893215
INSTITUTO NACIONAL DE ESTADISTICAS,CORPORACION DE FOMENTO DE LA PRODUCCION,1767,2,0.8913412563667232
INSTITUTO SEGURIDAD LABORAL,SUBSECRETARIA DE HACIENDA,1760,2,0.9147727272727273
SUBSECRETARIA DE TELECOMUNICACIONES,FONDO NACIONAL DE SALUD,1742,2,0.9328358208955224
INSTITUTO NACIONAL DE ESTADISTICAS,SERVICIO NACIONAL DE PREVENCION Y REHABILITACION DEL CONSUMO DE DROGAS Y ALCOHOL,1717,2,0.8875946418171229
INSTITUTO NACIONAL DE ESTADISTICAS,SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,1704,2,0.9325117370892019
SUBSECRETARIA DE EVALUACION SOCIAL,CAJA DE PREVISION DE LA DEFENSA NACIONAL,1698,2,0.9599528857479388
SECRETARIA DE GOBIERNO DIGITAL,MUNICIPALIDAD DE QUILICURA,1693,2,0.90253987005316
INSTITUTO NACIONAL DE ESTADISTICAS,INSTITUTO NACIONAL DE PROPIEDAD INDUSTRIAL,1678,2,0.8945172824791419
INSTITUTO NACIONAL DE ESTADISTICAS,CONTRALORIA,1668,2,0.9718225419664268
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE SALUD PUBLICA,1655,2,0.9347432024169184
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE HACIENDA,1652,2,0.9279661016949152
INSTITUTO NACIONAL DE ESTADISTICAS,CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION METROPOLITANA,1619,2,0.8968499073502162
SANIDAD NAVAL DE LA ARMADA DE CHILE,FONDO NACIONAL DE SALUD,1564,2,0.8797953964194374
INSTITUTO NACIONAL DE ESTADISTICAS,SUPERINTENDENCIA DE INSOLVENCIA Y REEMPRENDIMIENTO,1538,2,0.8998699609882965
COMISION ADMINISTRADORA DE SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,1532,2,0.9033942558746736
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,FONDO NACIONAL DE SALUD,1496,2,1.0
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,SUBSECRETARIA DE HACIENDA,1489,2,1.0
INSTITUTO NACIONAL DE ESTADISTICAS,SUPERINTENDENCIA DE EDUCACION,1481,2,0.9338284942606347
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,CONSEJO NACIONAL DE TELEVISION,1473,2,0.8778004073319755
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE TELECOMUNICACIONES,1449,2,0.9772256728778468
SERVICIO AGRICOLA Y GANADERO,INSTITUTO DE SALUD PUBLICA DE CHILE,1423,2,0.9423752635277582
CERTINET S.A.,FONDO NACIONAL DE SALUD,1411,2,0.9156626506024096
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,1410,2,0.9163120567375886
SERVICIO DE TESORERIAS,CARABINEROS DE CHILE,1389,2,0.9877609791216703
INSTITUTO NACIONAL DE ESTADISTICAS,COMISION ADMINISTRADORA DE SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,1327,2,0.8892238131122834
INSTITUTO NACIONAL DE ESTADISTICAS,CONSEJO NACIONAL DE TELEVISION,1323,2,0.9221466364323507
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,CERTIFICADORA DEL SUR,1264,2,1.0
SUBSECRETARIA DE TELECOMUNICACIONES,SUBSECRETARIA DE REDES ASISTENCIALES,1249,2,0.966373098478783
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE DERECHOS HUMANOS,1242,2,0.9500805152979066
INSTITUTO DE PREVISION SOCIAL,AGENCIA NACIONAL DE INVESTIGACION Y DESARROLLO,1191,2,0.9588581024349286
INSTITUTO NACIONAL DE ESTADISTICAS,ILUSTRE MUNICIPALIDAD DE LOS ANGELES,1191,2,0.853904282115869
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA GENERAL DE LA PRESIDENCIA,1184,2,0.8859797297297297
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,SUBSECRETARIA DE PREVISION SOCIAL,1181,2,0.9771380186282811
COMISION ADMINISTRADORA DE SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,1175,2,0.8706382978723404
SRCEI,SUBSECRETARIA DE REDES ASISTENCIALES,352568,1,0.8810215334346849
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE REDES ASISTENCIALES,202589,1,0.8684281969899649
SRCEI,UNIVERSIDAD DE LA FRONTERA,199012,1,0.9002371716278416
SRCEI,CARABINEROS DE CHILE,146948,1,0.9059259057625829
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE SERVICIOS SOCIALES,143344,1,0.8569804107601294
SRCEI,MINISTERIO DE EDUCACION,136543,1,0.8633324300769721
COMISION PARA EL MERCADO FINANCIERO,FONDO NACIONAL DE SALUD,130093,1,0.8533971850906659
SERVICIO AGRICOLA Y GANADERO,INSTITUTO DE PREVISION SOCIAL,126177,1,0.853293389444986
COMISION PARA EL MERCADO FINANCIERO,MINISTERIO PUBLICO,105494,1,0.8881358181507953
ACEPTA.COM S.A.,MINISTERIO PUBLICO,90568,1,0.8967957777581486
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,FONDO NACIONAL DE SALUD,81694,1,0.8524493842877078
FONDO NACIONAL DE SALUD,CONTRALORIA GENERAL DE LA REPUBLICA,68047,1,0.8539244933648802
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,SUBSECRETARIA DE REDES ASISTENCIALES,57355,1,0.8796966262749543
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,SUBSECRETARIA DE TRANSPORTES,54709,1,0.8928147105595058
SUBSECRETARIA DE EVALUACION SOCIAL,SUBSECRETARIA DE JUSTICIA,51309,1,0.8646631195306866
SRCEI,INSTITUTO NACIONAL DE ESTADISTICAS,43245,1,0.8709908659960689
SRCEI,SERVICIO SALUD ARAUCANIA SUR,37367,1,0.8634891749404555
SERVICIO CIVIL,SUBSECRETARIA DE TRANSPORTES,36129,1,0.9000249107365275
ACEPTA.COM S.A.,SERVICIO DE COOPERACION TECNICA,35812,1,0.8632022785658439
SRCEI,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,34163,1,0.9158153557942804
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,33678,1,0.9093770413920068
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE EDUCACION,33469,1,0.85449221667812
PODER JUDICIAL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,31739,1,0.8923721604335361
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,SUBSECRETARIA DE JUSTICIA,31023,1,0.8701930825516552
ACEPTA.COM S.A.,CORPORACION NACIONAL DE DESARROLLO INDIGENA,30726,1,0.8954305799648506
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUBSECRETARIA DE SERVICIOS SOCIALES,30667,1,0.8685883849088597
SUBSECRETARIA DEL TRABAJO,MINISTERIO PUBLICO,29119,1,0.8515058896253306
SRCEI,ILUSTRE MUNICIPALIDAD DE PENALOLEN,29060,1,0.9070887818306952
PODER JUDICIAL,SUBSECRETARIA DE EVALUACION SOCIAL,26725,1,0.8797754911131899
SUBSECRETARIA DE VIVIENDA Y URBANISMO,SUBSECRETARIA DE TRANSPORTES,26368,1,0.8595266990291263
SUBSECRETARIA DE JUSTICIA,SUBSECRETARIA DE REDES ASISTENCIALES,26176,1,0.9312729217603912
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE VIVIENDA Y URBANISMO,25945,1,0.945423010213914
ACEPTA.COM S.A.,SUPERINTENDENCIA DE PENSSIONES,25847,1,0.913258792122877
ACEPTA.COM S.A.,INSTITUTO SEGURIDAD LABORAL,25388,1,0.8749803056562155
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE VIVIENDA Y URBANISMO,25226,1,0.8976849282486323
DIRECCION DEL TRABAJO,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,25170,1,0.8779499404052443
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",E-DIGITAL PKI SPA.,24772,1,0.9244711771354756
SUBSECRETARIA DE EVALUACION SOCIAL,FONDO NACIONAL DE SALUD,24487,1,0.8557193612937477
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,23263,1,0.8657524824829128
ACEPTA.COM S.A.,DEFENSORIA PENAL PUBLICA,23099,1,0.8589549331139876
CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,22969,1,0.8616396012016195
SRCEI,SUBSECRETARIA DE JUSTICIA,22895,1,0.8872242847783359
ACEPTA.COM S.A.,INSTITUTO NACIONAL DE PROPIEDAD INDUSTRIAL,22558,1,0.8564145757602625
SRCEI,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,22489,1,0.856818889234737
INSTITUTO DE PREVISION SOCIAL,CONTRALORIA GENERAL DE LA REPUBLICA,22452,1,0.857830037413148
SERVICIO NACIONAL DEL CONSUMIDOR,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,22411,1,0.8559189683637499
FONDO NACIONAL DE SALUD,SERVICIO NACIONAL DE ADUANAS,21159,1,0.8510326574979914
CORPORACION NACIONAL DE DESARROLLO INDIGENA,SUBSECRETARIA DE REDES ASISTENCIALES,20869,1,0.8510709665053429
CONTRALORIA,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,20341,1,0.9522639004965339
COMISION PARA EL MERCADO FINANCIERO,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,19664,1,0.8645240032546786
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",AFP MODELO,19574,1,0.8680392357208542
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,19451,1,0.8990797388309084
SUBSECRETARIA DE REDES ASISTENCIALES,CONTRALORIA GENERAL DE LA REPUBLICA,18895,1,0.8805504101614183
SRCEI,DIRECCION DE EDUCACION PUBLICA,18292,1,0.9218237480865953
SERVICIO AGRICOLA Y GANADERO,SUPERINTENDENCIA DE PENSSIONES,17575,1,0.9052062588904696
SECRETARIA DE GOBIERNO DIGITAL,ILUSTRE MUNICIPALIDAD DE PENALOLEN,17473,1,0.8754077719910719
SERVICIO AGRICOLA Y GANADERO,CORPORACION NACIONAL DE DESARROLLO INDIGENA,17296,1,0.862222479185939
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",ILUSTRE MUNICIPALIDAD DE PENALOLEN,16670,1,0.907738452309538
ACEPTA.COM S.A.,COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,16618,1,0.8810927909495727
SRCEI,JUNTA NACIONAL DE JARDINES INFANTILES,16487,1,0.9422575362406744
SERVICIO CIVIL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,16436,1,0.888780725237284
COMISION PARA EL MERCADO FINANCIERO,ILUSTRE MUNICIPALIDAD DE PENALOLEN,16366,1,0.884699987779543
PODER JUDICIAL,E-DIGITAL PKI SPA.,16323,1,0.8573178949947926
CONTRALORIA,SERVICIO ELECTORAL,15942,1,0.9705808556015556
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE REDES ASISTENCIALES,15551,1,0.8656678027136518
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE VIVIENDA Y URBANISMO,15043,1,0.998271621352124
ACEPTA.COM S.A.,SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,14846,1,0.918968072208002
SERVICIO NACIONAL DEL CONSUMIDOR,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,14829,1,0.8517769235956572
ACEPTA.COM S.A.,CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION METROPOLITANA,14771,1,0.9176765283325437
ACEPTA.COM S.A.,UNIVERSIDAD DE CHILE,14660,1,0.8737380627557981
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE EVALUACION SOCIAL,14626,1,0.8779570627649391
SRCEI,SUBSECRETARIA DE BIENES NACIONALES,14597,1,0.9280674111118724
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,14445,1,0.875250951886466
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",CERTIFICADORA DEL SUR,14362,1,0.9006405793065033
SUBSECRETARIA DE JUSTICIA,MINISTERIO PUBLICO,14202,1,0.9921137867905929
ACEPTA.COM S.A.,UNIVERSIDAD DE LA FRONTERA,14177,1,0.9166255202087888
ACEPTA.COM S.A.,MUNICIPALIDAD DE LA FLORIDA,13933,1,0.8564558960740688
CONTRALORIA,SUBSECRETARIA DE REDES ASISTENCIALES,13444,1,0.881359714370723
SERVICIO AGRICOLA Y GANADERO,CONTRALORIA GENERAL DE LA REPUBLICA,13318,1,0.937828502778195
ACEPTA.COM S.A.,SUBSECRETARIA DE SERVICIOS SOCIALES,13233,1,0.9170256177737476
SERVICIO AGRICOLA Y GANADERO,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,12914,1,1.0
SUBSECRETARIA DE EVALUACION SOCIAL,SUBSECRETARIA DE TRANSPORTES,12871,1,0.9176443166809106
SRCEI,PODER JUDICIAL,12672,1,0.8697127525252525
SUBSECRETARIA DE EDUCACION,"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",12667,1,0.8653982789926581
DIRECCION DEL TRABAJO,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,12525,1,0.8602794411177644
SUBSECRETARIA DE EDUCACION,SECRETARIA DE GOBIERNO DIGITAL,12446,1,0.8975574481761208
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",AFP UNO,12421,1,0.8643426455196844
INSTITUTO SEGURIDAD LABORAL,SUBSECRETARIA DE TRANSPORTES,12077,1,0.8588225552703486
SUBSECRETARIA DE EDUCACION,COMISION PARA EL MERCADO FINANCIERO,11705,1,0.9014096539940196
SECRETARIA DE GOBIERNO DIGITAL,JUNTA NACIONAL DE JARDINES INFANTILES,11304,1,0.8628803963198868
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",MUNICIPALIDAD DE COLINA,11282,1,0.9396383619925543
PODER JUDICIAL,CERTIFICADORA DEL SUR,11204,1,0.8562120671188861
SRCEI,MUNICIPALIDAD DE QUILICURA,11193,1,0.8717948717948718
INSTITUTO DE PREVISION SOCIAL,CONSEJO NACIONAL DE TELEVISION,11145,1,0.858950201884253
ACEPTA.COM S.A.,SUBSECRETARIA DE TELECOMUNICACIONES,11034,1,0.9639296719231466
