inst_origen,inst_destino,soporte_total,n_pares_servicio,frac_prom_ponderada
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE JUSTICIA,15430,4,0.8974076474400519
FONDO NACIONAL DE SALUD,DIRECCION DEL TRABAJO,14937,4,0.9071433353417687
SUBSECRETARIA DE TELECOMUNICACIONES,SERVICIO DE IMPUESTOS INTERNOS,13594,4,0.9223186700014713
INSTITUTO NACIONAL DE ESTADISTICAS,MINISTERIO PUBLICO,13205,4,0.9140477092010602
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE TRANSPORTES,12272,4,0.8763037809647979
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE REDES ASISTENCIALES,11718,4,0.9174773852193207
MINISTERIO DE DESARROLLO SOCIAL,MUNICIPALIDAD DE QUILICURA,10456,4,0.9032134659525631
CONTRALORIA GENERAL DE LA REPUBLICA,SECRETARIA DE GOBIERNO DIGITAL,7405,4,0.8864280891289669
CONTRALORIA GENERAL DE LA REPUBLICA,SUBSECRETARIA DE SALUD PUBLICA,7179,4,0.8914890653294331
INSTITUTO NACIONAL DE ESTADISTICAS,SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,6922,4,0.8727246460560532
SUBSECRETARIA DE EDUCACION,MINISTERIO PUBLICO,6871,4,0.8992868578081793
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION DE CONTABILIDAD Y FINANZAS,6695,4,0.9023151605675878
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE SALUD PUBLICA,6129,4,0.9146679719366944
INSTITUTO NACIONAL DE ESTADISTICAS,CONTRALORIA GENERAL DE LA REPUBLICA,5782,4,0.9622967831200276
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,5761,4,0.8885610137128971
INSTITUTO NACIONAL DE ESTADISTICAS,MINISTERIO DE EDUCACION,5701,4,0.9859673741448869
INSTITUTO NACIONAL DE ESTADISTICAS,FONDO DE SOLIDARIDAD E INVERSION SOCIAL,5464,4,0.9846266471449486
DIRECCION GENERAL DE MOVILIZACION NACIONAL,CARABINEROS DE CHILE,5144,4,0.9442068429237948
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE SALUD PUBLICA,4795,4,0.8836287799791449
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE REDES ASISTENCIALES,388412,3,0.8678490880817277
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE EVALUACION SOCIAL,256252,3,0.91244165899193
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE TRANSPORTES,241621,3,0.9523758282599608
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE REDES ASISTENCIALES,241005,3,0.9205037239891288
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE JUSTICIA,217881,3,0.9213561531294606
ACEPTA.COM S.A.,SERVICIO ELECTORAL,181485,3,0.894542248670689
ACEPTA.COM S.A.,SERVICIO DE IMPUESTOS INTERNOS,154411,3,0.8596473049199863
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUBSECRETARIA DE EVALUACION SOCIAL,153305,3,0.9787482469586771
MINISTERIO DE DESARROLLO SOCIAL,MINISTERIO PUBLICO,123472,3,0.9885237138784501
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE EVALUACION SOCIAL,97451,3,0.9440641963653529
SERVICIO AGRICOLA Y GANADERO,MINISTERIO PUBLICO,94168,3,0.8971943760088352
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE TRANSPORTES,76492,3,0.8763923024630027
SERVICIO DE TESORERIAS,SUBSECRETARIA DE EVALUACION SOCIAL,69270,3,0.8824743756315866
SUBSECRETARIA DE JUSTICIA,SUBSECRETARIA DE EVALUACION SOCIAL,63964,3,0.941623413169908
INSTITUTO DE PREVISION SOCIAL,CARABINEROS DE CHILE,61598,3,0.9423520244163771
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,FONDO NACIONAL DE SALUD,60091,3,0.8831605398478973
INSTITUTO DE PREVISION SOCIAL,FONDO DE SOLIDARIDAD E INVERSION SOCIAL,59699,3,0.8765305951523477
SERVICIO DE TESORERIAS,MINISTERIO PUBLICO,55530,3,0.9492526562218621
INSTITUTO DE PREVISION SOCIAL,MINISTERIO PUBLICO,49084,3,0.9906079374134137
MINISTERIO DE DESARROLLO SOCIAL,SERVICIO SALUD ARAUCANIA SUR,46124,3,0.9209955771398838
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,41213,3,0.9171377963264019
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,39032,3,0.9189895470383276
INSTITUTO NACIONAL DE ESTADISTICAS,SERVICIO DE IMPUESTOS INTERNOS,36286,3,0.94758308989693
FONDO NACIONAL DE SALUD,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,33746,3,0.9834943400699344
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,FONDO NACIONAL DE SALUD,31662,3,0.9979470658833933
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,27637,3,0.970474364077143
MINISTERIO DE DESARROLLO SOCIAL,JUNTA NACIONAL DE JARDINES INFANTILES,26955,3,0.8971248376924503
ACEPTA.COM S.A.,SUBSECRETARIA DE SALUD PUBLICA,26504,3,0.8836402052520375
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,25438,3,0.9636370783866656
ACEPTA.COM S.A.,SUPERINTENDENCIA DE INSOLVENCIA Y REEMPRENDIMIENTO,25233,3,0.8811477034042722
SUBSECRETARIA DE JUSTICIA,FONDO NACIONAL DE SALUD,23389,3,0.9990593868912737
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE EVALUACION SOCIAL,22070,3,0.9816946080652469
SUBSECRETARIA DE REDES ASISTENCIALES,SUBSECRETARIA DE EVALUACION SOCIAL,21285,3,0.8751703077284473
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE PREVISION SOCIAL,20790,3,0.9366041366041366
INSTITUTO DE PREVISION SOCIAL,CAJA DE PREVISION DE LA DEFENSA NACIONAL,20774,3,0.9606719938384519
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE BIENES NACIONALES,18415,3,0.8981265272875373
SERVICIO DE IMPUESTOS INTERNOS,SUBSECRETARIA DE PREVISION SOCIAL,17533,3,0.9812353847031312
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE BIENES NACIONALES,16957,3,0.9786518841776257
FONDO NACIONAL DE SALUD,DIRECCION DE EDUCACION PUBLICA,16777,3,0.8887166954759492
SECRETARIA DE GOBIERNO DIGITAL,CAJA DE PREVISION DE LA DEFENSA NACIONAL,16137,3,0.9680237962446551
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,SUBSECRETARIA DE EVALUACION SOCIAL,15414,3,0.8853639548462436
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE EDUCACION,12392,3,0.9715138799225307
FONDO NACIONAL DE SALUD,JUNTA NACIONAL DE JARDINES INFANTILES,11856,3,0.9194500674763832
ACEPTA.COM S.A.,SERVICIO AGRICOLA Y GANADERO,10730,3,0.8667287977632805
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,SUBSECRETARIA DE EVALUACION SOCIAL,9921,3,0.8935591170244935
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE SALUD PUBLICA,9414,3,0.9002549394518802
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,8699,3,0.96309920680538
FONDO NACIONAL DE SALUD,MUNICIPALIDAD DE QUILICURA,8160,3,0.8964460784313726
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE JUSTICIA,7672,3,0.8953336809176226
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,SUBSECRETARIA DE REDES ASISTENCIALES,7640,3,0.9473821989528796
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE SALUD PUBLICA,7443,3,0.8857987370683864
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE JUSTICIA,6691,3,0.924226573008519
SUBSECRETARIA DE EDUCACION,SUPERINTENDENCIA DE SEGURIDAD SOCIAL,6092,3,0.927445830597505
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE TRANSPORTES,5694,3,0.9299262381454162
SECRETARIA DE GOBIERNO DIGITAL,AGENCIA NACIONAL DE CIBERSEGURIDAD,5667,3,0.8605964355037939
SUBSECRETARIA DE REDES ASISTENCIALES,SUBSECRETARIA DE PREVISION SOCIAL,5627,3,0.9733428114448196
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,FONDO NACIONAL DE SALUD,5465,3,0.986459286367795
SERVICIO CIVIL,SUBSECRETARIA DE HACIENDA,5356,3,0.914488424197162
CONTRALORIA GENERAL DE LA REPUBLICA,SUPERINTENDENCIA DE SEGURIDAD SOCIAL,5308,3,0.8995855312735493
MINISTERIO DE DESARROLLO SOCIAL,MUNICIPALIDAD DE VALDIVIA,4892,3,0.8910466067048242
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUBSECRETARIA DE HACIENDA,4866,3,0.9699958898479244
SUBSECRETARIA DE VIVIENDA Y URBANISMO,SUBSECRETARIA DE HACIENDA,4734,3,0.9393747359526827
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE REDES ASISTENCIALES,4707,3,0.940089228808158
FONDO NACIONAL DE SALUD,FONDO DE SOLIDARIDAD E INVERSION SOCIAL,4317,3,0.8860319666435025
MUNICIPALIDAD DE NUNOA,CARABINEROS DE CHILE,4296,3,0.9238826815642459
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION GENERAL DE MOVILIZACION NACIONAL,4143,3,0.9461742698527636
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE SALUD PUBLICA,3700,3,0.917027027027027
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,SUBSECRETARIA DE HACIENDA,3305,3,0.9830559757942511
SUBSECRETARIA DE SALUD PUBLICA,SUBSECRETARIA DE PREVISION SOCIAL,3207,3,0.967570938571874
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,CARABINEROS DE CHILE,3000,3,0.9976666666666667
ACEPTA.COM S.A.,INSTITUTO DE SALUD PUBLICA DE CHILE,2864,3,0.9168994413407822
SUBSECRETARIA DE TELECOMUNICACIONES,SUPERINTENDENCIA DE SEGURIDAD SOCIAL,2859,3,0.9174536551241693
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,SUBSECRETARIA DE JUSTICIA,2048,3,0.93505859375
ACEPTA.COM S.A.,CARABINEROS DE CHILE,198479,2,0.8842950639614267
PODER JUDICIAL,FONDO NACIONAL DE SALUD,188573,2,0.8622072088793199
ACEPTA.COM S.A.,SERVICIO NACIONAL DEL CONSUMIDOR,178560,2,0.8666554659498208
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",CARABINEROS DE CHILE,158894,2,0.8865218321648395
SUBSECRETARIA DEL TRABAJO,FONDO NACIONAL DE SALUD,154954,2,0.8672573796094325
SERVICIO DE IMPUESTOS INTERNOS,CARABINEROS DE CHILE,116767,2,0.8626409858949875
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE REDES ASISTENCIALES,111960,2,0.9171132547338335
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",MINISTERIO PUBLICO,104020,2,0.9211786194962509
SERVICIO DE TESORERIAS,SUBSECRETARIA DE REDES ASISTENCIALES,88236,2,0.8769323178747903
PODER JUDICIAL,MINISTERIO PUBLICO,81159,2,0.8608164220850429
MINISTERIO DE DESARROLLO SOCIAL,CONTRALORIA GENERAL DE LA REPUBLICA,72407,2,0.8773737345836728
SERVICIO CIVIL,FONDO NACIONAL DE SALUD,69797,2,0.8685187042423027
DIRECCION DEL TRABAJO,MINISTERIO PUBLICO,65707,2,0.8741230005935441
ACEPTA.COM S.A.,SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,59183,2,0.8681547065880405
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE TRANSPORTES,45449,2,0.9696582983123941
SECRETARIA DE GOBIERNO DIGITAL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,43787,2,0.8797359947016238
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE REDES ASISTENCIALES,43740,2,0.956607224508459
SERVICIO AGRICOLA Y GANADERO,CARABINEROS DE CHILE,42757,2,0.8922515611478822
ACEPTA.COM S.A.,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,42132,2,0.8870929459793031
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,SUBSECRETARIA DE TRANSPORTES,39730,2,0.9125346086081049
MINISTERIO DE DESARROLLO SOCIAL,CONSEJO NACIONAL DE TELEVISION,36660,2,0.8852973267866885
MINISTERIO DE DESARROLLO SOCIAL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,34347,2,0.9954872332372551
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,33271,2,0.9991884824622044
SERVICIO DE TESORERIAS,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,31843,2,0.9643249693810256
SERVICIO DE IMPUESTOS INTERNOS,ILUSTRE MUNICIPALIDAD DE PENALOLEN,30615,2,0.892797648211661
SERVICIO DE COOPERACION TECNICA,FONDO NACIONAL DE SALUD,29774,2,0.8600792637871969
ACEPTA.COM S.A.,CONTRALORIA GENERAL DE LA REPUBLICA,29599,2,0.9257745194094396
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,MINISTERIO PUBLICO,28954,2,0.8602265662775437
SERVICIO CIVIL,MINISTERIO PUBLICO,27189,2,0.8813490749935635
UNIVERSIDAD DE LA FRONTERA,SUBSECRETARIA DE EDUCACION,26742,2,0.9290255029541545
INSTITUTO NACIONAL DE ESTADISTICAS,SERVICIO DE TESORERIAS,24873,2,0.8868250713625216
MINISTERIO DE DESARROLLO SOCIAL,SERVICIO NACIONAL DE ADUANAS,24458,2,0.8673644615258811
SERVICIO AGRICOLA Y GANADERO,MINISTERIO DE EDUCACION,22579,2,0.8644758403826565
ACEPTA.COM S.A.,MINISTERIO DE EDUCACION,21979,2,0.8825697256472087
ACEPTA.COM S.A.,SUBSECRETARIA DE EVALUACION SOCIAL,21798,2,0.9682539682539683
FONDO NACIONAL DE SALUD,SERVICIO NACIONAL DEL CONSUMIDOR,21557,2,0.8510460639235515
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,MINISTERIO PUBLICO,21543,2,0.887573689829643
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,21411,2,0.8824436037550791
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,SUBSECRETARIA DE REDES ASISTENCIALES,21040,2,0.9307984790874526
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,20711,2,0.8676548693930761
MINISTERIO DE DESARROLLO SOCIAL,SERVICIO NACIONAL DEL CONSUMIDOR,20655,2,0.8826918421689663
FONDO NACIONAL DE SALUD,AFP MODELO,20137,2,0.9464170432537121
SUBSECRETARIA DE SALUD PUBLICA,FONDO NACIONAL DE SALUD,18652,2,0.8856422903710058
SECRETARIA DE GOBIERNO DIGITAL,CERTIFICADORA DEL SUR,18476,2,0.8610088763801689
MINISTERIO DE DESARROLLO SOCIAL,ILUSTRE MUNICIPALIDAD DE PENALOLEN,17108,2,0.9496726677577741
SERVICIO CIVIL,SUBSECRETARIA DE EVALUACION SOCIAL,17094,2,0.8851643851643851
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE PREVISION SOCIAL,16673,2,1.0
MINISTERIO DE DESARROLLO SOCIAL,CAJA DE PREVISION DE LA DEFENSA NACIONAL,16335,2,0.9998775635139272
FONDO NACIONAL DE SALUD,ILUSTRE MUNICIPALIDAD DE PENALOLEN,15777,2,0.9425112505546048
"SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE II S.A., AFC CHILE",SUBSECRETARIA DE HACIENDA,15453,2,0.9578722578140167
INSTITUTO DE PREVISION SOCIAL,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,15083,2,0.9970828084598554
SERVICIO DE IMPUESTOS INTERNOS,AFP UNO,14427,2,0.8866015110556595
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,FONDO NACIONAL DE SALUD,14165,2,0.8624779385810095
INSTITUTO DE PREVISION SOCIAL,SERVICIO SALUD ARAUCANIA SUR,14030,2,0.902352102637206
SERVICIO DE IMPUESTOS INTERNOS,SERVICIO SALUD ARAUCANIA SUR,12968,2,0.8578038247995065
MINISTERIO DE DESARROLLO SOCIAL,MUNICIPALIDAD DE COLINA,12492,2,0.9900736471341659
SECRETARIA DE GOBIERNO DIGITAL,MUNICIPALIDAD DE COLINA,12395,2,0.9056070996369504
ACEPTA.COM S.A.,MUNICIPALIDAD DE SANTIAGO,12219,2,0.8604632130288894
FONDO NACIONAL DE SALUD,MUNICIPALIDAD DE COLINA,11693,2,0.9751988369109724
SERVICIO DE IMPUESTOS INTERNOS,JUNTA NACIONAL DE JARDINES INFANTILES,11603,2,0.8617598896837025
SECRETARIA DE GOBIERNO DIGITAL,SUBSECRETARIA DE BIENES NACIONALES,11573,2,0.8753996370863216
ACEPTA.COM S.A.,FONDO DE SOLIDARIDAD E INVERSION SOCIAL,11386,2,0.9792727911470227
PODER JUDICIAL,SUBSECRETARIA DE HACIENDA,11207,2,0.9332560007138395
INSTITUTO NACIONAL DE ESTADISTICAS,ESIGN S.A.,10933,2,0.8771608890514955
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE BIENES NACIONALES,10745,2,0.9730107026523966
FONDO NACIONAL DE SALUD,CAJA DE PREVISION DE LA DEFENSA NACIONAL,10714,2,0.9989733059548255
SERVICIO AGRICOLA Y GANADERO,AFP UNO,10567,2,0.9949843853506198
