institucion,marginal,n_total
SERVICIO DE SALUD TARAPACA,32878,14081161
SERVICIO DE SALUD NUBLE,31627,14081161
DIRECCION GENERAL DE AGUAS,31459,14081161
SERVICIO DE SALUD METROPOLITANO ORIENTE,31446,14081161
DIRECCION GENERAL DE AERONAUTICA CIVIL,31437,14081161
INSTITUTO DE SALUD PUBLICA DE CHILE,31230,14081161
UNIVERSIDAD DE SANTIAGO DE CHILE,29984,14081161
CERTIFICADORA DEL SUR,28321,14081161
SUBSECRETARIA DE BIENES NACIONALES,27711,14081161
SUPERINTENDENCIA DEL MEDIO AMBIENTE,27070,14081161
MUNICIPALIDAD DE VALPARAISO,26943,14081161
DIRECCION GENERAL DEL CREDITO PRENDARIO,26837,14081161
REDIN,26642,14081161
AFP MODELO,26595,14081161
SUBSECRETARIA DE PREVENCION DEL DELITO,26325,14081161
SERVICIO NACIONAL DE GEOLOGIA Y MINERIA,25871,14081161
MUNICIPALIDAD DE TEMUCO,23637,14081161
SUPERINTENDENCIA DE SERVICIOS SANITARIOS,22998,14081161
THOMAS-SIGNE CHILE S.A,22972,14081161
DIRECCION DE EDUCACION PUBLICA,22950,14081161
CERTINET S.A.,21377,14081161
MUNICIPALIDAD DE LO BARNECHEA,21307,14081161
SUBSECRETARIA PARA LAS FUERZAS ARMADAS,20626,14081161
MUNICIPALIDAD DE COLINA,19630,14081161
SUPERINTENDENCIA DE EDUCACION SUPERIOR,18162,14081161
HOSPITAL REGIONAL DE ARICA Y PARINACOTA DR. JUAN NOE CREVANI,16956,14081161
CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIOS DE SALUD,16383,14081161
INSTITUTO NACIONAL DE DEPORTES DE CHILE,16062,14081161
AGENCIA DE CALIDAD DE LA EDUCACION,15983,14081161
MINISTERIO DEL INTERIOR,15827,14081161
SERVICIO DE SALUD LIBERTADOR GENERAL BERNARDO O'HIGGINS,14871,14081161
MUNICIPALIDAD DE VINA DEL MAR,14249,14081161
SERVICIO NACIONAL DEL ADULTO MAYOR,14027,14081161
MUNICIPALIDAD DE QUILICURA,13509,14081161
SERVICIO DE SALUD METROPOLITANO SUR,13505,14081161
HOSPITAL BASE VALDIVIA,13229,14081161
SUBSECRETARIA DE LAS CULTURAS Y LAS ARTES,12626,14081161
MUNICIPALIDAD DE RECOLETA,12352,14081161
MINISTERIO SECRETARIA GENERAL DE GOBIERNO,11887,14081161
MUNICIPALIDAD DE PADRE HURTADO,11778,14081161
CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION DEL BIOBIO,11525,14081161
MUNICIPALIDAD DE PUERTO MONTT,11184,14081161
MUNICIPALIDAD DE VALDIVIA,11115,14081161
HOSPITAL REGIONAL DE TALCA,10873,14081161
SERVICIO NACIONAL DE TURISMO,10071,14081161
DIRECCION GENERAL DE PROMOCION DE EXPORTACIONES,9901,14081161
MUNICIPALIDAD DE LA REINA,9809,14081161
SENADO,9794,14081161
UNIVERSIDAD DE TARAPACA,9678,14081161
AFP CUPRUM,9650,14081161
UNIVERSIDAD DE LOS LAGOS,8961,14081161
MUNICIPALIDAD DE CORONEL,8837,14081161
MUNICIPALIDAD DE COQUIMBO,8801,14081161
SERVICIO DE SALUD ANTOFAGASTA,8537,14081161
MUNICIPALIDAD DE ANTOFAGASTA,7962,14081161
MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,7809,14081161
CORPORACION NACIONAL FORESTAL Y DE PROTECCION DE RECURSOS NATURALES RENOVABLES,7761,14081161
COMISION NACIONAL DE RIEGO,7648,14081161
INSTITUCION,7475,14081161
DIRECCION DE CONTABILIDAD Y FINANZAS,7108,14081161
AGENCIA NACIONAL DE CIBERSEGURIDAD,7004,14081161
SUBSECRETARIA DE RELACIONES EXTERIORES,6579,14081161
MUNICIPALIDAD DE CURICO,6375,14081161
TRIBUNAL CONSTITUCIONAL DE CHILE,6282,14081161
MINISTERIO DE BIENES NACIONALES,6172,14081161
SUBSECRETARIA DE OBRAS PUBLICAS,6082,14081161
SERVICIO DE SALUD MAGALLANES,6033,14081161
E-PROCESS,6020,14081161
CONSEJO DE DEFENSA DEL ESTADO,6010,14081161
SUBSECRETARIA DEL DEPORTE,5998,14081161
GOBIERNO REGIONAL DE LA REGION DE LOS LAGOS,5951,14081161
SERVICIO DE SALUD COQUIMBO,5926,14081161
UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS,5896,14081161
DOCDIGITAL,5700,14081161
UNIVERSIDAD DEL BIOBIO,5539,14081161
MUNICIPALIDAD DE SAN CLEMENTE,5501,14081161
SERVICIO DE SALUD BIOBIO,5416,14081161
MUNICIPALIDAD DE MAIPU,5180,14081161
UNIDAD DE ANALISIS FINANCIERO,5137,14081161
CENTRO DE REFERENCIA DE SALUD DE PENALOLEN CORDILLERA ORIENTE,4795,14081161
SUPERINTENDENCIA DE CASINOS DE JUEGO,4721,14081161
ARMADA DE CHILE,4635,14081161
UNIVERSIDAD DE TALCA,4445,14081161
DIRECCION DE VIALIDAD,4401,14081161
MUNICIPALIDAD DE QUILPUE,4369,14081161
SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO,4143,14081161
TRIBUNAL DE DEFENSA DE LA LIBRE COMPETENCIA,3994,14081161
GOBIERNO REGIONAL DE LA REGION DE COQUIMBO,3622,14081161
