institucion_origen,institucion_destino,soporte_total,n_pares_servicio,lift_max,categoria
ACEPTA.COM S.A.,Municipalidad de Providencia,10161,1,2.05,confirmado_acepta
Ministerio de Desarrollo Social y Familia,Hospital Base Valdivia,10130,2,2.2,candidato_sin_verificar
Fondo Nacional de Salud,Municipalidad de Santiago,10119,2,1.78,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Subsecretaría de Hacienda,10111,2,1.36,efecto_base_lift_bajo
E-Cert Chile,Subsecretaría de Desarrollo Regional y Administrativo,10098,1,1.59,candidato_sin_verificar
Subsecretaría General de la Presidencia de la República,Comisión para la Integridad Pública y Transparencia,10083,1,30.89,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Corporación de Asistencia Judicial de la Región del Biobío,10062,2,2.72,candidato_sin_verificar
Poder Judicial,Tribunal Constitucional de Chile,10031,2,5.37,candidato_sin_verificar
Servicio Agrícola y Ganadero,Municipalidad de Santiago,10020,3,3.43,candidato_sin_verificar
Ministerio de Salud,Ministerio Público,10019,1,2.08,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Subsecretaría de Educación,10014,3,133.42,candidato_sin_verificar
Servicio de Impuestos Internos,Subsecretaría de las Culturas y las Artes,10010,2,1.63,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Dirección General de Movilización Nacional,9997,1,2.46,candidato_sin_verificar
Superintendencia de Seguridad Social,Subsecretaría de Desarrollo Regional y Administrativo,9986,3,2.25,candidato_sin_verificar
Subsecretaría del Trabajo,Subsecretaría de Economía y Empresas de Menor Tamaño,9967,2,2.1,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Subsecretaría de Justicia,9960,1,3.51,candidato_sin_verificar
E-Cert Chile,Municipalidad de Peñalolén,9949,1,1.9,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Junta Nacional de Jardines Infantiles,9938,2,24.08,candidato_sin_verificar
ACEPTA.COM S.A.,Superintendencia de Educación,9933,1,1.91,confirmado_acepta
Servicio de Impuestos Internos,Subsecretaría de Prevención del Delito,9924,2,2.37,candidato_sin_verificar
Poder Judicial,AFP Uno,9918,2,1.55,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Ministerio del Interior,9911,1,1.45,efecto_base_lift_bajo
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Subsecretaría de Bienes Nacionales,9878,2,3.54,candidato_sin_verificar
Fondo Nacional de Salud,Municipalidad de Colina,9861,1,1.35,efecto_base_lift_bajo
Municipalidad de La Florida,Subsecretaría de Transportes,9841,2,3.6,candidato_sin_verificar
Superintendencia de Seguridad Social,Ministerio Público,9838,2,2.72,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Junta Nacional de Jardines Infantiles,9821,1,1.81,candidato_sin_verificar
Poder Judicial,Junta Nacional de Jardines Infantiles,9734,2,1.93,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Municipalidad de Santiago,9721,2,2.42,candidato_sin_verificar
Servicio Agrícola y Ganadero,Corporación de Fomento de la Producción,9718,1,3.05,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Subsecretaría de Transportes,9675,5,12.04,candidato_sin_verificar
Subsecretaría de Educación,Universidad de Chile,9618,4,7.38,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Subsecretaría General de Gobierno,9617,1,4.4,candidato_sin_verificar
Instituto de Previsión Social,Dirección de Previsión de Carabineros de Chile,9610,1,1.58,candidato_sin_verificar
Instituto de Previsión Social,Municipalidad de Puente Alto,9599,3,3.26,candidato_sin_verificar
Comisión para el Mercado Financiero,Subsecretaría de Bienes Nacionales,9586,1,1.81,candidato_sin_verificar
Instituto de Previsión Social,Subsecretaría de Derechos Humanos,9579,2,1.23,efecto_base_lift_bajo
Corporación de Asistencia Judicial de la Región Metropolitana,Subsecretaría de Evaluación Social,9497,2,2.72,artefacto_vus
Servicio de Cooperación Técnica,Ministerio Público,9497,1,2.0,candidato_sin_verificar
Ministerio de Salud,Comisión para la Integridad Pública y Transparencia,9489,1,5.12,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Consejo Nacional de Televisión,9471,1,3.66,candidato_sin_verificar
Caja de Previsión de la Defensa Nacional,Subsecretaría de Redes Asistenciales,9453,1,1.43,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Subsecretaría de Economía y Empresas de Menor Tamaño,9445,1,1.46,efecto_base_lift_bajo
ACEPTA.COM S.A.,Corporación de Fomento de la Producción,9443,1,2.23,confirmado_acepta
Instituto de Seguridad Laboral,Subsecretaría de Justicia,9406,1,1.66,candidato_sin_verificar
ACEPTA.COM S.A.,Consejo Nacional de Televisión,9376,2,1.73,confirmado_acepta
Fondo de Solidaridad e Inversión Social,Instituto de Seguridad Laboral,9366,1,1.47,efecto_base_lift_bajo
Instituto de Previsión Social,Subsecretaría de Hacienda,9360,1,2.23,candidato_sin_verificar
Agencia de Calidad de la Educación,Universidad de La Frontera,9333,1,47.11,candidato_sin_verificar
Instituto de Previsión Social,Ejército de Chile,9333,1,1.23,efecto_base_lift_bajo
Municipalidad de Las Condes,E-Sign S.A.,9319,1,1.41,efecto_base_lift_bajo
Servicio Electoral,Subsecretaría de Educación,9300,3,1.92,candidato_sin_verificar
ACEPTA.COM S.A.,Fondo de Solidaridad e Inversión Social,9298,1,1.35,confirmado_acepta
Servicio Nacional de Capacitación y Empleo,Servicio de Salud Ñuble,9267,1,1.28,efecto_base_lift_bajo
ACEPTA.COM S.A.,Ministerio de Transportes y Telecomunicaciones,9236,1,1.82,confirmado_acepta
Dirección General de Movilización Nacional,Comisión para la Integridad Pública y Transparencia,9232,1,2.88,candidato_sin_verificar
Poder Judicial,Servicio Nacional del Consumidor,9181,1,1.52,candidato_sin_verificar
E-Sign S.A.,Fondo Nacional de Salud,9167,2,2.4,candidato_sin_verificar
Secretaría de Gobierno Digital,Subsecretaría de Salud Pública,9143,3,2.27,candidato_sin_verificar
Universidad de La Frontera,Superintendencia de Educación,9129,1,7.44,candidato_sin_verificar
Subsecretaría de Transportes,Subsecretaría de Desarrollo Regional y Administrativo,9129,3,4.75,candidato_sin_verificar
Servicio de Tesorerías,Subsecretaría de Economía y Empresas de Menor Tamaño,9121,2,4.12,candidato_sin_verificar
Fondo Nacional de Salud,Servicio de Impuestos Internos,9111,2,1.99,candidato_sin_verificar
Instituto de Previsión Social,Municipalidad de Quilicura,9089,4,2.01,candidato_sin_verificar
Instituto de Previsión Social,Subsecretaría del Trabajo,9064,2,1.81,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Subsecretaría de Educación,9048,2,3.66,candidato_sin_verificar
Secretaría de Gobierno Digital,Policía de Investigaciones de Chile,9010,1,5.53,candidato_sin_verificar
Servicio Agrícola y Ganadero,Municipalidad de La Florida,9001,1,1.66,candidato_sin_verificar
Subsecretaría del Trabajo,Subsecretaría de Derechos Humanos,8971,1,2.45,candidato_sin_verificar
Secretaría de Gobierno Digital,Municipalidad de La Florida,8921,1,1.45,efecto_base_lift_bajo
Superintendencia de Seguridad Social,Consejo Nacional de Televisión,8889,2,2.76,candidato_sin_verificar
Subsecretaría de Evaluación Social,Subsecretaría de Vivienda y Urbanismo,8883,1,7.18,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Superintendencia de Educación,8882,1,1.87,candidato_sin_verificar
Servicio de Tesorerías,Servicio de Salud Araucanía Sur,8845,1,1.28,efecto_base_lift_bajo
Dirección Nacional del Servicio Civil,Subsecretaría de Desarrollo Regional y Administrativo,8841,3,5.27,candidato_sin_verificar
ACEPTA.COM S.A.,Gendarmería de Chile,8834,1,1.35,confirmado_acepta
Servicio Agrícola y Ganadero,Superintendencia de Electricidad y Combustibles,8803,2,3.09,candidato_sin_verificar
Gendarmería de Chile,Subsecretaría de Justicia,8782,2,2.84,candidato_sin_verificar
Sanidad Naval de la Armada de Chile,Dirección General de Movilización Nacional,8775,1,20.11,candidato_sin_verificar
Servicio de Impuestos Internos,Instituto Nacional de Deportes de Chile,8762,2,1.73,candidato_sin_verificar
Dirección del Trabajo,Subsecretaría de Justicia,8761,1,1.63,candidato_sin_verificar
Servicio de Tesorerías,Subsecretaría de Justicia,8746,1,2.5,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Gendarmería de Chile,8738,1,2.89,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Subsecretaría de Desarrollo Regional y Administrativo,8723,4,4.76,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Consejo Nacional de Televisión,8712,2,4.09,candidato_sin_verificar
Secretaría de Gobierno Digital,Poder Judicial,8689,2,9.99,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Subsecretaría de Economía y Empresas de Menor Tamaño,8682,6,3.47,candidato_sin_verificar
Ministerio Público,BPO Advisors SpA,8662,1,1.85,candidato_sin_verificar
Dirección de Previsión de Carabineros de Chile,Superintendencia de Insolvencia y Reemprendimiento,8647,2,6.99,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Municipalidad de Viña del Mar,8623,1,1.2,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Dirección General de Promoción de Exportaciones,8612,1,1.26,efecto_base_lift_bajo
Servicio Agrícola y Ganadero,Subsecretaría de Telecomunicaciones,8597,1,2.1,candidato_sin_verificar
Subsecretaría de Justicia,Secretaría de Gobierno Digital,8597,3,1.52,candidato_sin_verificar
ACEPTA.COM S.A.,Instituto de Desarrollo Agropecuario,8595,1,1.9,confirmado_acepta
Instituto Nacional de Estadísticas,Subsecretaría de Economía y Empresas de Menor Tamaño,8524,2,1.41,efecto_base_lift_bajo
Sanidad Naval de la Armada de Chile,Carabineros de Chile,8512,3,1.79,candidato_sin_verificar
Gendarmería de Chile,Dirección de Previsión de Carabineros de Chile,8496,2,123.86,candidato_sin_verificar
Dirección General del Crédito Prendario,Subsecretaría de Evaluación Social,8482,2,3.57,artefacto_vus
Subsecretaría del Trabajo,Comisión para la Integridad Pública y Transparencia,8461,2,3.15,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Ministerio Secretaría General de Gobierno,8452,2,1.33,efecto_base_lift_bajo
Subsecretaría de Justicia,Comisión Administradora del Sistema de Créditos para Estudios Superiores,8450,1,1.95,candidato_sin_verificar
ACEPTA.COM S.A.,Subsecretaría del Interior,8447,1,2.15,confirmado_acepta
Subsecretaría de Educación,AFP Uno,8423,2,2.24,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Subsecretaría de Hacienda,8375,3,5.81,candidato_sin_verificar
Ministerio de Educación,Subsecretaría de Salud Pública,8357,2,1.65,candidato_sin_verificar
Servicio de Tesorerías,Municipalidad de Peñalolén,8320,1,1.79,candidato_sin_verificar
Carabineros de Chile,Servicio de Salud Araucanía Sur,8312,1,1.56,candidato_sin_verificar
Comisión para el Mercado Financiero,Junta Nacional de Jardines Infantiles,8234,1,1.59,candidato_sin_verificar
Instituto de Previsión Social,Subsecretaría de Bienes Nacionales,8204,1,1.79,candidato_sin_verificar
Dirección de Previsión de Carabineros de Chile,Contraloría General de la República,8168,2,4.26,candidato_sin_verificar
Municipalidad de Temuco,Subsecretaría de Evaluación Social,8166,1,1.34,artefacto_vus
Dirección de Compras y Contratación Pública,Subsecretaría de Salud Pública,8164,4,4.17,candidato_sin_verificar
Gendarmería de Chile,Ministerio Público,8155,3,38.78,candidato_sin_verificar
Comisión para el Mercado Financiero,Poder Judicial,8154,1,1.9,candidato_sin_verificar
Secretaría de Gobierno Digital,Subsecretaría de Prevención del Delito,8148,2,21.79,candidato_sin_verificar
Dirección del Trabajo,Municipalidad de Colina,8103,1,1.93,candidato_sin_verificar
E-Cert Chile,Subsecretaría de Justicia,8090,1,2.05,candidato_sin_verificar
Superintendencia de Insolvencia y Reemprendimiento,Fondo Nacional de Salud,8088,5,3.17,candidato_sin_verificar
Secretaría de Gobierno Digital,Municipalidad de Quilicura,8072,2,1.53,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Municipalidad de Santiago,8060,2,2.04,candidato_sin_verificar
Servicio Nacional del Consumidor,AFP Modelo,8044,1,2.77,candidato_sin_verificar
Servicio Nacional del Consumidor,Servicio de Salud Araucanía Sur,8037,1,1.48,efecto_base_lift_bajo
Defensoría Penal Pública,Subsecretaría de Evaluación Social,8032,2,3.0,artefacto_vus
Subsecretaría de Salud Pública,AFP Uno,7995,6,3.28,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Secretaría de Gobierno Digital,7957,6,6.67,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Municipalidad de Quilicura,7954,2,1.34,efecto_base_lift_bajo
Poder Judicial,Municipalidad de Quilicura,7941,4,1.83,candidato_sin_verificar
Carabineros de Chile,Subsecretaría de Prevención del Delito,7887,2,6.42,candidato_sin_verificar
BPO Advisors SpA,Fondo de Solidaridad e Inversión Social,7881,1,1.44,efecto_base_lift_bajo
ACEPTA.COM S.A.,Servicio de Evaluación Ambiental,7874,2,1.83,confirmado_acepta
Ministerio de Desarrollo Social y Familia,Hospital Regional de Talca,7866,2,1.76,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Consejo Nacional de Televisión,7863,1,2.57,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Dirección del Trabajo,7863,2,2.06,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Comisión para la Integridad Pública y Transparencia,7852,4,1.97,candidato_sin_verificar
Secretaría de Gobierno Digital,Ministerio de Transportes y Telecomunicaciones,7851,1,1.81,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Municipalidad de Quilicura,7819,2,1.48,efecto_base_lift_bajo
Servicio Agrícola y Ganadero,Consejo Nacional de Televisión,7812,2,2.0,candidato_sin_verificar
Ministerio Público,Dirección General de Movilización Nacional,7794,1,3.76,candidato_sin_verificar
Subsecretaría de Evaluación Social,Superintendencia de Electricidad y Combustibles,7792,2,3.15,candidato_sin_verificar
Municipalidad de Santiago,Subsecretaría de Evaluación Social,7738,1,1.58,artefacto_vus
Corporación Nacional de Desarrollo Indígena,Fondo de Solidaridad e Inversión Social,7670,1,4.37,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Subsecretaría de Hacienda,7658,1,1.25,efecto_base_lift_bajo
Subsecretaría de Justicia,Contraloría General de la República,7641,1,1.74,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Consejo Nacional de Televisión,7616,4,3.24,candidato_sin_verificar
Contraloría General de la República,Superintendencia de Pensiones,7614,1,1.92,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Servicio Electoral,7614,1,1.5,efecto_base_lift_bajo
Subsecretaría de Redes Asistenciales,Fondo de Solidaridad e Inversión Social,7592,1,1.21,efecto_base_lift_bajo
Servicio de Salud Arica y Parinacota,Subsecretaría de Evaluación Social,7590,2,3.13,artefacto_vus
Comisión para el Mercado Financiero,Municipalidad de Quilicura,7589,2,1.77,candidato_sin_verificar
Superintendencia de Electricidad y Combustibles,Ministerio Público,7575,2,2.59,candidato_sin_verificar
Comisión para el Mercado Financiero,Subsecretaría de Prevención del Delito,7543,1,2.42,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Consejo Nacional de Televisión,7541,1,1.98,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,E-Digital PKI SpA.,7496,2,2.65,candidato_sin_verificar
Redin,Caja de Previsión de la Defensa Nacional,7484,1,118.94,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Subsecretaría de las Culturas y las Artes,7465,1,1.38,efecto_base_lift_bajo
Instituto de Seguridad Laboral,Carabineros de Chile,7456,1,3.0,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Municipalidad de Coquimbo,7425,1,1.21,efecto_base_lift_bajo
Secretaría de Gobierno Digital,Subsecretaría General de la Presidencia de la República,7396,8,840.72,candidato_sin_verificar
Dirección del Trabajo,Servicio de Impuestos Internos,7368,1,2.24,candidato_sin_verificar
Instituto Nacional de Propiedad Industrial,Subsecretaría de Redes Asistenciales,7358,1,1.49,efecto_base_lift_bajo
Gendarmería de Chile,E-Cert Chile,7341,1,2.28,candidato_sin_verificar
Instituto Nacional de Estadísticas,Subsecretaría de Redes Asistenciales,7336,4,2.89,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Instituto Nacional de Deportes de Chile,7324,2,1.35,efecto_base_lift_bajo
Ministerio del Interior,Subsecretaría de Evaluación Social,7315,1,1.57,artefacto_vus
Subsecretaría de Vivienda y Urbanismo,Subsecretaría de Bienes Nacionales,7309,3,5.62,candidato_sin_verificar
Instituto de Seguridad Laboral,Ministerio Público,7299,2,4.81,candidato_sin_verificar
Servicio Nacional del Consumidor,Municipalidad de Peñalolén,7290,1,2.0,candidato_sin_verificar
Superintendencia de Salud,Comisión para la Integridad Pública y Transparencia,7277,1,3.0,candidato_sin_verificar
Municipalidad de Las Condes,Servicio Nacional del Patrimonio Cultural,7274,2,3.12,candidato_sin_verificar
Instituto de Previsión Social,AFP Uno,7217,1,1.39,efecto_base_lift_bajo
Corporación Nacional de Desarrollo Indígena,Servicio de Salud Araucanía Sur,7216,1,4.68,candidato_sin_verificar
Instituto de Desarrollo Agropecuario,Fondo Nacional de Salud,7216,3,2.28,candidato_sin_verificar
Subsecretaría de Transportes,Municipalidad de Peñalolén,7203,1,3.23,candidato_sin_verificar
Servicio de Evaluación Ambiental,Comisión para la Integridad Pública y Transparencia,7200,2,18.03,candidato_sin_verificar
ACEPTA.COM S.A.,Subsecretaría General de Gobierno,7198,1,1.52,confirmado_acepta
Subsecretaría del Trabajo,Subsecretaría de Desarrollo Regional y Administrativo,7194,1,2.03,candidato_sin_verificar
Instituto de Previsión Social,Municipalidad de Colina,7158,1,1.37,efecto_base_lift_bajo
Municipalidad de Ñuñoa,Servicio de Impuestos Internos,7148,1,2.01,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Corporación de Fomento de la Producción,7135,1,3.65,candidato_sin_verificar
Servicio Agrícola y Ganadero,Subsecretaría de Educación,7124,2,1.87,candidato_sin_verificar
ACEPTA.COM S.A.,Servicio Nacional de Pesca y Acuicultura,7096,1,1.44,confirmado_acepta
ACEPTA.COM S.A.,Subsecretaría General de la Presidencia de la República,7094,2,3.28,confirmado_acepta
Servicio Nacional del Consumidor,Certificadora del Sur,7072,1,2.28,candidato_sin_verificar
Comisión para el Mercado Financiero,Subsecretaría de Transportes,7069,1,1.89,candidato_sin_verificar
Instituto de Previsión Social,Servicio de Salud Metropolitano Oriente,7066,1,1.4,efecto_base_lift_bajo
Ministerio Público,Subsecretaría de Desarrollo Regional y Administrativo,7065,2,1.95,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Dirección del Trabajo,7029,2,3.97,candidato_sin_verificar
Servicio de Tesorerías,Servicio Nacional del Consumidor,7018,1,1.65,candidato_sin_verificar
Servicio Agrícola y Ganadero,Subsecretaría General de Gobierno,7000,1,1.97,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Dirección de Compras y Contratación Pública,6985,1,1.86,candidato_sin_verificar
Caja de Previsión de la Defensa Nacional,Subsecretaría de Evaluación Social,6970,1,1.51,artefacto_vus
Ministerio Público,Superintendencia de Insolvencia y Reemprendimiento,6956,3,13.1,candidato_sin_verificar
ACEPTA.COM S.A.,Servicio Nacional de Aduanas,6893,3,2.13,confirmado_acepta
Subsecretaría de Salud Pública,Servicio de Impuestos Internos,6892,2,2.5,candidato_sin_verificar
Contraloría General de la República,Fondo Nacional de Salud,6889,3,4.85,candidato_sin_verificar
Subsecretaría del Trabajo,Servicio de Salud Araucanía Sur,6838,1,1.56,candidato_sin_verificar
Servicio Agrícola y Ganadero,"Ministerio de las Culturas, las Artes y el Patrimonio",6831,1,2.21,candidato_sin_verificar
Subsecretaría de Telecomunicaciones,Poder Judicial,6802,2,2.12,candidato_sin_verificar
Municipalidad de Puente Alto,Fondo Nacional de Salud,6799,1,1.4,efecto_base_lift_bajo
ACEPTA.COM S.A.,Ministerio del Medio Ambiente,6786,1,2.07,confirmado_acepta
Subsecretaría de Redes Asistenciales,Municipalidad de Los Angeles,6783,1,1.64,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Servicio de Salud Araucanía Sur,6771,2,2.69,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Dirección de Contabilidad y Finanzas,6747,4,76.71,candidato_sin_verificar
Subsecretaría de Salud Pública,Municipalidad de Peñalolén,6741,2,2.03,candidato_sin_verificar
Subsecretaría de Salud Pública,Subsecretaría de Economía y Empresas de Menor Tamaño,6735,3,2.43,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Ministerio de Transportes y Telecomunicaciones,6720,1,1.45,efecto_base_lift_bajo
Poder Judicial,Servicio de Impuestos Internos,6716,1,2.2,candidato_sin_verificar
Servicio de Impuestos Internos,Municipalidad de Viña del Mar,6709,1,1.46,efecto_base_lift_bajo
Servicio Agrícola y Ganadero,Subsecretaría de Transportes,6683,3,2.52,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Subsecretaría de Derechos Humanos,6678,2,2.7,candidato_sin_verificar
Subsecretaría de Educación,Servicio de Salud Araucanía Sur,6663,3,2.06,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Corporación de Fomento de la Producción,6655,1,1.73,candidato_sin_verificar
Subsecretaría del Trabajo,E-Digital PKI SpA.,6652,1,1.81,candidato_sin_verificar
BPO Advisors SpA,Subsecretaría de Economía y Empresas de Menor Tamaño,6649,1,2.73,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Dirección de Contabilidad y Finanzas,6648,2,1.33,efecto_base_lift_bajo
Servicio de Impuestos Internos,Subsecretaría del Interior,6640,2,1.76,candidato_sin_verificar
Subsecretaría General de Gobierno,Contraloría General de la República,6639,1,31.91,candidato_sin_verificar
Ministerio de Transportes y Telecomunicaciones,Fondo Nacional de Salud,6637,2,1.82,candidato_sin_verificar
Servicio de Impuestos Internos,Caja de Previsión de la Defensa Nacional,6614,1,1.97,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,Subsecretaría de Economía y Empresas de Menor Tamaño,6597,2,2.07,candidato_sin_verificar
Secretaría de Gobierno Digital,Sociedad Administradora de Fondos de Cesantía de Chile S.A.,6595,2,1.93,candidato_sin_verificar
Fondo Nacional de Salud,Dirección General del Crédito Prendario,6587,1,1.3,efecto_base_lift_bajo
Secretaría de Gobierno Digital,Agencia Nacional de Ciberseguridad,6582,5,117.69,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Subsecretaría de Bienes Nacionales,6581,1,1.67,candidato_sin_verificar
Subsecretaría del Trabajo,Dirección de Educación Pública,6563,2,3.53,candidato_sin_verificar
Dirección de Previsión de Carabineros de Chile,Subsecretaría de Prevención del Delito,6554,1,76.51,candidato_sin_verificar
Subsecretaría del Trabajo,AFP Modelo,6543,1,2.8,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Subsecretaría de Derechos Humanos,6534,1,3.19,candidato_sin_verificar
Dirección de Previsión de Carabineros de Chile,Subsecretaría de Redes Asistenciales,6527,2,1.48,efecto_base_lift_bajo
Superintendencia de Insolvencia y Reemprendimiento,Ministerio Público,6513,3,3.36,candidato_sin_verificar
Servicio de Impuestos Internos,Certificadora del Sur,6508,1,2.27,candidato_sin_verificar
Subsecretaría de Telecomunicaciones,Fondo Nacional de Salud,6503,2,1.66,candidato_sin_verificar
Servicio Nacional de Pesca y Acuicultura,Subsecretaría de Evaluación Social,6467,3,3.51,artefacto_vus
Ministerio de Desarrollo Social y Familia,Servicio Nacional de Pesca y Acuicultura,6466,1,1.27,efecto_base_lift_bajo
Corporación de Asistencia Judicial de la Región Metropolitana,Fondo Nacional de Salud,6453,1,2.34,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Instituto de Previsión Social,6434,1,1.21,efecto_base_lift_bajo
Subsecretaría de Redes Asistenciales,Servicio Nacional de Pesca y Acuicultura,6415,1,1.43,efecto_base_lift_bajo
Instituto de Desarrollo Agropecuario,Carabineros de Chile,6324,3,3.67,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,Subsecretaría de Desarrollo Regional y Administrativo,6301,2,1.99,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Certificadora del Sur,6298,1,3.22,candidato_sin_verificar
Contraloría General de la República,docdigital,6296,3,41.0,candidato_sin_verificar
E-Sign S.A.,Subsecretaría de Desarrollo Regional y Administrativo,6296,1,1.68,candidato_sin_verificar
Subsecretaría de Evaluación Social,Ministerio de Educación,6287,1,1.25,efecto_base_lift_bajo
Superintendencia de Seguridad Social,Subsecretaría de Justicia,6245,4,3.05,candidato_sin_verificar
Ministerio del Medio Ambiente,Carabineros de Chile,6241,2,1.43,efecto_base_lift_bajo
Servicio Agrícola y Ganadero,Servicio Nacional de Pesca y Acuicultura,6239,1,1.68,candidato_sin_verificar
Sanidad Naval de la Armada de Chile,Caja de Previsión de la Defensa Nacional,6221,1,50.7,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Servicio Nacional del Consumidor,6215,1,4.36,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Defensoría Penal Pública,6200,2,1.38,efecto_base_lift_bajo
Subsecretaría de Salud Pública,Contraloría General de la República,6199,4,17.9,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Poder Judicial,6191,2,4.99,candidato_sin_verificar
Servicio Nacional del Consumidor,Subsecretaría de Justicia,6183,1,2.25,candidato_sin_verificar
Dirección General del Crédito Prendario,Fondo Nacional de Salud,6167,4,1.93,candidato_sin_verificar
Contraloría General de la República,Subsecretaría de Desarrollo Regional y Administrativo,6147,3,5.06,candidato_sin_verificar
Subsecretaría de Vivienda y Urbanismo,AFP Modelo,6140,2,2.45,candidato_sin_verificar
Agencia de Calidad de la Educación,Subsecretaría de Educación,6132,3,462.6,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Subsecretaría de Desarrollo Regional y Administrativo,6129,3,5.38,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Dirección de Educación Pública,6127,2,16.07,candidato_sin_verificar
Servicio Electoral,Subsecretaría de Justicia,6117,1,1.78,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Superintendencia de Electricidad y Combustibles,6101,1,1.26,efecto_base_lift_bajo
BPO Advisors SpA,Subsecretaría de Desarrollo Regional y Administrativo,6060,1,1.55,candidato_sin_verificar
Servicio de Impuestos Internos,Municipalidad de Coquimbo,6041,1,1.54,candidato_sin_verificar
Dirección General de Movilización Nacional,Subsecretaría de Economía y Empresas de Menor Tamaño,6014,3,2.03,candidato_sin_verificar
Subsecretaría de Transportes,Comisión para la Integridad Pública y Transparencia,6003,5,38.07,candidato_sin_verificar
Servicio Electoral,Municipalidad de Peñalolén,5963,1,1.31,efecto_base_lift_bajo
Servicio de Impuestos Internos,Dirección de Contabilidad y Finanzas,5950,3,1.72,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Superintendencia de Educación,5948,1,1.95,candidato_sin_verificar
Subsecretaría General de Gobierno,Subsecretaría de Hacienda,5932,2,51.85,candidato_sin_verificar
Servicio de Impuestos Internos,Hospital Regional de Talca,5931,1,1.22,efecto_base_lift_bajo
Gendarmería de Chile,Poder Judicial,5926,2,4.14,candidato_sin_verificar
BPO Advisors SpA,Servicio de Salud Araucanía Sur,5918,1,1.23,efecto_base_lift_bajo
Servicio de Cooperación Técnica,Subsecretaría de Educación,5911,1,1.71,candidato_sin_verificar
Superintendencia de Electricidad y Combustibles,Comisión para la Integridad Pública y Transparencia,5909,2,5.27,candidato_sin_verificar
