institucion_origen,institucion_destino,soporte_total,n_pares_servicio,lift_max,categoria
Subsecretaría de Economía y Empresas de Menor Tamaño,Fondo Nacional de Salud,281558,6,3.88,candidato_sin_verificar
ACEPTA.COM S.A.,Subsecretaría de Salud Pública,279120,9,2.71,confirmado_acepta
Servicio de Impuestos Internos,Superintendencia de Pensiones,266302,3,1.97,candidato_sin_verificar
Servicio de Impuestos Internos,Contraloría General de la República,265890,6,2.49,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Subsecretaría de Evaluación Social,258628,12,5.16,artefacto_vus
Poder Judicial,Subsecretaría de Justicia,258376,5,4.3,candidato_sin_verificar
ACEPTA.COM S.A.,E-Cert Chile,255160,1,1.9,confirmado_acepta
Servicio de Registro Civil e Identificación,Contraloría General de la República,251478,3,1.27,efecto_base_lift_bajo
Subsecretaría de Evaluación Social,Fondo Nacional de Salud,237247,6,2.24,candidato_sin_verificar
Fondo Nacional de Salud,Subsecretaría de Educación,235239,6,1.68,candidato_sin_verificar
Secretaría de Gobierno Digital,Fondo Nacional de Salud,232728,9,1.74,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Subsecretaría de Justicia,231383,4,1.62,candidato_sin_verificar
Instituto de Previsión Social,Subsecretaría de Servicios Sociales,225588,3,6.5,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Secretaría de Gobierno Digital,223551,6,1.34,efecto_base_lift_bajo
Subsecretaría de Salud Pública,Superintendencia de Seguridad Social,208831,4,10.4,confirmado_milicencia_suseso
Servicio de Registro Civil e Identificación,Subsecretaría de Salud Pública,206381,4,1.27,efecto_base_lift_bajo
Poder Judicial,Subsecretaría de Redes Asistenciales,205156,2,1.47,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Carabineros de Chile,204780,3,1.64,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Subsecretaría de Salud Pública,200633,3,1.72,candidato_sin_verificar
ACEPTA.COM S.A.,Superintendencia de Seguridad Social,200238,4,2.02,confirmado_acepta
Servicio de Registro Civil e Identificación,Instituto de Seguridad Laboral,199319,1,1.26,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Subsecretaría de Desarrollo Regional y Administrativo,199269,2,1.41,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Universidad de La Frontera,199012,1,1.42,efecto_base_lift_bajo
Servicio Nacional de Capacitación y Empleo,Subsecretaría de Evaluación Social,198553,7,5.34,artefacto_vus
ACEPTA.COM S.A.,Carabineros de Chile,198479,2,1.99,confirmado_acepta
Ministerio de Desarrollo Social y Familia,Subsecretaría de Educación,197121,5,2.14,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Carabineros de Chile,194601,7,3.87,candidato_sin_verificar
Instituto de Previsión Social,Subsecretaría de Justicia,193650,5,1.98,candidato_sin_verificar
Comisión para el Mercado Financiero,Subsecretaría de Redes Asistenciales,190901,1,1.44,efecto_base_lift_bajo
Servicio de Impuestos Internos,Subsecretaría de Transportes,188490,11,2.37,candidato_sin_verificar
Fondo Nacional de Salud,Subsecretaría de Desarrollo Regional y Administrativo,187092,2,1.41,efecto_base_lift_bajo
ACEPTA.COM S.A.,Instituto de Previsión Social,185239,1,1.33,confirmado_acepta
Fondo Nacional de Salud,Contraloría General de la República,181414,6,2.58,candidato_sin_verificar
Fondo Nacional de Salud,Subsecretaría de Salud Pública,180245,5,2.36,candidato_sin_verificar
ACEPTA.COM S.A.,Servicio Electoral,179452,2,1.48,confirmado_acepta
Subsecretaría de Redes Asistenciales,Servicio Nacional del Consumidor,178815,2,2.44,candidato_sin_verificar
ACEPTA.COM S.A.,Servicio Nacional del Consumidor,178560,2,1.87,confirmado_acepta
Subsecretaría de Redes Asistenciales,Servicio Electoral,173976,1,1.63,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Subsecretaría de Servicios Sociales,172166,2,4.81,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Fondo Nacional de Salud,171831,9,16.38,candidato_sin_verificar
Servicio Agrícola y Ganadero,Servicio Nacional del Consumidor,171329,2,2.39,candidato_sin_verificar
Fondo Nacional de Salud,Superintendencia de Pensiones,169614,2,2.05,candidato_sin_verificar
Secretaría de Gobierno Digital,Carabineros de Chile,169102,5,1.46,efecto_base_lift_bajo
Instituto de Previsión Social,Subsecretaría de Educación,166000,5,2.44,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Subsecretaría de Redes Asistenciales,165948,4,2.52,candidato_sin_verificar
Subsecretaría del Trabajo,Fondo Nacional de Salud,165305,5,3.07,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Carabineros de Chile,162905,8,9.51,candidato_sin_verificar
Instituto de Previsión Social,Fondo de Solidaridad e Inversión Social,162454,5,4.84,candidato_sin_verificar
ACEPTA.COM S.A.,BPO Advisors SpA,160945,1,1.95,confirmado_acepta
Servicio de Impuestos Internos,Subsecretaría de Salud Pública,160855,5,2.14,candidato_sin_verificar
Fondo Nacional de Salud,Ministerio de Educación,160747,3,1.94,candidato_sin_verificar
Comisión para el Mercado Financiero,Fondo Nacional de Salud,156978,3,1.69,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Superintendencia de Pensiones,156665,2,1.61,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Superintendencia de Insolvencia y Reemprendimiento,152595,4,1.35,efecto_base_lift_bajo
ACEPTA.COM S.A.,E-Sign S.A.,150046,1,1.89,confirmado_acepta
Servicio de Registro Civil e Identificación,Instituto Nacional de Propiedad Industrial,144569,1,1.28,efecto_base_lift_bajo
Servicio de Impuestos Internos,Superintendencia de Insolvencia y Reemprendimiento,144271,5,4.76,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Subsecretaría del Trabajo,143691,3,2.79,candidato_sin_verificar
Comisión para el Mercado Financiero,Superintendencia de Insolvencia y Reemprendimiento,143265,4,2.89,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Subsecretaría de Servicios Sociales,142628,1,1.21,efecto_base_lift_bajo
Subsecretaría de Economía y Empresas de Menor Tamaño,Servicio Agrícola y Ganadero,142100,3,7.89,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Instituto de Seguridad Laboral,141698,2,1.77,candidato_sin_verificar
ACEPTA.COM S.A.,Subsecretaría de Vivienda y Urbanismo,140368,3,1.8,confirmado_acepta
Fondo Nacional de Salud,Instituto de Seguridad Laboral,138730,1,1.64,candidato_sin_verificar
Comisión para el Mercado Financiero,Superintendencia de Pensiones,136999,1,1.71,candidato_sin_verificar
ACEPTA.COM S.A.,Subsecretaría del Trabajo,136172,2,2.07,confirmado_acepta
Secretaría de Gobierno Digital,AFP Uno,136034,5,2.64,candidato_sin_verificar
Subsecretaría del Trabajo,Subsecretaría de Evaluación Social,135253,6,2.84,artefacto_vus
Subsecretaría de Redes Asistenciales,Servicio de Impuestos Internos,135075,3,1.65,candidato_sin_verificar
Poder Judicial,Subsecretaría de Servicios Sociales,132888,2,2.72,candidato_sin_verificar
Subsecretaría de Salud Pública,Subsecretaría de Redes Asistenciales,132098,11,4.41,candidato_sin_verificar
Servicio Agrícola y Ganadero,BPO Advisors SpA,129849,1,2.08,candidato_sin_verificar
Subsecretaría de Servicios Sociales,Subsecretaría de Evaluación Social,129677,2,3.94,artefacto_vus
Servicio de Registro Civil e Identificación,Universidad de Chile,128911,1,1.28,efecto_base_lift_bajo
Fondo Nacional de Salud,Subsecretaría de Servicios Sociales,127308,3,2.25,candidato_sin_verificar
Secretaría de Gobierno Digital,Subsecretaría de Educación,126881,4,4.8,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Corporación de Asistencia Judicial de la Región Metropolitana,125676,1,1.3,efecto_base_lift_bajo
Subsecretaría del Trabajo,Carabineros de Chile,125431,3,4.8,candidato_sin_verificar
ACEPTA.COM S.A.,Subsecretaría de Educación,125350,6,1.84,confirmado_acepta
Servicio Agrícola y Ganadero,Servicio de Impuestos Internos,124929,3,2.41,candidato_sin_verificar
Fondo de Solidaridad e Inversión Social,Subsecretaría de Vivienda y Urbanismo,124210,4,6.25,candidato_sin_verificar
ACEPTA.COM S.A.,Subsecretaría de Transportes,123751,4,2.03,confirmado_acepta
Servicio de Registro Civil e Identificación,Subsecretaría de Transportes,122655,3,1.32,efecto_base_lift_bajo
Secretaría de Gobierno Digital,Ministerio Público,122451,6,3.7,candidato_sin_verificar
ACEPTA.COM S.A.,Subsecretaría de Redes Asistenciales,122070,5,1.79,confirmado_acepta
Dirección del Trabajo,Subsecretaría de Redes Asistenciales,121444,2,1.3,efecto_base_lift_bajo
Poder Judicial,Fondo de Solidaridad e Inversión Social,118172,6,2.45,candidato_sin_verificar
Poder Judicial,Subsecretaría de Salud Pública,117055,4,1.55,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Carabineros de Chile,116522,6,5.24,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Superintendencia de Electricidad y Combustibles,116029,2,1.29,efecto_base_lift_bajo
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Superintendencia de Insolvencia y Reemprendimiento,116019,4,1.99,candidato_sin_verificar
Servicio de Impuestos Internos,Ministerio Público,115466,6,2.85,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,AFP Uno,115435,2,1.68,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Subsecretaría de Transportes,113704,2,2.16,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,E-Sign S.A.,111670,1,1.55,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,BPO Advisors SpA,111527,1,1.48,efecto_base_lift_bajo
Servicio Agrícola y Ganadero,Subsecretaría de Economía y Empresas de Menor Tamaño,110693,4,4.7,candidato_sin_verificar
Instituto de Seguridad Laboral,Subsecretaría de Evaluación Social,108913,4,7.17,artefacto_vus
Servicio de Registro Civil e Identificación,Comisión Administradora del Sistema de Créditos para Estudios Superiores,107420,1,1.25,efecto_base_lift_bajo
Servicio de Impuestos Internos,Superintendencia de Electricidad y Combustibles,106863,3,1.97,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Fondo de Solidaridad e Inversión Social,106841,2,2.91,candidato_sin_verificar
Comisión para el Mercado Financiero,Ministerio Público,105494,1,1.76,candidato_sin_verificar
Dirección del Trabajo,Subsecretaría de Evaluación Social,105159,2,1.76,artefacto_vus
Carabineros de Chile,Subsecretaría de Redes Asistenciales,105087,2,1.95,candidato_sin_verificar
Subsecretaría de Salud Pública,Fondo Nacional de Salud,104258,15,61.99,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Subsecretaría de Vivienda y Urbanismo,104125,3,3.93,candidato_sin_verificar
Servicio Electoral,Subsecretaría de Redes Asistenciales,103982,3,1.61,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Ministerio Público,103849,2,1.54,candidato_sin_verificar
Universidad de La Frontera,Ministerio de Educación,103816,1,45.66,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Subsecretaría de Servicios Sociales,101516,1,1.59,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Municipalidad de Santiago,101273,4,1.31,efecto_base_lift_bajo
Servicio Nacional de Capacitación y Empleo,Subsecretaría de Servicios Sociales,101197,2,7.03,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Servicio Nacional del Patrimonio Cultural,100919,1,1.25,efecto_base_lift_bajo
Instituto de Seguridad Laboral,Fondo Nacional de Salud,100096,4,4.3,candidato_sin_verificar
Subsecretaría de Salud Pública,Subsecretaría de Evaluación Social,100006,9,4.77,artefacto_vus
Subsecretaría de Vivienda y Urbanismo,Subsecretaría de Justicia,99337,6,3.71,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Fondo de Solidaridad e Inversión Social,97850,1,1.23,efecto_base_lift_bajo
