institucion,binarizada_constraint,binarizada_constraint_pct,binarizada_constraint_residual,binarizada_constraint_z_nulo,binarizada_effective_size,binarizada_effective_size_nx,binarizada_effective_size_pct,binarizada_efficiency,binarizada_hierarchy,binarizada_caso_borde,ponderada_constraint,ponderada_constraint_pct,ponderada_constraint_residual,ponderada_constraint_z_nulo,ponderada_effective_size,ponderada_effective_size_nx,ponderada_effective_size_pct,ponderada_efficiency,ponderada_hierarchy,ponderada_caso_borde,grado,grado_ponderado,betweenness_binaria,betweenness_binaria_pct,betweenness_ponderada,betweenness_ponderada_pct,closeness,clustering_local
TERCER TRIBUNAL AMBIENTAL,0.03656113189885488,78.419452887538,,,2.0769230769230567,2.0769230769230567,8.51063829787234,0.053254437869821966,0.0,normal,0.8757261309487465,98.48024316109422,0.6736744087926747,4.4412083156444115,18.47608328266811,37.73165114481842,16.41337386018237,0.47374572519661823,0.01802096211307157,normal,39,11367.689031547048,3.150300646174468e-06,25.13368983957219,0.0006021419047755588,59.224598930481285,0.4667974814559255,0.97165991902834
SEGUNDO TRIBUNAL AMBIENTAL,0.03183423889799719,67.78115501519757,,,3.2040816326530277,3.2040816326530277,16.717325227963524,0.06538942107455159,-5.821854816485707e-19,normal,0.8824046499440675,98.78419452887537,0.7017102384840326,4.674100631086626,28.285065051530793,47.47440278667333,29.78723404255319,0.5772462255414448,0.013805615551044113,normal,49,10963.079537717786,1.2490847508059065e-05,36.36363636363637,0.0027096385714900145,81.81818181818183,0.4744498991847111,0.9540816326530612
PRIMER TRIBUNAL AMBIENTAL,0.034685475291864096,73.55623100303951,,,2.6190476190475893,2.619047619047589,13.98176291793313,0.06235827664399022,0.0,normal,0.9320400866423364,99.3920972644377,0.7369223710292988,4.615141400032854,20.354605641202664,40.57475500568991,18.84498480243161,0.48463346764768245,0.016782693015475705,normal,42,10636.407597046658,5.6082745401677605e-06,29.144385026737968,0.00011469369614772548,40.77540106951872,0.4690671612685151,0.9605110336817654
TRIBUNAL CALIFICADOR DE ELECCIONES DE CHILE‎,0.02652773726875302,58.96656534954408,,,9.149253731343236,9.149253731343236,48.02431610942249,0.13655602584094384,0.0,normal,0.28658527400497397,84.19452887537993,0.1351651586812857,0.835353549125515,50.54662608869575,65.9670663421197,45.2887537993921,0.7544272550551605,0.007415255175339204,normal,67,6140.452841467689,8.028144926158312e-05,57.75401069518716,0.0065232039684018864,95.18716577540107,0.48970294162888967,0.8765264586160109
PRIMER TRIBUNAL ELECTORAL,0.0349012552418182,74.46808510638297,,,2.0999999999999797,2.0999999999999797,9.422492401215806,0.05249999999999949,0.0,normal,0.7082464512068889,96.96048632218846,0.5085636219123597,3.40293023596603,22.91029369293157,39.308267173857594,22.188449848024316,0.5727573423232892,0.019357807352312937,normal,40,5254.514893235222,2.3164565431922415e-06,23.262032085561497,0.00014336712018465686,43.44919786096257,0.46755159693485265,0.9717948717948718
SEGUNDO TRIBUNAL ELECTORAL REGION METROPOLITANA,0.03268543480901872,69.6048632218845,,,2.272727272727296,2.272727272727296,12.158054711246201,0.051652892561984,0.0,normal,0.8091121255150142,98.17629179331307,0.6183471142523979,3.8456125016430858,25.91836790472331,43.13045478441853,26.13981762917933,0.5890538160164389,0.01803507964180937,normal,44,4823.706563413823,3.951951480103764e-06,27.00534759358289,1.4336712018465685e-05,29.010695187165776,0.47059258293117684,0.9704016913319239
DIRECCION DE PRESUPUESTOS,0.02790522559286608,62.61398176291794,,,3.7931034482758257,3.793103448275825,20.060790273556233,0.06539833531510045,0.0,normal,0.6755715134267158,95.74468085106383,0.5106545002323983,3.0559358599505875,37.070641812449985,56.72062023169217,36.77811550151976,0.639148996766379,0.012790183265411375,normal,58,3110.511076038984,1.6920204429446492e-05,40.106951871657756,0.0018064257143266763,77.27272727272727,0.48155480616085483,0.9509981851179673
SUBSECRETARIA DE LA MUJER Y LA EQUIDAD DE GENERO,0.035573527555209025,75.6838905775076,,,1.684210526315817,1.684210526315817,3.64741641337386,0.04432132963988992,0.0,normal,0.7261151811442699,97.56838905775076,0.5216330296100321,3.1313706867024615,19.743128219441697,37.1802351874495,18.237082066869302,0.5195560057747816,0.02024681382647109,normal,38,2995.5941203114157,1.6376051184104878e-06,20.053475935828878,0.0007455090249602156,62.56684491978609,0.46604579469029594,0.9815078236130867
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,0.017501989322057664,3.343465045592705,,,164.55471698113203,164.55471698113223,96.04863221884499,0.6209611961552152,0.0,normal,0.02918061465136094,25.227963525835868,0.006417602070541133,-0.5850854677883587,245.65355417116345,256.533686028525,96.04863221884499,0.9269945440421262,0.00036478794240826806,normal,265,2711.836807959939,0.010461375431545102,96.2566844919786,0.0914538859657926,100.0,0.7345544124433345,0.3804745568896512
SUBSECRETARIA DE OBRAS PUBLICAS,0.025377686072997827,51.671732522796354,,,7.184210526315725,7.184210526315725,40.42553191489361,0.09452908587257533,0.0,normal,0.5593801286219205,94.22492401215806,0.41975317343982066,2.445877412377764,67.82704824842773,74.24998762569383,53.799392097264445,0.8924611611635228,0.008848255352652311,normal,76,2635.565741705591,0.00017755246313561898,66.84491978609626,0.005677337959312411,94.11764705882352,0.49557266866896194,0.9175438596491228
