grupo,nombre_buscado,institucion,binarizada_constraint,binarizada_constraint_pct,binarizada_constraint_residual,binarizada_constraint_z_nulo,binarizada_effective_size,binarizada_effective_size_nx,binarizada_effective_size_pct,binarizada_efficiency,binarizada_hierarchy,binarizada_caso_borde,ponderada_constraint,ponderada_constraint_pct,ponderada_constraint_residual,ponderada_constraint_z_nulo,ponderada_effective_size,ponderada_effective_size_nx,ponderada_effective_size_pct,ponderada_efficiency,ponderada_hierarchy,ponderada_caso_borde,grado,grado_ponderado,betweenness_binaria,betweenness_binaria_pct,betweenness_ponderada,betweenness_ponderada_pct,closeness,clustering_local
puentes,SUBSECRETARIA GENERAL DE LA PRESIDENCIA,SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,0.01749729346678693,9.422492401215806,,,149.83453237410112,149.83453237410103,90.5775075987842,0.538973138036335,0.0,normal,0.10950890282498564,1.5197568389057752,0.012249804159592856,-0.7212692450768328,172.96373085944487,264.53107253877107,96.35258358662614,0.6221716937390103,0.0009678712161903187,normal,278,2270255,0.007311629789463316,92.7807486631016,0.0,49.19786096256685,0.7616169434280889,0.4626912188660624
puentes,COMISION PARA LA INTEGRIDAD PUBLICA,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,0.018063563145179578,13.069908814589665,,,102.966527196653,102.96652719665289,86.93009118541033,0.4308222895257448,-8.482270680363058e-20,normal,0.10646948845374979,0.60790273556231,0.004202274601382894,-0.9145992601152041,151.03119838449788,225.43582852955547,89.36170212765957,0.6319297003535477,0.00102725126217618,normal,239,1122050,0.0032168331910123783,88.50267379679144,0.0,49.19786096256685,0.690726583538601,0.5715692134594423
puentes,CONTRALORIA GENERAL DE LA REPUBLICA,CONTRALORIA GENERAL DE LA REPUBLICA,0.017380781716417746,3.64741641337386,,,174.24161073825488,174.24161073825476,94.22492401215806,0.5847033917391103,0.0,normal,0.11550814236749637,12.76595744680851,0.020550785284328882,-0.5290437224750982,180.27394131336698,284.70675722040244,98.78419452887537,0.604946111789822,0.0009760207237637622,normal,298,5608523,0.010485553058454746,96.2566844919786,0.0,49.19786096256685,0.8039289958407605,0.41669491333920866
puentes,SERVICIO CIVIL,DIRECCION NACIONAL DEL SERVICIO CIVIL,0.017347282221082058,0.60790273556231,,,179.95709570957067,179.95709570957084,96.04863221884499,0.5939178076223455,0.0,normal,0.12054244306254751,26.13981762917933,0.026136375807258097,-0.4207489663458543,180.05951583758574,289.89692483287837,98.48024316109422,0.5942558278468176,0.0010141539390067635,normal,303,10580556,0.011010101760358704,96.79144385026738,0.0,49.19786096256685,0.8152519394441515,0.40742683539877167
puentes,COMISION PARA EL MERCADO FINANCIERO,COMISION PARA EL MERCADO FINANCIERO,0.017452985400792452,8.51063829787234,,,206.12693498451995,206.12693498451995,99.08814589665653,0.6381638854009906,0.0,normal,0.13162062190127985,61.09422492401215,0.03933232039769061,-0.05250646979067197,182.472400794794,310.51477482730047,99.3920972644377,0.5649300334204148,0.0010714819033974471,normal,323,48905616,0.019846903637584547,99.19786096256684,0.0,49.19786096256685,0.8639236970229068,0.36295982924062076
hubs,PODER JUDICIAL,PODER JUDICIAL,0.01738380738438127,3.951367781155015,,,190.20257234726708,190.20257234726708,97.26443768996961,0.611583833914042,0.0,normal,0.13206430740995667,63.22188449848024,0.03852165720419265,-0.11030660420350302,173.79967988704192,298.3049530653849,96.65653495440729,0.5588414144277876,0.0010867402581390398,normal,311,35100435,0.012658501454845348,97.59358288770053,0.0,49.19786096256685,0.8340473732065526,0.3896691214604294
hubs,SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,0.017342347522793823,0.0,,,214.16109422492448,214.16109422492448,100.0,0.6509455751517461,0.0,normal,0.1236382511062738,35.25835866261398,0.03195975370462098,-0.17969952535942363,197.1963613431039,317.1000396910602,100.0,0.5993810375170331,0.0010589495080311432,normal,329,82350032,0.032141351029019806,100.0,0.5267953147625124,100.0,0.8796791443850267,0.3501186151679146
hubs,SERVICIO DE IMPUESTOS INTERNOS,SERVICIO DE IMPUESTOS INTERNOS,0.01743884960328007,7.29483282674772,,,212.81097560975613,212.81097560975618,99.69604863221885,0.6488139500297443,0.0,normal,0.1278775463076371,49.544072948328264,0.0360981911287529,-0.0878881208620742,191.49213258333253,315.69347482649613,99.69604863221885,0.583817477388209,0.001058226806187863,normal,328,68084356,0.02743890948696306,99.73262032085562,0.011404854410689452,99.73262032085562,0.8770134500081024,0.3522600134258223
hubs,SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,0.017414142433748187,6.382978723404255,,,198.17981072555233,198.17981072555224,97.87234042553192,0.6251729044970105,0.0,normal,0.1348058347259669,74.16413373860182,0.0418962946296943,-0.012956164097463446,174.0212732831605,304.60652161575507,96.96048632218846,0.548963007202399,0.0011228651520066163,normal,317,55609461,0.01591499002767348,98.1283422459893,0.0,49.19786096256685,0.8487226935562281,0.3760132571976201
hubs,MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,0.017446886458650803,7.90273556231003,,,202.14999999999984,202.14999999999995,98.48024316109422,0.6317187499999994,0.0,normal,0.13473912252752757,73.55623100303951,0.042141657776877645,-0.0042634550987283,177.7398575369519,307.69839447389387,97.87234042553192,0.5554370548029747,0.0011146105870021932,normal,320,59359308,0.017497234975963356,98.66310160427807,0.0010752534013849264,98.93048128342245,0.8562557352150112,0.369435736677116
