grupo,nombre_buscado,institucion,binarizada_constraint,binarizada_constraint_pct,binarizada_constraint_residual,binarizada_constraint_z_nulo,binarizada_effective_size,binarizada_effective_size_nx,binarizada_effective_size_pct,binarizada_efficiency,binarizada_hierarchy,binarizada_caso_borde,ponderada_constraint,ponderada_constraint_pct,ponderada_constraint_residual,ponderada_constraint_z_nulo,ponderada_effective_size,ponderada_effective_size_nx,ponderada_effective_size_pct,ponderada_efficiency,ponderada_hierarchy,ponderada_caso_borde,grado,grado_ponderado,betweenness_binaria,betweenness_binaria_pct,betweenness_ponderada,betweenness_ponderada_pct,closeness,clustering_local
puentes,SUBSECRETARIA GENERAL DE LA PRESIDENCIA,SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,0.017501989322057664,3.343465045592705,,,164.55471698113203,164.55471698113223,96.04863221884499,0.6209611961552152,0.0,normal,0.02918061465136094,25.227963525835868,0.006417602070541133,-0.5850854677883587,245.65355417116345,256.533686028525,96.04863221884499,0.9269945440421262,0.00036478794240826806,normal,265,2711.836807959939,0.010461375431545102,96.2566844919786,0.0914538859657926,100.0,0.7345544124433345,0.3804745568896512
puentes,COMISION PARA LA INTEGRIDAD PUBLICA,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,0.01832046710082978,9.72644376899696,,,119.71365638766513,119.71365638766504,89.36170212765957,0.5273729356284808,0.0,normal,0.03467767338605341,29.48328267477204,-0.002567508571574749,-0.590138653631107,205.3322658030271,217.4581825726446,90.88145896656535,0.9045474264450533,0.00038737063156529306,normal,227,2198.319149945879,0.004880462754920577,89.83957219251337,0.05270175337987986,99.73262032085562,0.6699408298673004,0.4747183345678531
puentes,CONTRALORIA GENERAL DE LA REPUBLICA,CONTRALORIA GENERAL DE LA REPUBLICA,0.016991759060482295,1.21580547112462,,,188.39716312056726,188.39716312056728,97.87234042553192,0.6680750465268342,0.0,normal,0.02646197905427902,22.492401215805472,0.009516659372004046,-0.6130728449193652,263.99408575666496,271.89996163655013,97.87234042553192,0.9361492402718615,0.00020696857424311714,normal,282,1758.7108906457745,0.015569502070658046,97.86096256684492,0.05115338848188556,99.46524064171123,0.7676775557100101,0.33310618106559653
puentes,SERVICIO CIVIL,DIRECCION NACIONAL DEL SERVICIO CIVIL,0.017464516485771252,2.735562310030395,,,193.35254237288163,193.3525423728815,98.48024316109422,0.6554323470267174,0.0,normal,0.019783512488228922,11.854103343465045,0.007055064173187426,-0.6538532347118586,272.63218582410826,279.2008468023544,99.08814589665653,0.9241769010986721,9.392782848997194e-05,normal,295,1111.72573694104,0.016336738011982013,98.3957219251337,0.027010365442789352,99.19786096256684,0.7972849545528203,0.34573965179292054
puentes,COMISION PARA EL MERCADO FINANCIERO,COMISION PARA EL MERCADO FINANCIERO,0.017329525871118634,1.82370820668693,,,215.6025641025644,215.60256410256414,99.69604863221885,0.691033859303091,0.0,normal,0.015683503688300966,0.303951367781155,0.00819737058864279,-0.6634046060699501,290.3903983707197,291.06025789964383,99.69604863221885,0.9307384563164093,5.749309939504805e-06,normal,312,531.4034249185946,0.02976526512915415,99.73262032085562,0.024888532064056428,98.93048128342245,0.8364579147476121,0.30995960095638553
hubs,PODER JUDICIAL,PODER JUDICIAL,0.01721962496542098,1.5197568389057752,,,196.61224489795904,196.612244897959,99.08814589665653,0.6687491323059831,0.0,normal,0.0166925675513072,3.0395136778115504,0.003646406638456154,-0.664354609894811,272.4158032920839,274.44791954922505,98.48024316109422,0.9265843649390609,2.0947513579702042e-05,normal,294,522.358287917449,0.017786914914448917,99.19786096256684,0.0006881621768863529,61.096256684491976,0.7929162698703391,0.33238141673051474
hubs,SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,0.016236992903322745,0.0,,,158.17299578059087,158.1729957805908,93.9209726443769,0.6673966066691598,-8.566996732041485e-20,normal,0.01651251322240173,2.43161094224924,-0.016699015259107816,-0.6803173885043914,219.8789063341857,220.09676960449195,93.00911854103343,0.9277590984564797,5.060391917730251e-07,normal,237,301.84393984718736,0.02269236692106109,99.46524064171123,0.004731114966093676,91.97860962566845,0.684194890077243,0.3340127297432597
hubs,SERVICIO DE IMPUESTOS INTERNOS,SERVICIO DE IMPUESTOS INTERNOS,0.016605042416127085,0.60790273556231,,,219.17307692307722,219.1730769230772,100.0,0.7024778106508885,0.0,normal,0.015494386036790833,0.0,0.008008252937132657,-0.6558492453163881,292.3702478874165,292.97670058340174,100.0,0.9370841278442836,1.9948124709115697e-06,normal,312,467.8544856765905,0.03960459482237457,100.0,0.01498186405929664,98.3957219251337,0.8340473732065526,0.29847885233737326
hubs,SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,0.018994785521406782,13.677811550151976,,,115.85294117647061,115.85294117647071,88.75379939209726,0.5679065743944638,0.0,normal,0.015891457835868095,0.60790273556231,-0.03134941097386018,-0.6640535208876697,182.46861232454705,181.87434220564677,87.2340425531915,0.8944539819830738,5.446479392044311e-06,normal,204,291.9604700187577,0.009462360578409459,94.91978609625669,0.00010035698412925979,39.839572192513366,0.6374767367900304,0.4342219646479281
hubs,MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,0.017697792005673046,5.167173252279635,,,108.56725146198843,108.56725146198826,88.14589665653494,0.6348962073800494,0.0,normal,0.016890215224871028,4.5592705167173255,-0.04686102427141245,-0.6671209100712181,155.99323726281133,156.2645998127156,82.97872340425532,0.9122411535836921,8.164236036298188e-06,normal,171,245.64513383804754,0.008019541376453759,92.7807486631016,0.0003727545124801078,53.475935828877006,0.5894387749545291,0.3672514619883041
hubs,FONDO NACIONAL DE SALUD,FONDO NACIONAL DE SALUD,0.01823296474752837,7.598784194528875,,,120.63076923076922,120.63076923076926,89.96960486322189,0.6186193293885601,0.0,normal,0.016309958528611463,1.82370820668693,-0.035152661117995074,-0.6829939468004839,177.2056436014259,177.3268133851977,86.93009118541033,0.9087468902637225,4.881376482940248e-06,normal,195,276.6588929973388,0.009701803013247181,95.45454545454545,0.0011612736734957206,69.78609625668449,0.6237380140143832,0.38334655035685966
